Listing_ID,Role_Title,Company,Company_Type,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source
A05-001,Investment Banking Associate - Real Estate Sector,Motilal Oswal Financial Services,Investment Bank,Lower Parel,Associate,2-3 yrs (as posted),IB Coverage,RE M&A execution; DCF/NAV modelling; REIT valuation; comparables & precedent transactions; equity & debt raises,25-40,Market estimate,iimjobs,https://www.iimjobs.com/j/motilal-oswal-investment-banking-associate-real-estate-sector-1603582,Verified live posting,Unknown,2026-09-19,8,"Posting explicitly spans residential, commercial, retail and REIT segments with NAV/DCF modelling - the exact asset classes and valuation mechanics he runs at Amherst.",Retail disposition strategy = asset-level exit and pricing analytics across a residential portfolio,"Posted band is 2-3 yrs, well below his 5-12 yr profile - approach the RE IB desk head for the Associate/VP seat above this one rather than applying to the req as written. Sell-side hours are a real step change from a strategy seat.",A05
A05-002,Assistant Vice President - Capital Markets,JLL India,Consulting,Mumbai (unspecified),AVP,3-7 yrs (as surfaced),RE Investments,Investment sales; capital raising; asset underwriting; institutional investor coverage; cash-flow modelling,30-50,Market estimate,LinkedIn,https://getmereferred.com/job-listing/assistant-vice-president-capital-markets-jll-mumbai-3-to-7-years-experience-7b8a2319-ac73-456e-b1b0-da1fa813e61e,Search-surfaced,Unknown,2026-09-19,8,JLL Capital Markets underwrites and sells income-producing assets for institutional owners - the buy/sell/hold decision framework he already applies to single-family homes at scale.,Asset-level exit strategy at scale plus institutional owner-operator perspective,"Advisory rather than principal - he would be pitching owners, not deciding. Flag that he has sat on the owner side, which JLL values for credibility. India market knowledge is the gap to pre-empt.",A05
A05-003,Vice President - Hotels & Hospitality Group (Capital Markets),JLL India,Consulting,Mumbai (unspecified),VP,~7-12 yrs (inferred),RE Investments,Hotel asset transactions; RevPAR & ADR analytics; operator selection; feasibility modelling; investor coverage,45-75,Market estimate,Company Careers Page,https://www.jll.com/en-in/careers/finance,Target employer - not verified,Unknown,2026-09-19,8,Hotel underwriting is revenue management dressed as real estate - ADR/RevPAR optimisation is structurally the same problem as the rent and occupancy optimisation he owns today.,Rent/occupancy optimisation and revenue forecasting = yield management for hospitality assets,"The single cleanest translation of his revenue-management skillset into an Indian IB-adjacent seat. Lead with pricing science, not with IB deal count, which he does not have.",A05
A05-004,Associate - Real Estate Investments,Kotak Alternate Asset Managers,Real Estate PE,BKC,Associate,~4-8 yrs (inferred),RE Investments,RE underwriting; fund deployment; IRR & waterfall modelling; due diligence; asset monitoring,35-60,Market estimate,LinkedIn,https://in.talent.com/view?id=623516950657304645,Search-surfaced,Unknown,2026-09-19,9,"Kotak Alternates runs RE funds where capital deployment planning, capital calls and distribution waterfalls are the core mechanics - the precise scope of his fund and JV capital planning work.",Fund and JV capital planning plus waterfall/promote/preferred-return distribution modelling,"Closest structural match in this lane to his actual day job. Kotak Alternates is a principal seat, not sell-side - better career shape than IB. Route via Kotak Investment Banking careers portal or a BKC-based headhunter.",A05
A05-005,Vice President - Real Estate Sector Advisory,Kotak Investment Banking,Investment Bank,BKC,VP,~8-12 yrs (inferred),IB Coverage,RE developer & investor coverage; equity and debt raises; REIT/InvIT structuring; valuation; deal execution,60-100,Market estimate,Company Careers Page,https://investmentbank.kotak.com/industry-coverage/realestate.html,Search-surfaced,Unknown,2026-09-19,8,Kotak runs a named real estate coverage franchise advising developers and investors - his owner-operator pricing and disposition experience is a differentiated angle versus pure bankers.,"Institutional RE platform experience: pricing, disposition channel choice and portfolio performance","Kotak IB hires almost exclusively from IB/PE backgrounds - pre-empt the ""no sell-side deal sheet"" objection by leading with modelling depth and fund mechanics. Careers portal at investmentbank.kotak.com.",A05
A05-006,"AVP - Investment Banking, Real Estate & Infrastructure Practice",Michael Page India,Recruiter / Search Firm,Mumbai (unspecified),AVP,~5-9 yrs (inferred),IB Coverage,RE/infra deal execution; financial modelling; capital raising; client coverage; transaction structuring,40-70,Market estimate,Michael Page,https://www.michaelpage.co.in/jobs/banking/mumbai,Search-surfaced,Unknown,2026-09-19,8,Search results explicitly describe a boutique investment bank hiring an AVP into its RE/Infrastructure practice in Mumbai - directly on his asset-class axis at his level.,Real estate investment analytics plus fund and JV capital planning,Recruiter-fronted; the boutique client is not named in the listing. Contact Michael Page India banking desk directly and ask for the RE/Infra AVP mandate by description. Confirm hours and deal-team size before progressing.,A05
A05-007,"Senior Vice President - Investment Banking, Energy Vertical",Anand Rathi Advisors,Investment Bank,Mumbai (unspecified),VP,~8-14 yrs (inferred),IB Coverage,Energy & renewables coverage; project finance; capital raising; origination; transaction structuring,55-90,Market estimate,LinkedIn,https://in.linkedin.com/jobs/vice-president-investment-banking-jobs-mumbai-metropolitan-region,Search-surfaced,Unknown,2026-09-19,6,"Real-asset project cash-flow modelling transfers from his fund deployment and forecast work, but energy origination is a domain he has never covered and origination credit is what gets hired here.",Real-asset capital deployment planning and scenario forecasting,"Surfaced as an Anand Rathi SVP energy mandate. Origination-led seat - he has no India energy relationships, which is the binding constraint. Lower priority than the RE-coverage rows.",A05
A05-008,AVP/VP - M&A and Transaction Advisory,Michael Page India,Recruiter / Search Firm,Mumbai (unspecified),VP,~6-10 yrs (inferred),IB Coverage,M&A execution; valuation; due diligence coordination; client presentations; deal structuring,45-75,Market estimate,Michael Page,https://www.michaelpage.co.in/jobs/investment-banking,Search-surfaced,Unknown,2026-09-19,6,Generalist mid-market M&A - the modelling and analytical rigour transfer cleanly but the real estate domain advantage he carries is worth nothing here.,End-to-end financial modelling and cross-functional strategy execution,"Recruiter-fronted, client unnamed (""leading IB & strategic advisory firm, Mumbai""). Use as a market-mapping conversation rather than a primary target; generalist M&A discards his sector edge.",A05
A05-009,Vice President - Investment Banking / Project Finance Advisory,Marsh McLennan India,Consulting,Mumbai (unspecified),VP,~7-12 yrs (inferred),IB Coverage,Corporate debt syndication; project finance advisory; capital structuring; lender coverage; financial modelling,45-75,Market estimate,eFinancialCareers,https://www.efinancialcareers.com/jobs-India-Mumbai-Vice_President.id23596416,Search-surfaced,Unknown,2026-09-19,6,"Project finance and debt syndication advisory uses the long-dated cash-flow and covenant modelling he does for fund capital plans, though the client set is corporate rather than real estate.",Capital deployment planning and long-horizon cash-flow forecasting,"Listing surfaced on eFinancialCareers Mumbai as a VP covering IB, corporate debt syndication and project finance advisory. Verify the exact entity (Marsh advisory arm) before applying - it is not a bulge-bracket IB seat.",A05
A05-010,Vice President - Investment Banking (Real Estate),ANAROCK Capital,Investment Bank,BKC,VP,~7-12 yrs (inferred),RE Investments,RE capital raising; structured debt; developer coverage; underwriting; investor syndication,45-80,Market estimate,Company Careers Page,https://anarock.com/services/investment-banking,Target employer - not verified,Unknown,2026-09-19,8,"ANAROCK Capital is a pure real-estate investment bank serving developers, institutional investors and financial sponsors - his platform-side RE analytics is directly saleable to that client base.",Institutional RE owner-operator perspective plus disposition and pricing strategy,Office confirmed at ONE BKC. Applications route through careers@anarock.com and anarock.com/careers. Strong brand in Indian RE capital markets; smaller balance sheet than a bank so comp skews variable.,A05
