Listing_ID,Role_Title,Company,Company_Type,Country,City,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
A01-001,Senior Investment Manager - Real Estate Funds,iimjobs listing - undisclosed real estate PE/AIF manager,Recruiter / Search Firm,India,Mumbai,Mumbai (unspecified),Senior Manager,5-8 yrs,RE Investments,RE PE/AIF investing; investment structuring; portfolio & asset management; IC papers; investor management,45-70,Market estimate,iimjobs,https://www.iimjobs.com/j/senior-investment-manager-real-estate-funds-1689335,Verified live posting,Unknown,2026-09-19,9,Scope is explicitly investment strategy plus portfolio and asset management at a RE fund - the same two halves of his Amherst mandate.,Portfolio strategy + asset-level exit/disposition analytics across a large residential book,Client name withheld on iimjobs; NISM certification listed as mandatory and CA/CFA/MBA preferred - flag MBA/CFA status up front and pre-empt the no-India-market gap with platform-level analytics transferability.,A01,Not benchmarked,,
A01-002,Investment Banking Associate - Real Estate Sector,Motilal Oswal Financial Services,Investment Bank,India,Mumbai,Lower Parel,Associate,2-3 yrs (posted - below his band),IB Coverage,RE sector coverage; financial modelling; valuation; pitch materials; capital raising,25-40,Market estimate,iimjobs,https://www.iimjobs.com/j/motilal-oswal-investment-banking-associate-real-estate-sector-1603582,Verified live posting,Unknown,2026-09-19,5,Real estate coverage is on-domain but the posted 2-3 year band sits well below his 5-12 year profile.,Fund and JV capital planning - deal-side capital structuring experience,Use only as a door-opener into Motilal Oswal RE platform; ask to be routed to MO Alternates / MO Real Estate instead of the IB associate seat.,A01,In line (25-50),,
A01-003,AVP / Senior VP - Investment Management - Commercial Real Estate,iimjobs listing - undisclosed commercial real estate investor,Recruiter / Search Firm,India,Mumbai,Mumbai (unspecified),AVP,10-15 yrs,RE Investments,commercial RE investment management; underwriting; asset strategy; leasing economics; IC governance,60-95,Market estimate,iimjobs,https://www.iimjobs.com/j/avp-senior-vp-investment-management-commercial-real-estate-10-15-yrs-574546.html,Search-surfaced,Unknown,2026-09-19,8,"Commercial RE investment management at AVP/SVP is a direct step up from platform-level portfolio management, though the 10-15 yr band is at the top of his range.",Portfolio performance management across a large institutional property book,Listing ID looks older - treat as an indicator of the mandate type rather than a live seat; search the same title on iimjobs before applying.,A01,Not benchmarked,,
A01-004,Investment Analyst - Real Estate Fund,iimjobs listing - undisclosed real estate fund,Recruiter / Search Firm,India,Mumbai,Mumbai (unspecified),Senior Analyst,3-6 yrs (inferred),RE Investments,deal origination; market research; underwriting; investment execution; portfolio monitoring,Not disclosed,Unknown,iimjobs,https://www.iimjobs.com/j/investment-analyst-fund-real-estate-1635169,Search-surfaced,Unknown,2026-09-19,6,Real estate fund investment work is on-lane but the analyst level under-uses his revenue-strategy ownership.,Asset-level investment analysis at scale,Worth a speculative note to the poster asking whether a senior version of the seat exists; do not accept an analyst title.,A01,Not benchmarked,,
A01-005,Fund Management - Real Estate Investment Trust,"Michael Page India (REIT client, name withheld)",Recruiter / Search Firm,India,Mumbai,Mumbai (unspecified),VP,~8-14 yrs (inferred),Fund Finance,REIT fund management; property investment strategy; distribution planning; portfolio performance; investor reporting,55-90,Market estimate,Michael Page,https://www.michaelpage.co.in/jobs/property,Search-surfaced,Unknown,2026-09-19,9,REIT fund management maps almost one-to-one onto his fund/JV capital planning and distribution-waterfall modelling.,JV waterfall + distribution modelling across funds and joint ventures,Recruiter-fronted - approach the Michael Page India property/real estate desk directly rather than applying blind; ask which REIT the mandate sits with.,A01,Above benchmark (22-50),,
A01-006,Real Estate Investments & Asset Management - Newly Set-Up India Team,"Michael Page India (global investor client, name withheld)",Recruiter / Search Firm,India,Mumbai,Mumbai (unspecified),VP,~7-12 yrs (inferred),RE Investments,cross-border RE investment; asset management; underwriting; portfolio strategy; stakeholder management,Not disclosed,Unknown,Michael Page,https://www.michaelpage.co.in/jobs/investment/india,Search-surfaced,Unknown,2026-09-19,8,A newly built India investments-and-asset-management team is exactly where US institutional RE platform experience is a differentiator rather than a gap.,"US institutional SFR platform experience - global capital, local execution",Lead with the Amherst brand: a newly set-up India team for a global investor usually wants someone who already speaks institutional-LP language.,A01,Not benchmarked,,
A01-007,General Manager - Leasing,The Phoenix Mills,Real Estate Developer,India,Mumbai,Lower Parel,Senior Manager,~8-14 yrs (inferred),Revenue Management,retail leasing strategy; occupancy & vacancy planning; rent/revenue maximisation; tenant mix; trade-area analytics,40-65,Market estimate,LinkedIn,https://in.linkedin.com/jobs/view/general-manager-leasing-at-the-phoenix-mills-ltd-2836736125,Search-surfaced,Unknown,2026-09-19,9,The posting describes finalising occupancy targets for revenue maximisation and planning vacant space for premium leasing - literally his leasing-and-rent-optimisation mandate in a retail wrapper.,Rent/pricing optimisation and occupancy strategy = yield management,"The LinkedIn job ID looks dated - re-search ""Phoenix Mills leasing Mumbai"" before applying; High Street Phoenix / Palladium sit at Lower Parel so commute is easy from most of the island city.",A01,Above benchmark (18-50),,
A01-008,AVP - Asset Management (Mumbai Portfolio),Embassy Office Parks REIT,REIT / InvIT,India,Mumbai,Mumbai (unspecified),AVP,~7-12 yrs (inferred),Portfolio Management,office asset management; NOI optimisation; leasing strategy; capex planning; portfolio analytics,45-70,Market estimate,Company Careers Page,https://www.embassyofficeparks.com/careers/,Target employer - not verified,Unknown,2026-09-19,9,India largest listed office REIT running 46+ msf - the asset-management seat is the closest structural analogue to his portfolio-performance role.,Portfolio performance management and revenue forecasting across a large asset base,Embassy Mumbai exposure is smaller than Bengaluru - confirm the seat is Mumbai-based and not a Bengaluru role with Mumbai assets; careers page is the only listed channel.,A01,In line (40-75),,
A01-009,Manager - Business Planning & Portfolio Analytics,Embassy Office Parks REIT,REIT / InvIT,India,Mumbai,Mumbai (unspecified),Manager,~5-9 yrs (inferred),FP&A,REIT forecasting; NOI & distribution modelling; occupancy analytics; budgeting; management reporting,30-50,Market estimate,Company Careers Page,https://www.embassyofficeparks.com/careers/,Target employer - not verified,Unknown,2026-09-19,8,REIT distribution and NOI forecasting is the listed-vehicle version of the fund distribution modelling he already builds.,Distribution/waterfall modelling and revenue forecasting,"Pitch as a revenue-forecasting hire, not a reporting hire - REIT FP&A teams in India are small and value modelling depth.",A01,Above benchmark (13-26),,
A01-010,Manager - Leasing Strategy & Asset Management,Mindspace Business Parks REIT (K Raheja Corp),REIT / InvIT,India,Mumbai,Malad,Manager,~5-9 yrs (inferred),Revenue Management,office leasing strategy; rent benchmarking; renewal & retention planning; occupancy forecasting; asset business plans,30-50,Market estimate,Company Careers Page,https://www.mindspacereit.com/careers,Target employer - not verified,Unknown,2026-09-19,9,"Renewal strategy, occupancy and rent benchmarking at a Mumbai-headquartered REIT is his exact toolkit applied to commercial instead of residential.",Renewal strategy and occupancy optimisation across a large portfolio,"Mindspace publishes careers@mindspacereit.com as the route in - a direct, well-targeted mail beats a portal application here; Mindspace Malad and Airoli are both real Mumbai-region sites.",A01,In line (18-50),,
