Listing_ID,Role_Title,Company,Company_Type,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source
A02-001,Fund FinOps Manager - Real Estate Private Funds,Brookfield Asset Management,Real Estate PE,Mumbai (unspecified),Manager,~6-10 yrs (inferred),Fund Finance,Real estate fund reporting; investor capital statements; capital calls & distributions; US GAAP; cash management,Not disclosed,Unknown,Glassdoor,"https://www.glassdoor.com/job-listing/fund-finops-manager-brookfield-asset-management-JV_KO0,19_KE20,47.htm?jl=1010031843040",Verified live posting,Unknown,2026-09-19,9,Listing is explicitly real estate private funds - investor capital statements and partner capital activity are exactly the fund and JV capital planning work he already owns at Amherst.,Fund and JV capital planning + distribution/waterfall modelling on a US RE platform,"Strongest single match found. Glassdoor salary estimate on the listing (3-8L) is an algorithmic artefact, not the real band - ignore it. Apply via Brookfield Workday too; pre-empt ""no India market experience"" by leading with US GAAP RE fund reporting.",A02
A02-002,Investor Services Associate - Real Estate Private Funds,Brookfield Asset Management,Real Estate PE,Mumbai (unspecified),Associate,5-8 yrs,Fund Finance,LP reporting; capital call notices; distribution notices; subscription documents; investor queries,Not disclosed,Unknown,Company Careers Page,https://brookfield.wd5.myworkdayjobs.com/brookfield,Search-surfaced,Unknown,2026-09-19,7,Brookfield is building a Mumbai team for investor servicing across its RE private funds - the LP-facing side of the capital call and distribution cycle he has modelled.,JV/fund capital calls and distribution waterfalls,"Search ""Mumbai"" on the Brookfield Workday board; roles rotate. Referral through Brookfield India RE (BKC/Powai) helps.",A02
A02-003,"Fund Accounting, Private Financing Solutions - Associate",BlackRock,Asset Manager,Mumbai (unspecified),Associate,5-8 yrs,Fund Finance,Private credit fund accounting; capital calls & drawdowns; NAV oversight; investor allocations; waterfall review,35-55,Market estimate,Company Careers Page,https://careers.blackrock.com/job/mumbai/fund-accounting-private-financing-solutions-analyst-associate/45831/93147053728,Verified live posting,Unknown,2026-09-19,7,"A named Mumbai-based BlackRock private-markets fund accounting seat - capital call and allocation mechanics overlap directly with his fund/JV capital planning, though it leans controllership.",Fund and JV capital planning; capital call and commitment tracking,Live on BlackRock careers with an explicit Mumbai location. Position him as analytics-first rather than CA-first; flag the lack of a CA as a known gap and counter with modelling depth.,A02
A02-004,Vice President / Head - Investment Accounting Services,M&G plc,Asset Manager,Mumbai (unspecified),VP,10-15 yrs,Fund Finance,Fund accounting leadership; NAV oversight; governance framework; fund financial statements; team build-out,Not disclosed,Unknown,eFinancialCareers,https://www.efinancialcareers.com/jobs-India-Mumbai-Vice_President__Head_-_Investment_Accounting_Services.id24211146,Verified live posting,Unknown,2026-09-19,6,"A real live Mumbai VP fund-finance seat, but it is a controllership and NAV-governance build rather than the capital planning and distribution strategy he does.",Fund mechanics fluency plus platform-level analytics leadership,Top of his experience band and accounting-heavy - likely to screen for a qualified CA/ACCA. Apply only if you can evidence financial-statement ownership; otherwise prioritise the M&G property fund role below.,A02
A02-005,Manager - Property Fund Accounting & Reporting,M&G plc,Asset Manager,Mumbai (unspecified),Manager,6-10 yrs,Fund Finance,Property fund accounting; real estate fund reporting; investor reporting; IFRS; distributions,Not disclosed,Unknown,eFinancialCareers,https://www.efinancialcareers.com/jobs-India-Mumbai-Vice_President__Head_-_Investment_Accounting_Services.id24211146,Search-surfaced,Unknown,2026-09-19,8,Property-specific fund accounting and reporting at M&G Mumbai - real-estate fund mechanics is precisely where his waterfall and JV work lives.,Real estate fund and JV distribution modelling,"Surfaced in the eFinancialCareers M&G Mumbai cluster but the individual posting was not opened. Search ""M&G Mumbai property fund"" on eFinancialCareers before applying.",A02
A02-006,"Manager / Associate Manager - Fund Accounting, Private Equity",SS&C Technologies,Asset Manager,Navi Mumbai,Manager,5-9 yrs,Fund Finance,PE fund accounting; management fee calculation; investment valuation; investor reports; journal entries,20-35,Market estimate,Company Careers Page,https://ssctech.wd1.myworkdayjobs.com/en-US/ssctechnologies/job/Maharashtra-Navi-Mumbai/Manager--Associate-Manager---Fund-Accounting--Private-Equity-_R34120,Verified live posting,Unknown,2026-09-19,6,"Confirmed live Navi Mumbai PE fund accounting manager role - management fee and carry calculation touch his waterfall work, but the core is production accounting.",Fund waterfall and fee/promote mechanics,"Genuinely live on the SS&C Workday board with a Navi Mumbai location. Comp will likely be below his current level - useful as a market-entry option, not a first choice.",A02
A02-007,Fund Accounting Manager - CAT III AIF,Corenza,Recruiter / Search Firm,Mumbai (unspecified),Manager,3-8 yrs,Fund Finance,AIF fund accounting; NAV computation; unit capital; SEBI reporting; investor statements,Not disclosed,Unknown,Naukri,https://www.naukri.com/job-listings-fund-accounting-manager-cat-iii-aif-corenza-mumbai-all-areas-3-to-8-years-050525021612,Verified live posting,Unknown,2026-09-19,5,"A live, named Mumbai AIF fund accounting mandate, but Category III is listed/hedge strategies - NAV production rather than the closed-end capital call and waterfall world he knows.",Fund mechanics and investor allocation logic,Recruiter-fronted (Corenza) - client not named in the posting. Worth a call mainly to get Corenza mapping him to their closed-end AIF and RE fund mandates instead.,A02
A02-008,Finance Controller - CAT II AIF (Mid-Market PE Fund),Michael Page,Recruiter / Search Firm,Mumbai (unspecified),Manager,7-12 yrs,Fund Finance,Fund operations; capital calls & drawdowns; distributions; SEBI/AIF compliance; investor reporting,35-55,Market estimate,Michael Page,https://www.michaelpage.co.in/jobs/mumbai/banking-financial-services/venture-capital-private-equity,Verified live posting,Unknown,2026-09-19,8,Owning fund operations for a Category II AIF means running the full commitment-drawdown-distribution cycle he has modelled for US funds and JVs.,"Fund and JV capital planning: commitments, capital calls, distributions",Recruiter-fronted through Michael Page India; the PE client is not named. Ask the consultant to also run him against RE-focused CAT II funds - that pushes the fit from strong to direct.,A02
A02-009,Fund Controller - Real Estate / Infrastructure Fund,Robert Walters India,Recruiter / Search Firm,Mumbai (unspecified),Manager,7-12 yrs,Fund Finance,Fund controllership; capital account maintenance; waterfall review; LP reporting; audit coordination,35-55,Market estimate,Robert Walters,https://www.robertwalters.co.in/jobs.html,Target employer - not verified,Unknown,2026-09-19,7,Robert Walters runs a Mumbai alternatives finance desk; RE/infra fund controller mandates there align with his fund and JV capital planning history.,Real estate fund and JV waterfall mechanics,"No specific posting seen - this is a desk to register with, not a live role. Send a targeted note naming ""RE fund controller / capital and distributions"" as the brief.",A02
A02-010,Senior Manager - Private Equity Fund Accounting (Fund Administration),IQ-EQ,Asset Manager,Mumbai (unspecified),Senior Manager,8-12 yrs,Fund Finance,PE fund administration; capital calls & distributions; waterfall calculation; LP capital accounts; client delivery,35-55,Market estimate,Company Careers Page,https://iqeq.com/careers/vacancies/senior-manager-private-equity-fund-accounting-fund-administration/,Search-surfaced,Unknown,2026-09-19,7,A live IQ-EQ senior manager vacancy in PE fund administration where waterfall and capital account work is core - the location needs confirming as Mumbai.,Distribution waterfall and capital account modelling,"The vacancy page was found but not opened, so the office is unconfirmed - IQ-EQ India operates from Mumbai among other cities. Confirm location in the first screening call.",A02
A02-011,Manager - Private Equity & Real Assets Fund Accounting,Apex Group,Asset Manager,Mumbai (unspecified),Manager,6-10 yrs,Fund Finance,PE and real assets fund accounting; NAV reporting; financial statements; capital activity; investor reporting,25-40,Market estimate,Company Careers Page,https://builtin.com/company/apex-group/jobs,Search-surfaced,Unknown,2026-09-19,6,"Apex is actively hiring India PE and real-assets fund accountants; real assets is the closest administrator equivalent to his portfolio, but the work is NAV production.",Real assets fund mechanics and capital activity,"Apex India hiring is spread across Mumbai, Pune and Bengaluru - filter hard for Mumbai. Their real-assets desk is the one to ask for by name.",A02
A02-012,Assistant Manager / Manager - Fund Administration (Waterfall),Apex Group,Asset Manager,Mumbai (unspecified),Manager,5-9 yrs,Fund Finance,Waterfall calculation; carried interest; preferred return; LP/GP allocations; LPA interpretation,25-40,Market estimate,Company Careers Page,https://builtin.com/company/apex-group/jobs,Search-surfaced,Unknown,2026-09-19,8,A waterfall-titled fund administration role in India surfaced in search - reading LPAs and building waterfall engines is the single closest match to his distribution modelling.,"Waterfall, promote and preferred-return mechanics across funds and JVs","A waterfall-specific India role appeared in search but on an aggregator, and the employer/city could not be pinned down; Apex is the most likely home. Search ""fund administration waterfall Mumbai"" weekly - these titles are rare and worth chasing.",A02
A02-013,Manager - Private Equity Fund Services,TMF Group,Asset Manager,Mumbai (unspecified),Manager,6-10 yrs,Fund Finance,Fund administration; capital calls; distributions; investor onboarding; SEBI AIF reporting,22-38,Market estimate,LinkedIn,https://www.linkedin.com/company/tmf-group/jobs,Target employer - not verified,Unknown,2026-09-19,6,TMF has a Mumbai fund services presence covering AIF administration; the drawdown and distribution cycle overlaps his work but the role is administrative.,Fund capital call and distribution mechanics,"Target employer, no posting seen. TMF India AIF administration is a growing desk - a LinkedIn approach to the India fund services head is more effective than the portal.",A02
A02-014,Alternative Operations Fund Accounting - AVP,State Street,Bank,Mumbai (unspecified),AVP,8-12 yrs,Fund Finance,Alternatives fund accounting; income allocation; management and incentive fee calculation; performance reporting; team leadership,35-55,Market estimate,eFinancialCareers,https://careers.cfainstitute.org/job/9330396/alternative-ops-fund-accounting-avp/,Search-surfaced,Unknown,2026-09-19,7,"Determining incentive fees and income allocations per fund documents is waterfall work by another name, which is exactly his distribution modelling skill.",Promote/carry and preferred-return calculation from fund documents,"The live posting was seen but the office was not confirmed as Mumbai - State Street India spans Mumbai, Bengaluru, Hyderabad and Coimbatore. Confirm location first.",A02
A02-015,"Private Equity Fund Accounting - Associate, Private Fund Services",JPMorgan Chase,Bank,Mumbai (unspecified),Associate,5-9 yrs,Fund Finance,Capital calls; distributions; fee calculation; valuations; institutional investor reporting,30-50,Market estimate,Company Careers Page,https://careers.jpmorgan.com/global/en/students/search-results?keyword=private%20fund%20services,Search-surfaced,Unknown,2026-09-19,7,"JPMorgan Private Fund Services roles are written around monitoring capital calls, distributions and fees - the operational counterpart to the capital plans he builds.","Capital calls, commitments and distribution cycle",Private Fund Services hires heavily into Mumbai and Bengaluru; the posting seen did not confirm the city. Target the Mumbai Fund Services floor specifically.,A02
A02-016,"Fund Services - Client Integration AVP, Private Equity",JPMorgan Chase,Bank,Mumbai (unspecified),AVP,7-11 yrs,Fund Finance,PE fund onboarding; capital structure setup; waterfall configuration; client integration; data migration,40-60,Market estimate,eFinancialCareers,https://www.efinancialcareers.com/jobs-India-Mumbai-Fund_ServicesClient_Integration_Assistant_Vice_President_Private_Equity.id23553111,Search-surfaced,Unknown,2026-09-19,8,Integrating new PE funds means configuring their capital structures and waterfalls on the platform - a direct use of his ability to read and model distribution mechanics.,Translating LPA waterfall terms into working models,A Mumbai PE fund services client-integration AVP listing exists on eFinancialCareers but the employer was not named on the result - JPMorgan is the likely but unconfirmed owner. Verify before naming the firm in outreach.,A02
