Listing_ID,Role_Title,Company,Company_Type,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source
A09-001,Investment Strategy Manager,SBI Funds Management,Asset Manager,BKC,Senior Manager,7-10 yrs (inferred),Strategy,Investment strategy;product strategy;competitive analysis;performance analytics;stakeholder management,35-50,Market estimate,Naukri,https://www.naukri.com/investment-management-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,7,Product/investment-strategy role on a traditional mutual fund shelf; leverages his forecasting and analytics toolkit but sits a step away from real-asset portfolio strategy.,Revenue forecasting and scenario/pricing modelling discipline from Amherst,No mutual-fund industry background - lead with cross-asset analytics rigor and financial modelling; pre-empt lack of SEBI/MF product knowledge.,A09
A09-002,Product Manager - AIF/PMS,HDFC AMC,Asset Manager,Lower Parel,Manager,5-8 yrs (inferred),Data & Analytics,AIF/PMS structuring;product development;factsheet & reporting;distributor enablement;SEBI regulatory awareness,25-35,Market estimate,Naukri,https://www.naukri.com/hdfc-mutual-fund-jobs,Target employer - not verified,Unknown,2026-09-19,7,Product/investment-strategy role on a traditional mutual fund shelf; leverages his forecasting and analytics toolkit but sits a step away from real-asset portfolio strategy.,Revenue forecasting and scenario/pricing modelling discipline from Amherst,No mutual-fund industry background - lead with cross-asset analytics rigor and financial modelling; pre-empt lack of SEBI/MF product knowledge.,A09
A09-003,Investment Products Lead,ICICI Prudential AMC,Asset Manager,Mumbai (unspecified),AVP,8-11 yrs (inferred),Strategy,Product strategy;portfolio construction;investment research;competitive benchmarking;stakeholder management,45-65,Market estimate,LinkedIn,https://in.linkedin.com/jobs/country-portfolio-manager-jobs-mumbai,Target employer - not verified,Unknown,2026-09-19,7,Product/investment-strategy role on a traditional mutual fund shelf; leverages his forecasting and analytics toolkit but sits a step away from real-asset portfolio strategy.,Revenue forecasting and scenario/pricing modelling discipline from Amherst,No mutual-fund industry background - lead with cross-asset analytics rigor and financial modelling; pre-empt lack of SEBI/MF product knowledge.,A09
A09-004,Portfolio Analytics Manager,Nippon India Mutual Fund,Asset Manager,Lower Parel,Manager,5-8 yrs (inferred),Data & Analytics,Performance attribution;benchmarking;portfolio analytics;risk metrics;Excel/BI reporting,25-35,Market estimate,Naukri,https://www.naukri.com/portfolio-analysis-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,6,Portfolio analytics/attribution role - directly uses his performance-reporting skillset but is a narrower analytics seat than his current strategy ownership.,Portfolio performance measurement and reporting rigor from revenue management,No mutual-fund benchmarking experience - lead with quantitative rigor and BI/reporting depth; likely a lateral-analytics rather than strategy-leadership pitch.,A09
A09-005,Investment Strategy Manager,Aditya Birla Sun Life AMC,Asset Manager,Lower Parel,Senior Manager,7-10 yrs (inferred),Strategy,Investment strategy;asset allocation;product strategy;performance analytics;cross-functional coordination,35-50,Market estimate,Naukri,https://www.naukri.com/investment-management-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,7,Product/investment-strategy role on a traditional mutual fund shelf; leverages his forecasting and analytics toolkit but sits a step away from real-asset portfolio strategy.,Revenue forecasting and scenario/pricing modelling discipline from Amherst,No mutual-fund industry background - lead with cross-asset analytics rigor and financial modelling; pre-empt lack of SEBI/MF product knowledge.,A09
A09-006,Product Manager - PMS/AIF,Kotak Mahindra AMC,Asset Manager,BKC,Manager,5-8 yrs (inferred),Data & Analytics,PMS/AIF product design;client reporting;performance analytics;distributor coordination;SEBI compliance awareness,25-35,Market estimate,Company Careers Page,https://www.kotakmf.com/careers,Target employer - not verified,Unknown,2026-09-19,7,Kotak AMC runs discretionary PMS and AIF alongside mutual funds for HNI clients - closer to alternatives than a pure MF product seat.,Revenue forecasting and scenario/pricing modelling discipline from Amherst,No mutual-fund industry background - lead with cross-asset analytics rigor and financial modelling; pre-empt lack of SEBI/MF product knowledge.,A09
A09-007,Investment Products Manager,Axis Asset Management Company,Asset Manager,Worli,Manager,5-8 yrs (inferred),Strategy,Product management;investment research;performance tracking;stakeholder management;market analysis,25-35,Market estimate,Naukri,https://www.naukri.com/asset-management-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,6,Product/investment-strategy role on a traditional mutual fund shelf; leverages his forecasting and analytics toolkit but sits a step away from real-asset portfolio strategy.,Revenue forecasting and scenario/pricing modelling discipline from Amherst,No mutual-fund industry background - lead with cross-asset analytics rigor and financial modelling; pre-empt lack of SEBI/MF product knowledge.,A09
A09-008,Investment Strategy Manager,DSP Investment Managers,Asset Manager,Nariman Point,Senior Manager,7-10 yrs (inferred),Strategy,Investment strategy;asset allocation;portfolio analytics;product development;presentation & reporting,35-50,Market estimate,Naukri,https://www.naukri.com/investment-management-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,7,Product/investment-strategy role on a traditional mutual fund shelf; leverages his forecasting and analytics toolkit but sits a step away from real-asset portfolio strategy.,Revenue forecasting and scenario/pricing modelling discipline from Amherst,No mutual-fund industry background - lead with cross-asset analytics rigor and financial modelling; pre-empt lack of SEBI/MF product knowledge.,A09
A09-009,Product Manager - Mutual Funds,Mirae Asset Investment Managers (India),Asset Manager,Mumbai (unspecified),Manager,5-8 yrs (inferred),Strategy,Product strategy;fund performance analysis;market research;distributor support;reporting,25-35,Market estimate,Naukri,https://www.naukri.com/asset-management-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,6,Product/investment-strategy role on a traditional mutual fund shelf; leverages his forecasting and analytics toolkit but sits a step away from real-asset portfolio strategy.,Revenue forecasting and scenario/pricing modelling discipline from Amherst,No mutual-fund industry background - lead with cross-asset analytics rigor and financial modelling; pre-empt lack of SEBI/MF product knowledge.,A09
A09-010,Investment Products Lead,UTI Asset Management Company,Asset Manager,BKC,AVP,8-11 yrs (inferred),Strategy,Product strategy;portfolio construction;competitive analysis;investment research;stakeholder management,45-65,Market estimate,Naukri,https://www.naukri.com/investment-management-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,6,Product/investment-strategy role on a traditional mutual fund shelf; leverages his forecasting and analytics toolkit but sits a step away from real-asset portfolio strategy.,Revenue forecasting and scenario/pricing modelling discipline from Amherst,No mutual-fund industry background - lead with cross-asset analytics rigor and financial modelling; pre-empt lack of SEBI/MF product knowledge.,A09
