Listing_ID,Role_Title,Company,Company_Type,Country,City,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
A12-001,VP - Real Estate Structured Credit,Edelweiss Alternatives,Private Credit,India,Mumbai,BKC,VP,~8-12 yrs (inferred),Portfolio Management,Real estate structured credit;asset monitoring;covenant tracking;deal structuring;financial modelling,55-85,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Edelweiss%20Alternatives%20real%20estate%20credit%20VP&location=Mumbai%2C%20Maharashtra%2C%20India,Target employer - not verified,Unknown,2026-09-19,9,Edelweiss Alternatives runs one of India's largest RE-focused private credit platforms doing exactly the asset-level monitoring and structured deal work his disposition/JV background maps onto.,Retail disposition strategy + JV capital planning = asset-level real estate credit underwriting and exit analysis,No live posting seen; Edelweiss Alternatives (Edelweiss Wealth/Alt Asset Mgmt) has an active RE credit team in BKC. Approach via LinkedIn InMail to portfolio/credit heads; lead with waterfall & distribution modelling since their funds are structured with promote-like mechanics.,A12,Above benchmark (20-50),,
A12-002,Investment Manager - Special Situations,Kotak Special Situations Fund,Private Credit,India,Mumbai,BKC,Manager,~6-9 yrs (inferred),Portfolio Management,Special situations;distressed credit;financial modelling;deal execution;stakeholder management,30-45,Market estimate,LinkedIn,https://in.linkedin.com/jobs/view/kotak-investment-analyst-special-situations-credit-fund-1-3-yrs-mumbai-at-kotak-securities-138055907,Search-surfaced,Unknown,2026-09-19,7,Generalist special-situations credit work is a step from real estate but still leans on his scenario modelling and asset-level decisioning skillset.,"Fund/JV capital planning experience = comfort with structured, event-driven capital deployment","Search surfaced a live LinkedIn posting for 'Investment Analyst - Special Situations Credit Fund (1-3 yrs), Mumbai' at Kotak, confirming the desk is actively hiring, though that specific opening is junior/analyst-level, below his band. Use it as proof the team is growing and pursue the Manager/VP-equivalent seat via a warm intro through Kotak's investment banking alumni network rather than applying to the analyst posting itself.",A12,In line (35-60),,
A12-003,VP - Real Estate & Structured Credit,Piramal Alternatives,Private Credit,India,Mumbai,Lower Parel,VP,~7-11 yrs (inferred),RE Investments,Real estate credit;structured finance;asset monitoring;risk assessment;portfolio strategy,50-80,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Piramal%20Alternatives%20real%20estate%20credit&location=Mumbai%2C%20Maharashtra%2C%20India,Target employer - not verified,Unknown,2026-09-19,9,"Piramal Alternatives is a direct real-estate credit and structured finance platform, a close match to his RE disposition and portfolio strategy background.",Portfolio performance management + disposition strategy = real estate credit portfolio monitoring,"No live posting seen; Piramal has historically hired ex-real-estate-fund professionals into this team. Approach via LinkedIn, lead with US institutional SFR platform scale as a differentiator versus India-only candidates.",A12,Above benchmark (20-50),,
A12-004,VP - Private Credit,360 ONE Alternatives,Private Credit,India,Mumbai,Lower Parel,VP,~8-12 yrs (inferred),Portfolio Management,Private credit;credit underwriting;portfolio monitoring;financial modelling;client reporting,50-80,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=360%20ONE%20Alternatives%20private%20credit%20VP&location=Mumbai%2C%20Maharashtra%2C%20India,Target employer - not verified,Unknown,2026-09-19,7,360 ONE (formerly IIFL Wealth) Alternatives runs a large multi-strategy private credit book; his forecasting and portfolio-performance skills transfer even without India-specific underwriting history.,Revenue/pricing forecasting rigor = credit portfolio performance tracking,"No posting seen. 360 ONE has grown its alternatives AUM quickly and is a plausible active hirer; approach their talent team on LinkedIn directly, flag international institutional platform experience as a differentiator.",A12,Above benchmark (20-50),,
A12-005,VP - Portfolio Monitoring,Neo Asset Management,Private Credit,India,Mumbai,BKC,VP,~7-10 yrs (inferred),Portfolio Management,Portfolio monitoring;credit risk;covenant compliance;MIS reporting;stressed asset analysis,45-70,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Neo%20Asset%20Management%20portfolio%20monitoring&location=Mumbai%2C%20Maharashtra%2C%20India,Target employer - not verified,Unknown,2026-09-19,8,"Neo AMC's special-situations/private-credit book relies heavily on portfolio monitoring and recovery analytics, directly adjacent to his portfolio performance management remit.",Portfolio performance management at scale = credit portfolio monitoring & early-warning analytics,"No posting seen; Neo has been actively scaling its investment team through 2025-26. Approach via LinkedIn recruiter tagged to Neo, lead with large-portfolio KPI/MIS build experience.",A12,Below benchmark (70-150),,
A12-006,Investment Manager - Private Credit,Nuvama Private Credit,Private Credit,India,Mumbai,BKC,Manager,~6-9 yrs (inferred),Portfolio Management,Private credit;deal structuring;financial modelling;due diligence;portfolio tracking,30-48,Market estimate,LinkedIn,https://in.talent.com/view?id=620139372731440226,Search-surfaced,Unknown,2026-09-19,7,Nuvama's private credit arm (ex-Edelweiss Wealth) is building out its team; generalist credit deal work is a moderate fit for his platform-level analytics background.,"Cross-fund analytical side projects = versatility for a growing, still-forming credit team","Search surfaced a 'Special Situations Analyst - Nuvama Group, Mumbai' posting on a job aggregator, confirming active hiring in this space at Nuvama, though seniority/exact scope of that listing is unclear. Approach via LinkedIn or through Edelweiss-alumni referral for the Manager-level seat rather than the analyst posting.",A12,Not benchmarked,,
A12-007,Associate Director - Real Estate Private Credit,ASK Private Credit,Private Credit,India,Mumbai,BKC,Director,~9-13 yrs (inferred),RE Investments,Real estate credit;deal structuring;asset-level underwriting;portfolio strategy;investor reporting,70-110,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=ASK%20Private%20Credit%20real%20estate%20director&location=Mumbai%2C%20Maharashtra%2C%20India,Target employer - not verified,Unknown,2026-09-19,8,ASK Group's real estate-linked private credit arm draws on the same asset-level underwriting and exit-strategy thinking as his disposition strategy work.,Retail disposition strategy = asset-level real estate exit and recovery analytics,No posting seen; ASK's real estate PE pedigree makes this a natural target. Director-band role may be a slight seniority stretch - position him at the Associate Director/VP boundary and let ASK's team calibrate the level.,A12,Above benchmark (20-50),,
A12-008,VP - Structured Credit,Avendus Finance,Private Credit,India,Mumbai,BKC,VP,~8-11 yrs (inferred),Portfolio Management,Structured credit;deal structuring;financial modelling;risk analysis;portfolio management,50-80,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Avendus%20Finance%20structured%20credit%20VP&location=Mumbai%2C%20Maharashtra%2C%20India,Target employer - not verified,Unknown,2026-09-19,7,"Avendus Finance's structured/promoter financing book is generalist credit rather than real-estate specific, so it is a solid but not direct fit.",Fund/JV capital planning = comfort structuring bespoke financing solutions,"No posting seen. Avendus is active in growth-stage structured financing; approach via LinkedIn, note his platform-scale forecasting as evidence of rigor for underwriting large ticket sizes.",A12,Above benchmark (20-50),,
A12-009,Associate - Special Situations,BPEA Credit (EQT Credit India),Private Credit,India,Mumbai,Fort,Associate,~5-8 yrs (inferred),Portfolio Management,Special situations;credit analysis;financial modelling;due diligence;portfolio tracking,30-50,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=BPEA%20Credit%20EQT%20special%20situations&location=Mumbai%2C%20Maharashtra%2C%20India,Target employer - not verified,Unknown,2026-09-19,7,EQT's special situations credit team (ex-Baring Private Equity Asia Credit) does event-driven distressed work that draws on his scenario/forecast modelling toolkit.,"Distribution/waterfall modelling = comfort with complex, structured recovery mechanics","No posting seen; small India team, likely to hire through search firms rather than open postings - see Longhouse Consulting / Vahura rows in this same file for the more actionable channel.",A12,In line (35-60),,
A12-010,VP - Private Credit & Real Assets,Investcorp India,Private Credit,India,Mumbai,BKC,VP,~8-12 yrs (inferred),RE Investments,Real assets;private credit;portfolio monitoring;financial modelling;investor reporting,55-90,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Investcorp%20India%20private%20credit%20real%20assets&location=Mumbai%2C%20Maharashtra%2C%20India,Target employer - not verified,Unknown,2026-09-19,8,Investcorp's real-assets-linked credit mandates overlap meaningfully with his real estate portfolio and fund capital planning background.,Fund capital planning + distribution modelling = real-assets credit fund operations,"No posting seen; Investcorp's India office is lean, so a search-firm route (Korn Ferry/Egon Zehnder India financial services practice) is more likely to surface a live mandate than direct application.",A12,Above benchmark (20-50),,
A12-011,Associate - Special Situations,Oaktree India,Private Credit,India,Mumbai,Nariman Point,Associate,~5-8 yrs (inferred),Portfolio Management,Distressed credit;special situations;financial modelling;valuation;due diligence,28-48,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Oaktree%20India%20special%20situations%20associate&location=Mumbai%2C%20Maharashtra%2C%20India,Target employer - not verified,Unknown,2026-09-19,7,Oaktree's India office runs a small distressed/special-situations mandate; relevant analytical rigor but no direct real estate remit confirmed.,Scenario/forecast modelling = valuation work under distressed-asset uncertainty,"No posting seen; Oaktree India team is very small and senior-heavy - realistically only reachable via a global executive search firm (Egon Zehnder / Russell Reynolds), not direct apply.",A12,In line (35-60),,
A12-012,VP - Special Situations (Real Assets),Ares SSG,Private Credit,India,Mumbai,BKC,VP,~8-12 yrs (inferred),RE Investments,Distressed real estate;special situations;asset recovery;deal structuring;portfolio strategy,55-90,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Ares%20SSG%20special%20situations%20real%20estate&location=Mumbai%2C%20Maharashtra%2C%20India,Target employer - not verified,Unknown,2026-09-19,8,"Ares SSG is one of the most real-estate-heavy special situations investors active in India, a strong match for his disposition and asset-level exit experience.",Retail disposition strategy at scale = distressed real estate asset recovery and exit planning,"No SSG-specific investment-team posting seen; search confirms parent Ares Management runs a large Mumbai office, but its visible open roles there (investor relations, data/SOC analyst, accounts payable) are GCC/support functions, not the small dedicated SSG investment team - do not conflate the two. Ares SSG mandates in India more often route through Vahura or Longhouse Consulting - flag this firm by name when contacting those recruiters.",A12,In line (70-150),,
