Company,Role_Title,City,Seniority,Experience_Required,Source_URL,Posting_Date,Evidence
Mapletree Investments,"Senior Manager, Investment & Asset Management",Singapore,Senior Manager,Unknown,https://www.mycareersfuture.gov.sg/job/real-estate/senior-manager-investment-asset-management-mapletree-investments-cd9159381b1e2534f98e28596b0ce31d,Unknown,"MyCareersFuture search result returned a live job listing titled 'Senior Manager, Investment & Asset Management' posted by Mapletree Investments under the real-estate category."
Mapletree Investments,"Executive, Lease Management (Analytical and Reporting)",Singapore,Executive,Unknown,https://www.mycareersfuture.gov.sg/job/admin/executive-lease-management-mapletree-investments-073ee9ee6a35fda948437f1e47ac65a8,Unknown,"MyCareersFuture search result returned a live job listing titled 'Executive, Lease Management (Analytical and Reporting)' posted by Mapletree Investments under the admin category."
CapitaLand Investment,"Manager, Investment & Asset Management",Singapore,Manager,Unknown,https://www.mycareersfuture.gov.sg/job/manager-investment-asset-management-capitaland-group-604dbc09732ed489ef33080edd10a566,Unknown,"MyCareersFuture search result returned a live job listing titled 'Manager, Investment & Asset Management' posted by CapitaLand Group."
CapitaLand Investment,"Senior / Executive, Investment & Asset Management",Singapore,Senior Executive,Unknown,https://www.mycareersfuture.gov.sg/job/seniorexecutive-investment-asset-management-capitaland-group-00b1785ebf41e1fdfad4855c0006dcc1,Unknown,"MyCareersFuture search result returned a live job listing titled 'Senior / Executive, Investment & Asset Management' posted by CapitaLand Group."
CapitaLand Investment,"Executive, Investment & Asset Management",Singapore,Executive,Unknown,https://www.mycareersfuture.gov.sg/job/others/executive-investment-asset-management-capitaland-group-d9ac013c9b08abd146f69d4e11bb712e,Unknown,"MyCareersFuture search result returned a live job listing titled 'Executive, Investment & Asset Management' posted by CapitaLand Group."
GIC Private Limited,"Analyst/Associate, Capital Markets, Real Estate",Singapore,Analyst/Associate (below target band),Unknown,https://careers.gic.com.sg/job/Singapore-AnalystAssociate,-Capital-Markets,-Real-Estate/1364148366/,Unknown,"GIC's own careers portal (careers.gic.com.sg) job detail page with requisition number 1364148366, titled 'Analyst/Associate, Capital Markets, Real Estate' based in Singapore."
GIC Private Limited,"Associate, Real Estate, Global Investments & Portfolio Strategy",Singapore,Associate (below target band),2 years (per search summary),https://careers.gic.com.sg/job/Singapore-Associate,-Real-Estate,-Global-Investments-&-Portfolio-Strategy/1356638966/,Unknown,"GIC's own careers portal job detail page with requisition number 1356638966, titled 'Associate, Real Estate, Global Investments & Portfolio Strategy'; search summary states it requires 2 years of experience."
Kotak Securities (Kotak Alternate Asset Managers),"Investment Analyst - Special Situations Credit Fund",Mumbai,Analyst (below target band),1-3 years,https://in.linkedin.com/jobs/view/kotak-investment-analyst-special-situations-credit-fund-1-3-yrs-mumbai-at-kotak-securities-138055907,Unknown,"LinkedIn job listing titled 'Kotak - Investment Analyst - Special Situations Credit Fund (1-3 yrs) Mumbai' posted by Kotak Securities, with experience band 1-3 years stated in the title."
Neo Wealth and Asset Management,"Private Equity",Mumbai,Unknown (role titled generically),8-10 years,https://getmereferred.com/in/job-listing/private-equity-neo-wealth-and-asset-management-inmhmumbai-8-to-10-years-experience-85ed0ed2-840a-4ce4-bd55-092655910271,Unknown,"GetMeReferred job listing titled 'Private Equity' at 'Neo Wealth and Asset Management' in Mumbai with stated experience band of 8 to 10 years; role is Private Equity, not confirmed as Private Credit, and entity name differs slightly from 'Neo Asset Management Pvt Ltd'."
Nuvama Asset Management,"Risk Officer - Asset Management",Mumbai,Senior (Risk Officer),Unknown,https://www.iimjobs.com/j/nuvama-risk-officer-asset-management-1649594,Unknown,"iimjobs.com listing (job id 1649594) titled 'Nuvama - Risk Officer - Asset Management', describing a role leading risk management framework across investment, operational, market, credit, liquidity and regulatory risk for the AMC; role type (risk, not revenue/portfolio management) differs from target profile."
Michael Page India (client undisclosed),Fund Manager - Private Credit,Mumbai,Fund Manager (Manager/VP band),Unknown,https://www.michaelpage.co.in/jobs/credit/india,Unknown,"Web search summary of Michael Page India's credit job listings stated a 'multi-asset class asset management firm' / 'leading alternative asset manager' is hiring a Fund Manager - Private Credit based in Mumbai, appearing across Michael Page's credit, private equity and VC/PE category pages; recruiter named, client undisclosed, and the URL given is a category listing page rather than a single requisition page."
