Listing_ID,Role_Title,Company,Company_Type,Country,City,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
E01-001,Fund Controller - Real Estate Funds,Alter Domus,Asset Manager,Luxembourg,Luxembourg City,Kirchberg,Manager,6-10 yrs (inferred),Fund Finance,Fund controlling; capital calls and distributions; waterfall calculation; RE fund accounting; investor reporting,"EUR 85,000-110,000",Market estimate (EUR),Company Careers Page,https://careers.alterdomus.com/en/search-jobs,Search-surfaced,Unknown,2026-09-19,9,"Alter Domus controls European RE fund vehicles end to end - the capital-call, preferred-return and promote mechanics he built at Amherst for funds and JVs are literally the daily deliverable here.",Fund and JV capital planning + distribution waterfall / promote modelling,"Visa: EU Blue Card Luxembourg, EUR 65,652/yr from 3 Mar 2026 (1.5x average national salary), or EUR 47,174 for a shortage occupation, which also exempts the employer from the labour-market test. RESEARCHED 2026-09-20: ADEM published the 2026 shortage list on 27 Mar 2026 but it skews IT, engineering, science and healthcare - inclusion of fund-administration occupations is NOT confirmed. Plan on the EUR 65,652 standard threshold and treat the EUR 47,174 rate as upside to be checked with the employer. Emphasise US GP-side waterfall build experience; Alter Domus hires heavily from GP finance teams. English-working.",E01,"In line (EUR 74,350-100,050/year) [High confidence]",,
E01-002,Capital Calls & Distributions Manager,Apex Group,Asset Manager,Luxembourg,Luxembourg City,Kirchberg,Manager,5-9 yrs (inferred),Fund Finance,Capital call notices; distribution waterfalls; carried interest; LP allocations; Investran/eFront,"EUR 80,000-100,000",Market estimate (EUR),Company Careers Page,https://en.moovijob.com/company/apex-group-luxembourg,Search-surfaced,Unknown,2026-09-19,9,"The role is exactly the scarcest line on his CV - capital calls, distributions and promote splits across funds and JVs - and Apex runs that function at scale for European RE and PE managers.",Capital call and distribution modelling across funds and JVs at Amherst,"Visa: EU Blue Card Luxembourg, EUR 65,652/yr from 3 Mar 2026 (1.5x average national salary), or EUR 47,174 for a shortage occupation, which also exempts the employer from the labour-market test. RESEARCHED 2026-09-20: ADEM published the 2026 shortage list on 27 Mar 2026 but it skews IT, engineering, science and healthcare - inclusion of fund-administration occupations is NOT confirmed. Plan on the EUR 65,652 standard threshold and treat the EUR 47,174 rate as upside to be checked with the employer. Apex is a serial international-hire sponsor; lead with the mechanics (European waterfall, catch-up, clawback) rather than with revenue management.",E01,"In line (EUR 74,350-100,050/year) [High confidence]",,
E01-003,Senior Fund Accountant - Real Assets (Waterfalls),Citco,Asset Manager,Luxembourg,Luxembourg City,Luxembourg City (unspecified),Senior Analyst,4-7 yrs (inferred),Fund Finance,Waterfall and carry computation; NAV production; capital activity; LPA interpretation; Excel modelling,"EUR 65,000-85,000",Market estimate (EUR),Company Careers Page,https://www.citco.com/careers,Target employer - not verified,Unknown,2026-09-19,8,"Citco runs European RE and PE fund waterfalls for third-party GPs; his promote and preferred-return modelling transfers directly, though the level sits slightly below his current scope.",Distribution waterfall / promote mechanics across fund and JV structures,"Visa: EU Blue Card Luxembourg, EUR 65,652/yr from 3 Mar 2026 (1.5x average national salary), or EUR 47,174 for a shortage occupation, which also exempts the employer from the labour-market test. RESEARCHED 2026-09-20: ADEM published the 2026 shortage list on 27 Mar 2026 but it skews IT, engineering, science and healthcare - inclusion of fund-administration occupations is NOT confirmed. Plan on the EUR 65,652 standard threshold and treat the EUR 47,174 rate as upside to be checked with the employer. Level is a half-step down - negotiate title upward or target the Manager grade; note the band still clears the shortage-occupation Blue Card floor.",E01,"In line (EUR 74,350-100,050/year) [High confidence]",,
E01-004,Investor Reporting Manager - Private Markets,IQ-EQ,Asset Manager,Luxembourg,Luxembourg City,Kirchberg,Manager,6-10 yrs (inferred),Fund Finance,LP reporting; capital account statements; IRR and MOIC reporting; ILPA templates; distribution notices,"EUR 80,000-100,000",Market estimate (EUR),Company Careers Page,https://iqeq.com/careers/,Target employer - not verified,Unknown,2026-09-19,8,"Investor reporting is the output side of the capital-account and waterfall work he already owns, and IQ-EQ Luxembourg reports for RE and infra funds where his asset-level lens is an advantage.",Fund and JV capital planning turned into LP-facing capital account and distribution reporting,"Visa: EU Blue Card Luxembourg, EUR 65,652/yr from 3 Mar 2026 (1.5x average national salary), or EUR 47,174 for a shortage occupation, which also exempts the employer from the labour-market test. RESEARCHED 2026-09-20: ADEM published the 2026 shortage list on 27 Mar 2026 but it skews IT, engineering, science and healthcare - inclusion of fund-administration occupations is NOT confirmed. Plan on the EUR 65,652 standard threshold and treat the EUR 47,174 rate as upside to be checked with the employer. Pre-empt the gap: no prior third-party administrator experience - frame as GP-side, which administrators actively value.",E01,"In line (EUR 74,350-100,050/year) [High confidence]",,
E01-005,Fund Finance Manager - Real Estate,Aztec Group,Asset Manager,Luxembourg,Luxembourg City,Luxembourg City (unspecified),Manager,6-10 yrs (inferred),Fund Finance,RE fund financial control; equalisation; drawdowns and distributions; carry models; SICAV-RAIF structures,"EUR 85,000-105,000",Market estimate (EUR),Company Careers Page,https://en.moovijob.com/job-offers/jobs-luxembourg/field-investment-funds,Search-surfaced,Unknown,2026-09-19,9,Aztec is a specialist alternatives administrator whose RE fund finance managers own drawdown schedules and carry - the same objects he built for Amherst funds and JVs.,"Fund and JV capital deployment plans, commitments and capital calls","Visa: EU Blue Card Luxembourg, EUR 65,652/yr from 3 Mar 2026 (1.5x average national salary), or EUR 47,174 for a shortage occupation, which also exempts the employer from the labour-market test. RESEARCHED 2026-09-20: ADEM published the 2026 shortage list on 27 Mar 2026 but it skews IT, engineering, science and healthcare - inclusion of fund-administration occupations is NOT confirmed. Plan on the EUR 65,652 standard threshold and treat the EUR 47,174 rate as upside to be checked with the employer. Aztec rates candidates who can read an LPA and rebuild a waterfall from it - offer to walk through one in interview.",E01,"In line (EUR 74,350-100,050/year) [High confidence]",,
E01-006,AVP - Private Equity Fund Accounting (Waterfall Team),State Street,Asset Manager,Luxembourg,Luxembourg City,Kirchberg,AVP,6-9 yrs (inferred),Fund Finance,Waterfall and carry; capital activity; partnership accounting; investor allocations; control framework,"EUR 75,000-95,000",Market estimate (EUR),eFinancialCareers,https://www.efinancialcareers.com/jobs-Luxembourg.s006,Target employer - not verified,Unknown,2026-09-19,8,"A dedicated waterfall and carry desk inside a global custodian is a rare direct match for his distribution modelling, with a large institution more willing to sponsor.","Distribution waterfall, promote and preferred-return modelling","Visa: EU Blue Card Luxembourg, EUR 65,652/yr from 3 Mar 2026 (1.5x average national salary), or EUR 47,174 for a shortage occupation, which also exempts the employer from the labour-market test. RESEARCHED 2026-09-20: ADEM published the 2026 shortage list on 27 Mar 2026 but it skews IT, engineering, science and healthcare - inclusion of fund-administration occupations is NOT confirmed. Plan on the EUR 65,652 standard threshold and treat the EUR 47,174 rate as upside to be checked with the employer. Large custodians relocate staff routinely, which de-risks the Blue Card. Expect a technical partnership-accounting screen.",E01,"Below market (EUR 100,000-140,000/year) [Medium confidence]",,
E01-007,Fund Controller - Real Estate,BlackRock,Asset Manager,Luxembourg,Luxembourg City,Kirchberg,VP,8-12 yrs (inferred),Fund Finance,RE fund controlling; capital calls; distribution waterfalls; fund performance; LP queries,"EUR 100,000-130,000",Market estimate (EUR),Company Careers Page,https://careers.blackrock.com/,Target employer - not verified,Unknown,2026-09-19,9,"GP-side RE fund controlling at BlackRock maps one-to-one onto his Amherst scope - capital deployment plans, calls, and waterfall distributions on a real estate platform.",Fund and JV capital planning plus waterfall/promote at a US RE investment platform,"Visa: EU Blue Card Luxembourg, EUR 65,652/yr from 3 Mar 2026 (1.5x average national salary), or EUR 47,174 for a shortage occupation, which also exempts the employer from the labour-market test. RESEARCHED 2026-09-20: ADEM published the 2026 shortage list on 27 Mar 2026 but it skews IT, engineering, science and healthcare - inclusion of fund-administration occupations is NOT confirmed. Plan on the EUR 65,652 standard threshold and treat the EUR 47,174 rate as upside to be checked with the employer. Strongest sponsor profile in the lane; BlackRock relocates regularly. Lead with the platform (Amherst institutional SFR) as the credibility anchor.",E01,"In line (EUR 100,000-140,000/year) [Medium confidence]",,
E01-008,Portfolio Monitoring Manager - Real Assets,Brookfield Asset Management,Real Estate PE,Luxembourg,Luxembourg City,Luxembourg City (unspecified),Manager,6-10 yrs (inferred),Portfolio Management,Portfolio monitoring; asset-level performance; capital planning; valuation inputs; fund-level forecasting,"EUR 90,000-115,000",Market estimate (EUR),Company Careers Page,https://www.brookfield.com/careers,Target employer - not verified,Unknown,2026-09-19,9,Portfolio monitoring at a global RE owner-operator is precisely his current job - portfolio performance management and forecasting - with the fund-structure layer he already knows sitting on top.,Portfolio performance management and revenue forecasting across a large residential portfolio,"Visa: EU Blue Card Luxembourg, EUR 65,652/yr from 3 Mar 2026 (1.5x average national salary), or EUR 47,174 for a shortage occupation, which also exempts the employer from the labour-market test. RESEARCHED 2026-09-20: ADEM published the 2026 shortage list on 27 Mar 2026 but it skews IT, engineering, science and healthcare - inclusion of fund-administration occupations is NOT confirmed. Plan on the EUR 65,652 standard threshold and treat the EUR 47,174 rate as upside to be checked with the employer. Brookfield has a large Luxembourg platform entity; internal mobility from US RE platforms is common - use any Amherst-Brookfield counterparty contact as referral.",E01,"Above market (EUR 74,350-100,050/year) [High confidence]",,
E01-009,Assistant Vice President - Real Estate Fund Services,JPMorgan Bank Luxembourg,Bank,Luxembourg,Luxembourg City,Kirchberg,AVP,6-10 yrs (inferred),Fund Finance,RE fund administration; capital activity; NAV oversight; investor allocations; client management,"EUR 80,000-100,000",Market estimate (EUR),eFinancialCareers,https://www.efinancialcareers.com/jobs-Luxembourg.s006,Target employer - not verified,Unknown,2026-09-19,8,"RE fund services at a bulge-bracket depositary bank uses the same capital-activity and allocation machinery he built, with strong sponsorship capability.","Capital calls, commitments and LP allocations on real estate vehicles","Visa: EU Blue Card Luxembourg, EUR 65,652/yr from 3 Mar 2026 (1.5x average national salary), or EUR 47,174 for a shortage occupation, which also exempts the employer from the labour-market test. RESEARCHED 2026-09-20: ADEM published the 2026 shortage list on 27 Mar 2026 but it skews IT, engineering, science and healthcare - inclusion of fund-administration occupations is NOT confirmed. Plan on the EUR 65,652 standard threshold and treat the EUR 47,174 rate as upside to be checked with the employer. Bank sponsorship is the least risky Blue Card route in Luxembourg. Pre-empt the lack of depositary/regulatory experience.",E01,"Below market (EUR 100,000-140,000/year) [Medium confidence]",,
E01-010,Senior Associate - Fund Structuring & Distributions,Ocorian,Asset Manager,Luxembourg,Luxembourg City,Luxembourg City (unspecified),Senior Manager,6-10 yrs (inferred),Fund Finance,Fund structuring; distribution mechanics; SPV cash flows; JV structures; LPA modelling,"EUR 80,000-100,000",Market estimate (EUR),Company Careers Page,https://www.ocorian.com/careers,Target employer - not verified,Unknown,2026-09-19,9,"Structuring plus distributions on RE SPV and JV chains is the exact intersection of his JV capital planning and waterfall work, which almost no candidate carries together.","JV structures, capital commitments and distribution waterfalls","Visa: EU Blue Card Luxembourg, EUR 65,652/yr from 3 Mar 2026 (1.5x average national salary), or EUR 47,174 for a shortage occupation, which also exempts the employer from the labour-market test. RESEARCHED 2026-09-20: ADEM published the 2026 shortage list on 27 Mar 2026 but it skews IT, engineering, science and healthcare - inclusion of fund-administration occupations is NOT confirmed. Plan on the EUR 65,652 standard threshold and treat the EUR 47,174 rate as upside to be checked with the employer. Argue the shortage-occupation Blue Card rate (EUR 47,174) using Luxembourg listing Fund Administrator as a skilled occupation.",E01,"In line (EUR 74,350-100,050/year) [High confidence]",,
