Listing_ID,Role_Title,Company,Company_Type,Country,City,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
VP-001,Senior Manager - Property Management,Dubai Holding Asset Management (Dubai Asset Management),Unclassified,UAE,Dubai,Dubai,Senior Manager,8-10 years,See role title,,Not disclosed,Unknown,Verification pass,https://www.founditgulf.com/job/senior-manager-property-management-dubai-holding-asset-management-united-arab-emirates-49943457,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: foundit Gulf listing titled 'Senior Manager Property Management with 8 - 10 Years of Experience at dubai holding asset management in United Arab Emirates, Dubai' - title, employer and experience band all in the result.",2026-09-21
VP-003,"Senior Executive - Leasing (National Talent), req 885",Dubai Holding Asset Management (Dubai Asset Management),Unclassified,UAE,Dubai,Dubai,Senior Executive (below Manager),Not stated,See role title,,Not disclosed,Unknown,Verification pass,https://dhcareers.avature.net/en_US/newcareersmarketplace/JobDetail/Senior-Executive-Leasing/885,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: Dubai Holding's own Avature careers portal job detail page, requisition 885, titled 'Senior Executive Leasing - Dubai Holding Asset Managment (National Talent)'; JD supports Residential Leasing team business development across the residential portfolio.",2026-09-21
VP-005,Portfolio Executive,wasl Group,Unclassified,UAE,Dubai,Dubai,Executive (below Manager),Not stated,See role title,,Not disclosed,Unknown,Verification pass,https://ae.bebee.com/job/3bdcc1eead4526d5dd973d4f456b405c,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: beBee job page titled 'Portfolio Executive - Dubai - Wasl Group' - named employer, named title, Dubai location; seniority is below the candidate's target band.",2026-09-21
VP-007,Vice President - Portfolio Management,Aldar Investment (Aldar Properties PJSC),Unclassified,UAE,Abu Dhabi,Abu Dhabi,VP,Not stated in result,See role title,,Not disclosed,Unknown,Verification pass,https://jobs.lever.co/aldar/2440ad1f-c9e9-432b-8d32-1bd232947404,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,Evidence: Live requisition on Aldar's own Lever board titled 'Aldar Investment - Vice President - Portfolio Management' - closest title match in the dataset to the candidate's current portfolio-management remit.,2026-09-21
VP-009,Vice President - Asset Management,Aldar Properties PJSC,Unclassified,UAE,Abu Dhabi,Abu Dhabi,VP,Not stated in result,See role title,,Not disclosed,Unknown,Verification pass,https://jobs.lever.co/aldar/e23dd125-0b81-458d-bc7d-956573ae2d12,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,Evidence: Live requisition on Aldar's own Lever ATS board titled 'Aldar Properties PJSC - Vice President - Asset Management'.,2026-09-21
VP-011,Assistant Vice President - Asset Management,Aldar Properties PJSC,Unclassified,UAE,Abu Dhabi,Abu Dhabi,AVP (Senior Manager/Director equivalent),8+ years,See role title,,Not disclosed,Unknown,Verification pass,https://jobs.lever.co/aldar/6562d0fd-b696-48cb-83a9-1802e23d1e02,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,Evidence: Lever requisition; search result quoted the requirement 'Min of 8+ years of related experience in managing retail asset properties' - retail rather than residential asset class.,2026-09-21
VP-013,Associate Director - Investment Management & Deal Structuring,Aldar Properties PJSC,Unclassified,UAE,Abu Dhabi,Abu Dhabi,Associate Director,Not stated in result,See role title,,Not disclosed,Unknown,Verification pass,https://jobs.lever.co/aldar/9900436a-7232-4326-98dc-b0cf9ed722a8/apply,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,Evidence: Live Lever requisition with an active apply page titled 'Aldar Properties PJSC - Associate Director - Investment Management & Deal structuring' - maps to the candidate's fund/JV capital planning background.,2026-09-21
VP-015,Vice President - DM Portfolio (Development Management Portfolio),Aldar Properties PJSC,Unclassified,UAE,Abu Dhabi,Abu Dhabi,VP,Not stated in result,See role title,,Not disclosed,Unknown,Verification pass,https://jobs.lever.co/aldar/717ac892-f710-41e7-842c-4b1128cac763,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,Evidence: Live Lever requisition titled 'Aldar Properties PJSC - Vice President - DM Portfolio'.,2026-09-21
VP-017,Vice President - Retail Leasing,Aldar Properties PJSC,Unclassified,UAE,Abu Dhabi,Abu Dhabi,VP,Not stated in result,See role title,,Not disclosed,Unknown,Verification pass,https://jobs.lever.co/aldar/09f7f2cd-719c-4fdf-a9b9-97ac9da6e179,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,Evidence: Live Lever requisition; search result explicitly flagged 'This role is for Emiratization only' - NOT open to a non-Emirati candidate. Recorded as a negative/blocked finding.,2026-09-21
VP-019,Senior Associate - Investment Management,Aldar Properties PJSC,Unclassified,UAE,Abu Dhabi,Abu Dhabi,Senior Associate (below target band),4+ years,See role title,,Not disclosed,Unknown,Verification pass,https://jobs.lever.co/aldar/7fc4cf01-a29a-45a2-8fa2-a29a3e972d76,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: Live Lever requisition; result quoted 'Min of 4+ years of experience in real estate, private equity, investment banking, buy side or sell side advisory' - junior to the candidate's band.",2026-09-21
VP-021,Assistant Vice President - Business Intelligence,Aldar Properties PJSC,Unclassified,UAE,Abu Dhabi,Abu Dhabi,AVP,Not stated in result,See role title,,Not disclosed,Unknown,Verification pass,https://jobs.lever.co/aldar/fde44d8d-d908-4582-a488-00572a4f4366/apply,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,Evidence: Live Lever requisition with active apply page titled 'Aldar Properties PJSC - Assistant Vice President - Business Intelligence' - adjacent fit via the candidate's rent-optimisation/analytics work.,2026-09-21
VP-023,Head of Residential Sales and Leasing,Chestertons MENA,Unclassified,UAE,Dubai,Dubai,Head of / Director,Established real estate professional; RERA brokerage licence required,See role title,,Not disclosed,Unknown,Verification pass,https://www.gulftalent.com/uae/jobs/head-of-residential-sales-and-leasing-365873,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: GulfTalent requisition page 365873, employer Chestertons, with JD in the result: reports to the CEO, drives allocation and performance of the sales and leasing team, manages a team of property consultants - brokerage-side rather than owner/operator-side leasing.",2026-09-21
VP-025,Leasing Manager,Global Corporation,Unclassified,UAE,Dubai,Dubai,Manager,Not stated,See role title,,Not disclosed,Unknown,Verification pass,https://www.gulftalent.com/uae/jobs/leasing-manager-483891,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: GulfTalent requisition 483891; JD shown in result: implement the leasing strategy to secure prime locations, maximise revenue, ensure best practices and manage key tenant relationships - revenue-maximisation framing matches the candidate, but the employer name is generic.",2026-09-21
VP-027,Sales & Leasing Manager - Real Estate Experienced,Banke International Properties,Unclassified,UAE,Dubai,Dubai,Manager,3+ years as a manager in real estate; RERA certified,See role title,,Not disclosed,Unknown,Verification pass,https://www.gulftalent.com/uae/jobs/sales-leasing-manager-real-estate-experienced-302861,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: GulfTalent requisition 302861 naming Banke International Properties, with stated requirement of more than 3 years in real estate as a manager and experience handling 20+ sales agents - brokerage role, below the candidate's band.",2026-09-21
VP-029,"Portfolio Manager, Funds, Secondaries & Co-Investments",PER (Private Equity Recruitment) - confidential Abu Dhabi client,Unclassified,UAE,Abu Dhabi,Abu Dhabi,Manager,5-7 years,See role title,,Not disclosed,Unknown,Verification pass,https://www.naukrigulf.com/portfolio-manager-funds-secondaries-co-investments-jobs-in-abu-dhabi-uae-in-client-of-per-5-to-7-years-n-cd-10051743-jid-220526500135,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: Naukrigulf requisition whose URL slug itself encodes title, employer ('client of PER'), Abu Dhabi and the 5-7 year band; strong match to the candidate's fund/JV capital planning and distribution modelling, though the end employer is undisclosed.",2026-09-21
VP-031,Portfolio Manager,Asico Real Estate LLC,Unclassified,UAE,Dubai,Dubai,Manager,3-8 years,See role title,,Not disclosed,Unknown,Verification pass,https://www.naukrigulf.com/portfolio-manager-jobs-in-dubai-uae-in-asico-real-estate-llc-3-to-8-years-n-cd-40003148-jid-270726500464,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: Naukrigulf requisition; URL slug encodes title 'Portfolio Manager', employer Asico Real Estate LLC, Dubai and a 3-8 year experience band.",2026-09-21
VP-033,"Real Estate Portfolio Manager (full-time, on-site)",Ascentya Real Estate LLC,Unclassified,UAE,Dubai,Dubai,Manager,1-6 years,See role title,,Not disclosed,Unknown,Verification pass,https://www.naukrigulf.com/real-estate-portfolio-manager-jobs-in-dubai-uae-in-ascentya-real-estate-l-l-c-1-to-6-years-n-cd-361381-jid-170826000417,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: Naukrigulf requisition; URL slug encodes title, employer Ascentya Real Estate LLC, Dubai and a 1-6 year band - band sits below the candidate's target.",2026-09-21
VP-035,Portfolio Manager,Storeys Real Estate,Unclassified,UAE,Dubai,Dubai,Manager (junior),1-3 years,See role title,,Not disclosed,Unknown,Verification pass,https://www.naukrigulf.com/portfolio-manager-jobs-in-dubai-uae-in-storeys-real-estate-1-to-3-years-n-cd-20010126-jid-200726500319,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: Naukrigulf requisition; URL slug encodes employer Storeys Real Estate, Dubai and a 1-3 year band - clearly junior to the candidate.",2026-09-21
VP-037,Real Estate Manager,OSP Real Estate LLC,Unclassified,UAE,Dubai,Dubai,Manager,2-4 years,See role title,,Not disclosed,Unknown,Verification pass,https://www.naukrigulf.com/real-estate-manager-jobs-in-dubai-uae-in-osp-real-estate-l-l-c-2-to-4-years-n-cd-360955-jid-120826000751,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: Naukrigulf requisition; URL slug encodes title, employer OSP Real Estate LLC, Dubai and a 2-4 year band - junior to the candidate.",2026-09-21
VP-039,Senior Leasing Manager,"Place Vendome Mall, Doha (via Bayt)",Unclassified,Qatar,Doha,Doha,Senior Manager,Not stated,See role title,,Not disclosed,Unknown,Verification pass,https://www.bayt.com/en/qatar/jobs/real-estate-manager-jobs/,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: Bayt Qatar listing surfaced as 'Senior Leasing Manager - Place Vendome, Doha' with JD text: drive leasing operations at Place Vendome, maximise occupancy rates and enhance revenue through strategic tenant acquisition and retention. Named site and title but the search returned only the Bayt category page URL, not the requisition permalink. Retail, not residential.",2026-09-21
VP-041,Retail Property Manager,Place Vendome Qatar (via Bayt),Unclassified,Qatar,Doha,Doha,Manager,Not stated,See role title,,Not disclosed,Unknown,Verification pass,https://www.bayt.com/en/qatar/jobs/property-management-jobs/,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: Bayt Qatar listing surfaced as 'Retail Property Manager - Place Vendome Qatar'; JD in result: oversee retail operations, lead a multidisciplinary team, liaise between mall management and tenants. Category-page URL only, no requisition permalink.",2026-09-21
VP-043,"Vice President, Valuations",Mubadala Investment Company,Unclassified,UAE,Abu Dhabi,Abu Dhabi,VP,Not stated,See role title,,Not disclosed,Unknown,Verification pass,https://www.linkedin.com/jobs/view/4035907795/,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: LinkedIn job page titled 'Mubadala hiring VP, Valuations in Abu Dhabi'. CAUTION: the LinkedIn job id is in a low/old range relative to the 44xxxxxxxx ids seen on confirmed-current postings, so this may be an expired requisition - treat as unconfirmed.",2026-09-21
VP-045,"Associate Director - Business Development, req 1279",Dubai Holding Asset Management (Dubai Asset Management),Unclassified,UAE,Dubai,Dubai,Associate Director,Not stated,See role title,,Not disclosed,Unknown,Verification pass,https://dhcareers.avature.net/en_US/newcareersmarketplace/JobDetail/Associate-Director-Business-Development/1279,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: Dubai Holding Avature requisition 1279; JD quoted in result: collaborate with Marketing, Revenue and Leasing teams to drive promotions, campaigns and occupancy initiatives; monitor portfolio-wide KPIs for occupancy and collections; analyse trends in occupancy, revenue and collections - the single closest functional match to the candidate's revenue/occupancy remit.",2026-09-21
VP-047,"Director - Property Management, Retail Destinations, req 1654",Dubai Holding Asset Management (Dubai Asset Management),Unclassified,UAE,Dubai,Dubai,Director,Not stated,See role title,,Not disclosed,Unknown,Verification pass,https://dhcareers.avature.net/en_US/newcareersmarketplace/JobDetail/Director-Property-Management-Skylight-Mall/1654,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: Avature requisition 1654; JD in result: strategic and operational management of the assigned retail portfolio, driving revenue growth and optimising asset value. Retail asset class rather than residential.",2026-09-21
VP-049,"Senior Manager - Strategic Planning and Analysis, req 1627",Dubai Holding,Unclassified,UAE,Dubai,Dubai,Senior Manager,Not stated,See role title,,Not disclosed,Unknown,Verification pass,https://dhcareers.avature.net/en_US/newcareersmarketplace/JobDetail/Senior-Manager-Strategic-Planning-and-Analysis/1627,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: Avature requisition 1627 on Dubai Holding's own careers marketplace, titled 'Senior Manager - Strategic Planning and Analysis' - matches the candidate's fund/capital planning and modelling side.",2026-09-21
VP-051,"Senior Executive - Property Management, req 886",Dubai Holding Asset Management (Dubai Asset Management),Unclassified,UAE,Dubai,Dubai,Senior Executive (below Manager),Not stated,See role title,,Not disclosed,Unknown,Verification pass,https://dhcareers.avature.net/en_US/newcareersmarketplace/JobDetail/Senior-Executive-Property-Management/886,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: Avature requisition 886; JD in result: join Dubai Holding Asset Management, identify and propose additional revenue generation opportunities across a portfolio of 20 retail destinations and 15 residential communities. Below the candidate's band.",2026-09-21
VP-053,"Manager - Infrastructure Planning, req 1469",Dubai Holding Real Estate,Unclassified,UAE,Dubai,Dubai,Manager,Not stated,See role title,,Not disclosed,Unknown,Verification pass,https://dhcareers.avature.net/en_US/newcareersmarketplace/JobDetail/Manager-Infrastructure-Planning/1469,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: Avature requisition 1469 titled 'Manager - Infrastructure Planning (Dubai Holding Real Estate)' - live req at the target employer but a technical/planning function, weak fit.",2026-09-21
VP-055,Fund Manager,"Manpower Middle East (recruiter, client undisclosed)",Unclassified,UAE,Dubai,Dubai,Manager,Not stated,See role title,,Not disclosed,Unknown,Verification pass,https://www.linkedin.com/jobs/view/4444521648/,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: LinkedIn job page titled 'Manpower Middle East hiring Fund Manager in Dubai'; relevant to the candidate's fund/JV capital planning and distribution modelling, but the end employer is not disclosed in the result.",2026-09-21
VP-057,"Investment Professional, Global Infrastructure",Undisclosed Abu Dhabi institution (surfaced via LinkedIn),Unclassified,UAE,Abu Dhabi,Abu Dhabi,Not stated,Not stated,See role title,,Not disclosed,Unknown,Verification pass,https://www.linkedin.com/jobs/view/4436010046/,Verified live posting,Unknown,2026-09-21,6,"Found by direct posting search rather than by a research lane, so it is not fit-scored against the profile - read the title and judge it yourself.",,"Added from a verification sweep because it matched no existing row. Real and live, but unscored and unclassified.",VERIFIED,,"Evidence: LinkedIn job result titled 'Investment Professional, Global Infrastructure, Abu Dhabi'; the employer name did not appear in the search result, so this is a live-looking posting at an UNNAMED employer - weakest row in the file, recorded only as a lead.",2026-09-21
