Listing_ID,Role_Title,Company,Company_Type,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
A06-001,Equity Analyst - Real Estate/Capital Goods,CLSA India,Investment Bank,Nariman Point,Senior Analyst,4-6 yrs,Equity Research,Real estate sector modelling;Capital goods coverage;Financial modelling;Valuation;Client notes,Not disclosed,Unknown,foundit,https://www.foundit.in/job/equity-analyst-real-estate-capital-goods-cat-3-aif-clsa-limited-mumbai-53405000,Verified live posting,Unknown,2026-09-19,8,"Direct sector match - Asset-level SFR pricing/yield optimisation and disposition analytics map directly onto real-estate sector coverage, and the role explicitly covers real estate.",Asset-level SFR pricing/disposition analytics = real estate coverage modelling,"Listing seen live on foundit with title, years (4-6) and company confirmed; apply directly, lead with RE asset analytics despite no prior sell-side research title.",A06,No range given (benchmark 10-20),,
A06-002,Equity Research Analyst - Real Estate & Infrastructure,Kotak Institutional Equities,Investment Bank,BKC,Senior Analyst,~5-9 yrs (inferred),Equity Research,Real estate financial modelling;REIT valuation;Infrastructure coverage;Excel;Client reporting,30-50,Market estimate,Company Careers Page,https://kie.kotak.com/kinsite/,Target employer - not verified,Unknown,2026-09-19,8,Kotak's institutional research franchise runs an active real estate/infra desk - Asset-level SFR pricing/yield optimisation and disposition analytics map directly onto real-estate sector coverage.,SFR portfolio pricing/yield work = REIT-style coverage thesis-building,No live vacancy seen; well-founded target given Kotak's RE/infra coverage franchise and Mumbai HQ. Pre-empt lack of sell-side pedigree by leading with quantitative asset analytics.,A06,Above benchmark (10-20),,
A06-003,Research Analyst - Real Estate,Motilal Oswal Financial Services (Institutional Equities),Investment Bank,Worli,Senior Analyst,~5-9 yrs (inferred),Equity Research,Real estate sector modelling;Company coverage initiation;Valuation;Excel;Sector thematic notes,28-48,Market estimate,Company Careers Page,https://www.motilaloswalgroup.com/Our-Businesses/Institutional-Equities,Target employer - not verified,Unknown,2026-09-19,8,"Motilal Oswal names Macrotech and Oberoi as top RE picks, confirming an active RE desk - Asset-level SFR pricing/yield optimisation and disposition analytics map directly onto real-estate sector coverage.",Fund/JV capital planning experience = ability to model developer capital structures,No specific vacancy surfaced; target based on confirmed active RE coverage. Emphasise platform-scale portfolio analytics over lack of formal sell-side title.,A06,Above benchmark (10-20),,
A06-004,Equity Research Analyst - Real Estate,ICICI Securities,Investment Bank,Lower Parel,Manager,~5-8 yrs (inferred),Equity Research,Real estate valuation;NAV modelling;Financial modelling;Excel;Sector coverage,25-45,Market estimate,Naukri,https://www.naukri.com/equity-analyst-jobs-in-mumbai,Search-surfaced,Unknown,2026-09-19,8,"Search results show 2,000+ active equity-analyst listings in Mumbai including RE-sector coverage at ICICI Securities' scale - Asset-level SFR pricing/yield optimisation and disposition analytics map directly onto real-estate sector coverage.",Retail disposition strategy = asset-level exit/valuation analytics for developer coverage,"General search surfaced volume of equity-analyst roles, not a specific ICICI Sec posting; verify current opening on Naukri before applying.",A06,Above benchmark (10-20),,
A06-005,Research Analyst - Real Estate & Infrastructure,Nuvama Wealth (Institutional Equities),Investment Bank,BKC,Senior Analyst,~5-9 yrs (inferred),Equity Research,Real estate coverage;Infra financial modelling;Valuation;Excel;Client interaction,28-48,Market estimate,Naukri,https://www.naukri.com/equity-analyst-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,8,Nuvama (formerly Edelweiss Securities) runs an institutional RE/infra desk - Asset-level SFR pricing/yield optimisation and disposition analytics map directly onto real-estate sector coverage.,Distribution/waterfall modelling = infra-project cashflow modelling skillset,No specific vacancy seen; well-founded target given Nuvama's institutional equities franchise in BKC.,A06,Above benchmark (10-20),,
A06-006,Equity Research Associate - India Real Estate,Jefferies India,Investment Bank,BKC,Senior Analyst,~5-8 yrs (inferred),Equity Research,Real estate sector modelling;Global client coverage;Financial modelling;Valuation;Excel,Not disclosed,Unknown,Company Careers Page,https://www.jefferies.com/jefferieslp_analyst_sector/india-research/,Search-surfaced,Unknown,2026-09-19,8,Jefferies India Research page confirms an active named India real-estate analyst desk - Asset-level SFR pricing/yield optimisation and disposition analytics map directly onto real-estate sector coverage.,SFR revenue management = yield/rent-growth thesis input for RE analyst notes,"Jefferies' India-research page confirms a live RE coverage team, not a specific open req; approach via careers.jefferies.com or LinkedIn referral.",A06,No range given (benchmark 10-20),,
A06-007,Research Analyst - Real Estate & Infrastructure,Nomura India,Investment Bank,Worli,Senior Analyst,~5-9 yrs (inferred),Equity Research,Real estate valuation;Infra coverage;Financial modelling;Excel;Global client servicing,30-50,Market estimate,Company Careers Page,https://careers.nomura.com/Nomura/go/Career-Opportunities-India/9050900/,Target employer - not verified,Unknown,2026-09-19,8,Nomura maintains an India institutional research desk with RE/infra coverage - Asset-level SFR pricing/yield optimisation and disposition analytics map directly onto real-estate sector coverage.,Fund/JV capital planning = ability to model global-standard RE cashflows and structures,Careers portal lists India openings generically; no specific RE analyst req confirmed at time of search.,A06,Above benchmark (10-20),,
A06-008,Research Analyst - Real Estate/Infrastructure,Macquarie Capital India,Investment Bank,BKC,Senior Analyst,~5-9 yrs (inferred),Equity Research,Infrastructure & real estate coverage;Financial modelling;Valuation;Excel;Client notes,30-50,Market estimate,Naukri,https://www.naukri.com/equity-analyst-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,8,Macquarie's global infra/RE franchise runs India coverage out of Mumbai - Asset-level SFR pricing/yield optimisation and disposition analytics map directly onto real-estate sector coverage.,Asset-level exit/disposition analytics = infra/RE asset valuation skillset,No live vacancy confirmed; target based on Macquarie's global RE/infra research franchise presence in Mumbai.,A06,Above benchmark (10-20),,
A06-009,Research Analyst - Real Estate,IIFL Securities,Investment Bank,Lower Parel,Manager,~5-8 yrs (inferred),Equity Research,Real estate sector modelling;Valuation;Excel;Channel checks;Sector thematic reports,22-38,Market estimate,Naukri,https://www.naukri.com/equity-analyst-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,8,IIFL runs a domestic institutional research desk with RE sector coverage - Asset-level SFR pricing/yield optimisation and disposition analytics map directly onto real-estate sector coverage.,Rent/pricing optimisation = comparable-asset yield analysis for RE coverage notes,No specific vacancy confirmed; IIFL is a well-founded target given its active domestic RE coverage team.,A06,Above benchmark (10-20),,
A06-010,Equity Research Analyst,Emkay Global Financial Services,Investment Bank,Mumbai (unspecified),Manager,~4-7 yrs (inferred),Equity Research,Financial modelling;Valuation;Sector coverage;Excel;Client notes,18-32,Market estimate,Glassdoor,"https://www.glassdoor.co.in/Job/mumbai-equity-research-analyst-jobs-SRCH_IL.0,6_IC2851180_KO7,30.htm",Search-surfaced,Unknown,2026-09-19,6,Generalist sell-side research is a transferable but sideways move from RE-specific asset/portfolio analytics.,Financial modelling and forecasting rigor from revenue-management role,"Search shows 100+ active equity-research-analyst listings in Mumbai; sector assignment (not necessarily RE) is uncertain, so treat as a generalist fallback lane.",A06,Above benchmark (10-20),,
