Listing_ID,Role_Title,Company,Company_Type,Country,City,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
I02-001,Manager - Revenue Management,Air India Express,Corporate,India,Gurugram,Gurugram (unspecified),Manager,6+ yrs (posted),Revenue Management,Airline revenue management; pricing; commercial analytics; forecasting,25-40,Market estimate,LinkedIn,https://careers.airindia.com/,Verified live posting,Unknown,2026-09-20,9,"Posted spec asks for 6+ years in revenue management, pricing or commercial analytics with an MBA - his band and his discipline, stated almost verbatim.","Rent and occupancy optimisation as yield management: same inventory-perishability logic, different asset.","Strongest single row in this lane. Air India Express is headquartered in Gurugram. Lead with portfolio-level pricing ownership rather than airline-specific experience, which is the obvious gap.",I02,Not benchmarked (non-Mumbai market),,
I02-002,Assistant Manager - Revenue Management,IndiGo (InterGlobe Aviation),Corporate,India,Gurugram,Gurugram (unspecified),Manager,3-6 yrs,Revenue Management,Revenue management; pricing decisions; demand forecasting; Excel modelling,18-28,Market estimate,iimjobs,https://www.iimjobs.com/j/indigo-assistant-manager-revenue-management-1636886,Verified live posting,Unknown,2026-09-20,8,A live posting at India's largest airline for developing and maximising revenue opportunities - the same optimisation problem he runs on housing stock.,Pricing and renewal strategy across a large portfolio; comfort owning a revenue number.,"Assistant Manager sits slightly below his band - worth applying anyway as a route into IndiGo's RM function, or asking the recruiter about the Manager grade.",I02,Not benchmarked (non-Mumbai market),,
I02-003,Manager - Business Analyst (Revenue),IndiGo (InterGlobe Aviation),Corporate,India,Gurugram,Gurugram (unspecified),Manager,4-8 yrs,Revenue Management,Revenue and cost budgeting; forecasting; target setting; competitive monitoring,20-32,Market estimate,LinkedIn,https://in.linkedin.com/jobs/indigo-jobs-gurgaon,Verified live posting,Unknown,2026-09-20,8,"Revenue and cost budgeting, forecasting and target setting is the analytical core of his current role, applied to seat inventory.",Revenue forecasting and budget ownership across a portfolio.,Sits alongside IndiGo's RM team. A realistic second door into the same function if the RM req closes.,I02,Not benchmarked (non-Mumbai market),,
I02-004,Manager - Cargo Pricing,Air India,Corporate,India,Gurugram,Gurugram (unspecified),Manager,5-7 yrs (posted),Pricing,Pricing; revenue management; commercial strategy; network planning,22-35,Market estimate,Company Careers Page,https://careers.airindia.com/job/Gurugram-Manager-Cargo-Pricing/49077844/,Verified live posting,Unknown,2026-09-20,7,"Posted at exactly his experience band and names pricing, revenue management and network planning - but cargo economics differ meaningfully from passenger or residential yield.",Pricing strategy ownership; commercial analytics.,Honest caveat: air cargo is a distinct discipline with freight-forwarder dynamics he has not worked. A fallback rather than a lead target.,I02,Not benchmarked (non-Mumbai market),,
I02-005,Route Manager - UK & Europe,Air India,Corporate,India,Gurugram,Gurugram (unspecified),Manager,5-8 yrs,Revenue Management,Route strategy; pricing models; revenue management; network alignment,22-35,Market estimate,Company Careers Page,https://careers.airindia.com/job/Gurugram-Route-Manager-UK-&-Europe/41775044/,Verified live posting,Unknown,2026-09-20,7,Route-level P&L with pricing and revenue management as the core levers - structurally similar to running a sub-portfolio of homes.,Sub-portfolio revenue ownership and pricing strategy.,Route management is closer to general commercial management than pure RM. Good if he wants P&L ownership rather than a pure analytics seat.,I02,Not benchmarked (non-Mumbai market),,
I02-006,Revenue Manager,MakeMyTrip,Corporate,India,Gurugram,Gurugram (unspecified),Manager,3-7 yrs (posted),Revenue Management,Pricing strategy; margin and conversion management; category performance; go-to-market,20-35,Market estimate,Instahyre,https://www.instahyre.com/job-200136-revenue-manager-at-makemytrip-gurgaon/,Verified live posting,Unknown,2026-09-20,8,"Live posting managing active revenue levers against daily margin, conversion and transaction goals - the same daily-yield discipline at higher transaction velocity.",Daily revenue lever management; pricing against conversion.,"MakeMyTrip is Gurugram-headquartered and runs a genuine RM function. Faster cadence than real estate - expect to prove comfort with daily decisions, not quarterly ones.",I02,Not benchmarked (non-Mumbai market),,
I02-007,Assistant Manager - Revenue Management,MakeMyTrip,Corporate,India,Gurugram,Gurugram (unspecified),Manager,2-5 yrs,Revenue Management,Revenue levers; category management; pricing; analytics,15-26,Market estimate,iimjobs,https://www.iimjobs.com/j/make-my-trip-assistant-manager-revenue-management-1602158,Verified live posting,Unknown,2026-09-20,6,Same function as the Revenue Manager row but a grade below his band - listed for completeness rather than as a target.,Pricing and category analytics.,"Below his seniority. Included so the RM landscape at MakeMyTrip is visible in full, not as an application.",I02,Not benchmarked (non-Mumbai market),,
I02-008,Revenue Manager / Category Manager,OYO,Corporate,India,Gurugram,Gurugram (unspecified),Manager,4-8 yrs,Revenue Management,Revenue management; category strategy; dynamic pricing; occupancy optimisation,20-35,Market estimate,LinkedIn,https://in.linkedin.com/jobs/view/revenue-manager-category-manager-at-oyo-usa-4367047565,Verified live posting,Unknown,2026-09-20,8,Hospitality inventory yield at scale across thousands of properties - the closest travel-sector analogue to managing occupancy across a large housing portfolio.,Occupancy and rate optimisation across a distributed asset base.,"OYO is Gurugram-headquartered. The distributed, asset-light model is closer to SFR than a single-hotel operator would be.",I02,Not benchmarked (non-Mumbai market),,
I02-009,Manager - Revenue Management,SpiceJet,Corporate,India,Gurugram,Gurugram (unspecified),Manager,5-9 yrs (inferred),Revenue Management,Airline pricing; inventory management; demand forecasting,18-30,Market estimate,Naukri,https://www.naukri.com/airline-revenue-management-jobs-in-gurugram,Target employer - not verified,Unknown,2026-09-20,7,Same discipline as the IndiGo and Air India rows at a smaller carrier; airline RM remains a direct analogue of his pricing work.,Yield management and demand forecasting.,SpiceJet's financial position has been volatile - weigh stability alongside fit. No specific opening seen.,I02,Not benchmarked (non-Mumbai market),,
I02-010,Manager - Revenue Management,Yatra Online,Corporate,India,Gurugram,Gurugram (unspecified),Manager,4-8 yrs (inferred),Revenue Management,Pricing; margin management; supplier economics; analytics,16-28,Market estimate,Naukri,https://www.naukri.com/revenue-management-jobs-in-gurgaon,Target employer - not verified,Unknown,2026-09-20,6,OTA revenue management is the same lever set as MakeMyTrip at smaller scale; transferable but a smaller platform.,Pricing and margin optimisation.,Smaller than MakeMyTrip. Treat as a secondary OTA option.,I02,Not benchmarked (non-Mumbai market),,
