Listing_ID,Role_Title,Company,Company_Type,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
A11-001,Lead Data Scientist,Piramal Finance Limited,NBFC / HFC,Lower Parel,Manager,5-10 yrs,Data & Analytics,Python; ML; Credit risk analytics; SQL; Forecasting,Not disclosed,Market estimate,Instahyre,https://www.instahyre.com/job-229235-lead-data-scientist-at-piramal-capital-housing-finance-mumbai/,Verified live posting,Unknown,2026-09-19,6,"NBFC lending-analytics leadership role uses forecasting/scenario-modelling muscle similar to his revenue forecasting, though credit-risk ML is a new domain.",Revenue forecasting & scenario modelling across a large residential portfolio,Lead with model-owner/strategy framing rather than ML engineering depth to pre-empt gap. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,No range given (benchmark 22-46),,
A11-002,Lead Business Analyst,IDFC FIRST Bank,Bank,BKC,Manager,8-12 yrs,Data & Analytics,Big Data; DWH/ETL; Business Analysis; SQL; Stakeholder management,Not disclosed,Market estimate,Instahyre,https://www.instahyre.com/job-423816-lead-business-analyst-at-idfc-first-bank-mumbai/,Verified live posting,Unknown,2026-09-19,6,"Bank-wide BI/analytics leadership mirrors his cross-functional, data-driven decision support, though bank DWH/ETL specifics are new.",Cross-functional strategy and BI-driven decision support at platform scale,"Emphasise strategy delivery across pricing/portfolio, not just tooling. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.",A11,No range given (benchmark 22-46),,
A11-003,Data Analyst – Data Operations,S&P Global,Global Capability Centre,Mumbai (unspecified),Analyst,~2-5 yrs (junior; below target band),Data & Analytics,Financial data quality; data operations; Excel; SQL,Not disclosed,Market estimate,Company Careers Page,https://careers.spglobal.com/jobs/329670?lang=en-us,Verified live posting,Unknown,2026-09-19,3,"Entry/mid-level data-operations role, well below his seniority band; included only as evidence S&P Global is actively hiring analytics staff in Mumbai.",Not a lead application — use as employer-presence signal only,Do not apply to this specific req; instead network toward Manager/AVP-level analytics openings at S&P Global Mumbai.,A11,No range given (benchmark 22-46),,
A11-004,Quantitative Analyst – High Frequency Trading,Dolat Capital Market Pvt Ltd,Investment Bank,Mumbai (unspecified),Analyst,0-4 yrs (junior; below target band),Quantitative Analyst,Statistical modelling; HFT strategy; Python/C++; market microstructure,10-20,Posted,Cutshort,https://cutshort.io/job/Quantitative-Analyst-High-Frequency-Trading-Mumbai-Dolat-Capital-Market-Private-Ltd--zwBrOrkP,Verified live posting,Unknown,2026-09-19,4,Junior HFT quant role with a trading-strategy focus that does not match his portfolio/revenue-management background or seniority.,Weak fit — included for completeness of the quant-analyst search sweep,Not recommended as a real target; seniority and domain (HFT trading) mismatch.,A11,Below benchmark (22-46),,
A11-005,Quantitative Research Analyst,Choice International Limited,Investment Bank,Mumbai (unspecified),Analyst,0-2 yrs (junior; below target band),Quantitative Analyst,Stock selection; portfolio construction; equity research; Excel,2-5,Posted,Cutshort,https://cutshort.io/job/Quantitative-Research-Analyst-Mumbai-choice-international-limited-Kd5Gm82C,Verified live posting,Unknown,2026-09-19,3,"Entry-level equity quant-research role, far below his seniority and outside real-asset/portfolio-management focus.",Weak fit — listed only for search completeness,Not a realistic target given seniority gap.,A11,Below benchmark (10-20),,
A11-006,"Quantitative Research – Custody & Fund Services, Associate/VP",JPMorgan Chase,Investment Bank,BKC,VP,6-10 yrs (inferred for VP band),Fund Finance,Fund services analytics; quantitative research; custody operations; risk/valuation modelling,Not disclosed,Market estimate,Company Careers Page,https://www.themuse.com/jobs/jpmorganchase/quantitative-research-custody-fund-services-associatevice-president,Verified live posting,Unknown,2026-09-19,8,Quant research supporting custody & fund services is a strong adjacency to his fund/JV capital planning and distribution-modelling experience.,Fund and JV capital planning; distribution/waterfall modelling,Strong direct hit for fund-mechanics background; emphasise waterfall/promote modelling. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,No range given (benchmark 22-50),,
A11-007,Data Analytics & AI – Prime Brokerage and Funding Technology,Morgan Stanley,Investment Bank,Mumbai (unspecified),AVP,~6-10 yrs (inferred),Data & Analytics,Prime brokerage analytics; funding/financing data; Python/SQL; quantitative AI,Not disclosed,Market estimate,LinkedIn,https://www.themuse.com/jobs/jpmorganchase/quantitative-research-custody-fund-services-associatevice-president,Search-surfaced,Unknown,2026-09-19,6,"Search results indicate Morgan Stanley Mumbai is expanding data analytics/AI capability inside financing functions, adjacent to his capital/fund-mechanics background but not real-asset specific.",Fund and JV capital planning experience translating to financing-desk analytics,No specific posting seen; watch Morgan Stanley India careers page for AVP-level analytics roles. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,No range given (benchmark 22-46),,
A11-008,Senior Manager – Decision Science (Financial Services),Fractal Analytics,Consulting,Mumbai (unspecified),Senior Manager,8-12 yrs (inferred),Data & Analytics,Decision science; predictive modelling; BFSI clients; Python/R; stakeholder management,30-50,Market estimate,LinkedIn,https://in.linkedin.com/jobs/fractal-analytics-jobs-mumbai,Search-surfaced,Unknown,2026-09-19,7,"Consulting decision-science roles serving BFSI clients use the same forecasting/scenario toolkit as his revenue-management work, one step removed from owning a portfolio.",Builder of the model that settles the argument — applied to client engagements instead of one platform,"LinkedIn listing shows Senior Manager-level openings generically, not a specific req. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.",A11,In line (22-46),,
A11-009,"Manager – Data & Analytics (Mumbai, Open Roles)",MSCI,Consulting,Mumbai (unspecified),Manager,~6-9 yrs (inferred),Data & Analytics,Index/ESG data; financial analytics; SQL; Python; client reporting,30-48,Market estimate,Company Careers Page,https://careers.msci.com/job-search?production__mscicare2201__sort-rank%5BrefinementList%5D%5Btown_city_country%5D%5B0%5D=Mumbai+%7C+India,Search-surfaced,Unknown,2026-09-19,6,MSCI's Mumbai careers page filters to open India roles but the search did not surface a specific title; general analytics-manager adjacency only.,Financial-data product analytics,Career-page filter confirmed openings exist; no specific req captured. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (22-46),,
A11-010,Financial Analyst,Arcana,Fintech,Mumbai (unspecified),Analyst,2-6 yrs,FP&A,Excel; financial analysis; reporting,Not disclosed,Unknown,Instahyre,https://www.instahyre.com/job-325827-financial-analyst-at-arcana-bangalore-mumbai-work-from-home/,Verified live posting,Unknown,2026-09-19,3,Generalist Excel-based financial-analyst role with no stated pricing/portfolio/data-science scope — domain mismatch despite the fintech label.,Weak fit — listed for completeness only,Work-from-home/Bangalore-Mumbai hybrid listing; not a strong target given seniority and scope mismatch.,A11,No range given (benchmark 13-26),,
