Company,Role_Title,City,Seniority,Experience_Required,Source_URL,Posting_Date,Evidence
Dubai Holding Asset Management (Dubai Asset Management),Senior Manager - Leasing Residential (UAE National),Dubai,Senior Manager,8-10 years,https://www.founditgulf.com/job/senior-manager-leasing-residential-uaen-dubai-holding-asset-management-united-arab-emirates-50180552,2026-06-28,"foundit Gulf listing titled 'Senior Manager - Leasing Residential UAEN with 8 - 10 Years of Experience at dubai holding asset management in United Arab Emirates, Dubai'; same role also live on LinkedIn (job 4421920675); JD text: manage all residential leasing activities to achieve 100% occupancy of the DHAM residential portfolio and maximise leasing revenues. LinkedIn twin posting (4421920675) shown as posted 28 June 2026."
Dubai Holding Asset Management (Dubai Asset Management),Senior Manager - Leasing Residential,Dubai,Senior Manager,8-10 years (per parallel UAEN listing),https://www.linkedin.com/jobs/view/4438071291/,2026-07-16,"LinkedIn jobs page headed 'Dubai Holding Asset Management hiring Senior Manager - Leasing Residential in Dubai, United Arab Emirates' - open (non-nationalised) version of the same requisition. Search result stated this listing was posted 16 July 2026."
Dubai Holding Asset Management (Dubai Asset Management),Senior Manager - Property Management,Dubai,Senior Manager,8-10 years,https://www.founditgulf.com/job/senior-manager-property-management-dubai-holding-asset-management-united-arab-emirates-49943457,Unknown,"foundit Gulf listing titled 'Senior Manager Property Management with 8 - 10 Years of Experience at dubai holding asset management in United Arab Emirates, Dubai' - title, employer and experience band all in the result."
Dubai Holding Asset Management (Dubai Asset Management),"Senior Executive - Leasing (National Talent), req 885",Dubai,Senior Executive (below Manager),Not stated,https://dhcareers.avature.net/en_US/newcareersmarketplace/JobDetail/Senior-Executive-Leasing/885,Unknown,"Dubai Holding's own Avature careers portal job detail page, requisition 885, titled 'Senior Executive Leasing - Dubai Holding Asset Managment (National Talent)'; JD supports Residential Leasing team business development across the residential portfolio."
wasl Asset Management Group,Asset Manager (hospitality/hotel investment portfolio),Dubai,Manager,Not stated,https://workopia.io/jobs/a2c5e68eaf94f87a57f7ef8cc7ac782c,Unknown,"Aggregator listing titled 'Asset Manager at Wasl' with substantive JD in the result: optimise performance and value of the hotel investment portfolio, analyse hotel P&L, trend analysis, Microsoft BI dashboards, budgets/forecasts, feasibility studies - adjacent to but not core residential revenue management."
wasl Group,Portfolio Executive,Dubai,Executive (below Manager),Not stated,https://ae.bebee.com/job/3bdcc1eead4526d5dd973d4f456b405c,Unknown,"beBee job page titled 'Portfolio Executive - Dubai - Wasl Group' - named employer, named title, Dubai location; seniority is below the candidate's target band."
wasl Asset Management Group,Leasing Manager (residential/commercial/retail portfolios),Dubai,Manager,"Experienced, UAE leasing background required (no numeric band shown)",https://www.gulftalent.com/companies/wasl-asset-management-group-careers,Unknown,"Search summary surfaced a live wasl Leasing Manager JD - oversee leasing across residential, commercial or retail portfolios and manage a team of leasing executives, requiring UAE leasing and team-leadership background - but no direct requisition URL surfaced, so the employer careers/GulfTalent company page is the only citable link. WEAKER EVIDENCE than the other rows."
Aldar Investment (Aldar Properties PJSC),Vice President - Portfolio Management,Abu Dhabi,VP,Not stated in result,https://jobs.lever.co/aldar/2440ad1f-c9e9-432b-8d32-1bd232947404,Unknown,Live requisition on Aldar's own Lever board titled 'Aldar Investment - Vice President - Portfolio Management' - closest title match in the dataset to the candidate's current portfolio-management remit.
Aldar Properties PJSC,Vice President - Asset Management,Abu Dhabi,VP,Not stated in result,https://jobs.lever.co/aldar/e23dd125-0b81-458d-bc7d-956573ae2d12,Unknown,Live requisition on Aldar's own Lever ATS board titled 'Aldar Properties PJSC - Vice President - Asset Management'.
Aldar Properties PJSC,Assistant Vice President - Asset Management,Abu Dhabi,AVP (Senior Manager/Director equivalent),8+ years,https://jobs.lever.co/aldar/6562d0fd-b696-48cb-83a9-1802e23d1e02,Unknown,Lever requisition; search result quoted the requirement 'Min of 8+ years of related experience in managing retail asset properties' - retail rather than residential asset class.
Aldar Properties PJSC,Associate Director - Investment Management & Deal Structuring,Abu Dhabi,Associate Director,Not stated in result,https://jobs.lever.co/aldar/9900436a-7232-4326-98dc-b0cf9ed722a8/apply,Unknown,Live Lever requisition with an active apply page titled 'Aldar Properties PJSC - Associate Director - Investment Management & Deal structuring' - maps to the candidate's fund/JV capital planning background.
Aldar Properties PJSC,Vice President - DM Portfolio (Development Management Portfolio),Abu Dhabi,VP,Not stated in result,https://jobs.lever.co/aldar/717ac892-f710-41e7-842c-4b1128cac763,Unknown,Live Lever requisition titled 'Aldar Properties PJSC - Vice President - DM Portfolio'.
Aldar Properties PJSC,Vice President - Retail Leasing,Abu Dhabi,VP,Not stated in result,https://jobs.lever.co/aldar/09f7f2cd-719c-4fdf-a9b9-97ac9da6e179,Unknown,Live Lever requisition; search result explicitly flagged 'This role is for Emiratization only' - NOT open to a non-Emirati candidate. Recorded as a negative/blocked finding.
Aldar Properties PJSC,Senior Associate - Investment Management,Abu Dhabi,Senior Associate (below target band),4+ years,https://jobs.lever.co/aldar/7fc4cf01-a29a-45a2-8fa2-a29a3e972d76,Unknown,"Live Lever requisition; result quoted 'Min of 4+ years of experience in real estate, private equity, investment banking, buy side or sell side advisory' - junior to the candidate's band."
Aldar Properties PJSC,Assistant Vice President - Business Intelligence,Abu Dhabi,AVP,Not stated in result,https://jobs.lever.co/aldar/fde44d8d-d908-4582-a488-00572a4f4366/apply,Unknown,Live Lever requisition with active apply page titled 'Aldar Properties PJSC - Assistant Vice President - Business Intelligence' - adjacent fit via the candidate's rent-optimisation/analytics work.
Chestertons MENA,Head of Residential Sales and Leasing,Dubai,Head of / Director,Established real estate professional; RERA brokerage licence required,https://www.gulftalent.com/uae/jobs/head-of-residential-sales-and-leasing-365873,Unknown,"GulfTalent requisition page 365873, employer Chestertons, with JD in the result: reports to the CEO, drives allocation and performance of the sales and leasing team, manages a team of property consultants - brokerage-side rather than owner/operator-side leasing."
Global Corporation,Leasing Manager,Dubai,Manager,Not stated,https://www.gulftalent.com/uae/jobs/leasing-manager-483891,Unknown,"GulfTalent requisition 483891; JD shown in result: implement the leasing strategy to secure prime locations, maximise revenue, ensure best practices and manage key tenant relationships - revenue-maximisation framing matches the candidate, but the employer name is generic."
Banke International Properties,Sales & Leasing Manager - Real Estate Experienced,Dubai,Manager,3+ years as a manager in real estate; RERA certified,https://www.gulftalent.com/uae/jobs/sales-leasing-manager-real-estate-experienced-302861,Unknown,"GulfTalent requisition 302861 naming Banke International Properties, with stated requirement of more than 3 years in real estate as a manager and experience handling 20+ sales agents - brokerage role, below the candidate's band."
PER (Private Equity Recruitment) - confidential Abu Dhabi client,"Portfolio Manager, Funds, Secondaries & Co-Investments",Abu Dhabi,Manager,5-7 years,https://www.naukrigulf.com/portfolio-manager-funds-secondaries-co-investments-jobs-in-abu-dhabi-uae-in-client-of-per-5-to-7-years-n-cd-10051743-jid-220526500135,Unknown,"Naukrigulf requisition whose URL slug itself encodes title, employer ('client of PER'), Abu Dhabi and the 5-7 year band; strong match to the candidate's fund/JV capital planning and distribution modelling, though the end employer is undisclosed."
Asico Real Estate LLC,Portfolio Manager,Dubai,Manager,3-8 years,https://www.naukrigulf.com/portfolio-manager-jobs-in-dubai-uae-in-asico-real-estate-llc-3-to-8-years-n-cd-40003148-jid-270726500464,Unknown,"Naukrigulf requisition; URL slug encodes title 'Portfolio Manager', employer Asico Real Estate LLC, Dubai and a 3-8 year experience band."
Ascentya Real Estate LLC,"Real Estate Portfolio Manager (full-time, on-site)",Dubai,Manager,1-6 years,https://www.naukrigulf.com/real-estate-portfolio-manager-jobs-in-dubai-uae-in-ascentya-real-estate-l-l-c-1-to-6-years-n-cd-361381-jid-170826000417,Unknown,"Naukrigulf requisition; URL slug encodes title, employer Ascentya Real Estate LLC, Dubai and a 1-6 year band - band sits below the candidate's target."
