Listing_ID,Role_Title,Company,Company_Type,Country,City,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
G04-001,Director - Leasing & Revenue Strategy (Residential),Emaar Properties,Real Estate Developer,UAE,Dubai,Downtown Dubai,Director,~8-12 yrs (inferred),Revenue Management,Residential rent optimisation; occupancy & renewal strategy; revenue forecasting; portfolio performance; leasing analytics,"AED 45-70k/month (~INR 145-225 LPA equivalent, tax-free)",Market estimate (AED),Company Careers Page,https://www.emaar.com/en/careers/,Target employer - not verified,Unknown,2026-09-19,10,"Portfolio-level rent optimisation, occupancy and renewal strategy across a large owned residential book is the same mandate he runs at Amherst, only in Dubai rather than US SFR.",Rent/pricing optimisation and renewal strategy across a large residential portfolio,"Emaar runs one of the largest owned residential leasing books in the Gulf. UAE work permit is employer-sponsored via MOHRE; AI-assisted processing runs ~7-10 working days in 2026 and there is no personal income tax, so the net-of-tax step-up on a headline AED number is real. Pre-empt the no-GCC-market gap by leading with portfolio-scale pricing algorithms rather than local comps knowledge.",G04,Above Dubai market (AED 7-18k/mo),"Employer careers portal confirmed (properties.emaar.com/en/careers; roughly 14-16 open roles when checked), BUT visible hiring skews to hospitality, sales, engineering and malls - no leasing or revenue-strategy opening was found. The senior revenue-strategy seat this row assumes is inferred, not observed. Treat as outreach, not an application. COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G04-002,Head of Revenue & Occupancy - Residential Portfolio,Aldar Estates,Real Estate Developer,UAE,Abu Dhabi,Al Maryah Island,Director,~8-12 yrs (inferred),Revenue Management,Residential yield management; occupancy forecasting; renewal pricing; asset performance reporting; BI/SQL,"AED 45-65k/month (~INR 145-210 LPA equivalent, tax-free)",Market estimate (AED),Company Careers Page,https://jobs.lever.co/aldar,Search-surfaced,Unknown,2026-09-19,10,"Aldar Estates manages Abu Dhabi residential communities at portfolio scale - occupancy, renewal and rent-setting decisions are structurally identical to his SFR revenue mandate.",Portfolio performance management + occupancy/renewal strategy across a large residential book,"Aldar Estates is the property/community management arm, distinct from Aldar Development. UAE work permit is employer-sponsored via MOHRE; AI-assisted processing runs ~7-10 working days in 2026 and there is no personal income tax, so the net-of-tax step-up on a headline AED number is real. Abu Dhabi is quieter than Dubai but Aldar is the single dominant residential landlord there.",G04,Above Dubai market (AED 7-18k/mo),"Employer VERIFIED: Aldar runs its careers through Lever (jobs.lever.co/aldar) and posts asset-management roles - an 'Assistant Vice President - Asset Management - Retail' was among recent listings, confirming the function and seniority band exist. The specific residential role in this row was not seen. COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G04-003,Revenue Strategy Manager - Residential Leasing,Dubai Holding Asset Management,Asset Manager,UAE,Dubai,Business Bay,Senior Manager,~7-11 yrs (inferred),Revenue Management,Rent optimisation; portfolio occupancy strategy; demand forecasting; pricing governance; tenant renewal analytics,"AED 38-55k/month (~INR 125-180 LPA equivalent, tax-free)",Market estimate (AED),LinkedIn,https://www.linkedin.com/jobs/search/?keywords=revenue%20strategy%20manager&location=Dubai,Target employer - not verified,Unknown,2026-09-19,9,DHAM holds tens of thousands of residential units across Dubai communities - a genuine portfolio revenue seat rather than a single-asset job.,Revenue strategy across a multi-thousand-unit residential portfolio,"DHAM absorbed Nakheel and Meraas asset management; the residential leasing book is very large. UAE work permit is employer-sponsored via MOHRE; AI-assisted processing runs ~7-10 working days in 2026 and there is no personal income tax, so the net-of-tax step-up on a headline AED number is real.",G04,Above Dubai market (AED 7-18k/mo),"COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G04-004,Manager - Revenue & Portfolio Strategy (Residential),wasl Asset Management Group,Asset Manager,UAE,Dubai,Dubai (unspecified),Manager,~6-10 yrs (inferred),Revenue Management,Residential rent strategy; occupancy management; portfolio forecasting; lease renewal pricing; Excel/BI modelling,"AED 32-45k/month (~INR 105-145 LPA equivalent, tax-free)",Market estimate (AED),LinkedIn,https://careers.wasl.ae/,Search-surfaced,Unknown,2026-09-19,9,"wasl is one of Dubai's largest residential landlords by unit count; the role is portfolio rent-setting and occupancy, not single-building management.",Rent optimisation and renewal strategy at portfolio scale,"Government-linked (Dubai Real Estate Corporation). Process can be slow and Arabic-speaking preference exists in some functions. UAE work permit is employer-sponsored via MOHRE; AI-assisted processing runs ~7-10 working days in 2026 and there is no personal income tax, so the net-of-tax step-up on a headline AED number is real.",G04,Above Dubai market (AED 7-18k/mo),"Employer VERIFIED with live roles: wasl's own portal (careers.wasl.ae) showed an 'Asset Manager' role - though scoped to the HOTEL investment portfolio, not residential - and a 'Portfolio Executive' supporting the Portfolio Manager on leasing and management of residential and retail property. wasl was established by Dubai Real Estate Corporation and runs residential, commercial, industrial, hotel and leisure assets. COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G04-005,Head of Revenue Management - MENA,Silkhaus,Proptech,UAE,Dubai,Business Bay,Director,~7-12 yrs (inferred),Revenue Management,Flexible-living yield management; dynamic pricing; occupancy optimisation; unit-level P&L; RMS/algorithmic pricing,"AED 35-50k/month (~INR 115-160 LPA equivalent, tax-free)",Market estimate (AED),LinkedIn,https://www.linkedin.com/company/silkhaus/jobs/,Target employer - not verified,Unknown,2026-09-19,9,Silkhaus runs dynamic pricing across a multi-building flexible-living residential portfolio - the closest venture-backed analogue to his Amherst revenue book.,Portfolio-level residential yield management and dynamic rent-setting,"VC-backed scale-up, so expect equity in the package and a smaller team. UAE work permit is employer-sponsored via MOHRE; AI-assisted processing runs ~7-10 working days in 2026 and there is no personal income tax, so the net-of-tax step-up on a headline AED number is real. Lead with owning the pricing model itself, not just reading one.",G04,Above Dubai market (AED 7-18k/mo),"COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G04-006,Head of Revenue Management - Middle East,IWG (Regus / Spaces),Corporate,UAE,Dubai,Business Bay,Director,~8-12 yrs (inferred),Revenue Management,Workspace yield management; occupancy & utilisation optimisation; dynamic pricing; centre-level P&L; revenue forecasting,"AED 40-58k/month (~INR 130-190 LPA equivalent, tax-free)",Market estimate (AED),Company Careers Page,https://careers.iwgplc.com/,Target employer - not verified,Unknown,2026-09-19,9,Flexible workspace revenue management is occupancy plus renewal plus price across a multi-site leased portfolio - structurally the same problem set as his SFR book.,"Occupancy, renewal and pricing strategy across a multi-site portfolio","IWG runs a large UAE/KSA centre network and prices dynamically. UAE work permit is employer-sponsored via MOHRE; AI-assisted processing runs ~7-10 working days in 2026 and there is no personal income tax, so the net-of-tax step-up on a headline AED number is real. Emphasise utilisation/occupancy modelling explicitly - that is the language they use.",G04,Above Dubai market (AED 7-18k/mo),"COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G04-007,Director of Revenue Management - MEA,WeWork Middle East,Corporate,UAE,Dubai,DIFC,Director,~8-12 yrs (inferred),Revenue Management,Workspace pricing strategy; desk/occupancy yield; membership renewal pricing; revenue forecasting; analytics,"AED 35-52k/month (~INR 115-170 LPA equivalent, tax-free)",Market estimate (AED),LinkedIn,https://www.linkedin.com/jobs/search/?keywords=revenue%20management&location=Dubai,Target employer - not verified,Unknown,2026-09-19,8,"Portfolio-level desk pricing and member-renewal economics map closely to his renewal/occupancy work, but the MEA franchise is smaller and the parent has been through restructuring.",Renewal pricing and occupancy strategy across a multi-site portfolio,"WeWork Gulf operates under a regional franchise structure - check which entity is hiring before applying. UAE work permit is employer-sponsored via MOHRE; AI-assisted processing runs ~7-10 working days in 2026 and there is no personal income tax, so the net-of-tax step-up on a headline AED number is real.",G04,Above Dubai market (AED 7-18k/mo),"COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G04-008,Head of Pricing & Monetisation,Letswork,Proptech,UAE,Dubai,Dubai (unspecified),Senior Manager,~6-10 yrs (inferred),Revenue Management,Marketplace pricing; utilisation optimisation; subscription monetisation; unit economics; SQL/analytics,"AED 25-38k/month (~INR 80-125 LPA equivalent, tax-free)",Market estimate (AED),LinkedIn,https://www.linkedin.com/company/letswork/jobs/,Target employer - not verified,Unknown,2026-09-19,8,"Workspace-utilisation pricing on a marketplace model uses his yield toolkit, though the company is early-stage and the portfolio is partner-owned rather than balance-sheet.",Yield/utilisation optimisation and subscription pricing design,"Early-stage; comp likely below a corporate seat with equity to compensate. UAE work permit is employer-sponsored via MOHRE; AI-assisted processing runs ~7-10 working days in 2026 and there is no personal income tax, so the net-of-tax step-up on a headline AED number is real.",G04,Above Dubai market (AED 7-18k/mo),"COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G04-009,Director of Revenue Management,Frank Porter,Proptech,UAE,Dubai,Business Bay,Director,~6-10 yrs (inferred),Revenue Management,Short-term rental yield; dynamic pricing; channel/OTA mix; occupancy forecasting; owner reporting,"AED 28-42k/month (~INR 90-135 LPA equivalent, tax-free)",Market estimate (AED),LinkedIn,https://www.linkedin.com/company/frank-porter/jobs/,Target employer - not verified,Unknown,2026-09-19,8,"Managing yield across hundreds of individually-owned residential units is a direct analogue to SFR revenue management, though the STR channel mix is new territory.",Unit-level pricing optimisation across a distributed residential portfolio,"Holiday-homes operator; the revenue function is genuinely portfolio-wide. UAE work permit is employer-sponsored via MOHRE; AI-assisted processing runs ~7-10 working days in 2026 and there is no personal income tax, so the net-of-tax step-up on a headline AED number is real. Pre-empt zero OTA/channel-manager experience by leading with algorithmic price-setting.",G04,Above Dubai market (AED 7-18k/mo),"COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G04-010,Head of Revenue Management,Maison Privee,Proptech,UAE,Dubai,Dubai (unspecified),Senior Manager,~5-9 yrs (inferred),Revenue Management,Dynamic pricing; short-let occupancy; revenue forecasting; channel management; portfolio yield reporting,"AED 25-35k/month (~INR 80-115 LPA equivalent, tax-free)",Market estimate (AED),Bayt,https://www.bayt.com/en/uae/jobs/revenue-manager-jobs/,Target employer - not verified,Unknown,2026-09-19,7,Portfolio short-let yield work uses his forecasting and price-setting toolkit but at smaller scale and with heavier OTA-operations content than strategy content.,Revenue forecasting and rent optimisation across a residential unit portfolio,"Mid-size holiday-homes operator. UAE work permit is employer-sponsored via MOHRE; AI-assisted processing runs ~7-10 working days in 2026 and there is no personal income tax, so the net-of-tax step-up on a headline AED number is real. Verify the role is strategy rather than day-to-day channel ops before investing in the process.",G04,Above Dubai market (AED 7-18k/mo),"COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
