Listing_ID,Role_Title,Company,Company_Type,Country,City,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
ANZ01-001,Asset Manager - Build to Rent,Mirvac (LIV Build to Rent),REIT / InvIT,Australia,Sydney,Sydney CBD,Manager,~6-10 yrs (inferred),Asset Management,BTR asset management; rent and occupancy strategy; renewals; NOI forecasting; leasing analytics,AUD 160-200k + bonus,Market estimate (AUD),SEEK,https://au.seek.com/mirvac-jobs,Search-surfaced,Unknown,2026-09-20,10,"LIV is Australia largest operating BTR platform and the role is rent, occupancy and renewal strategy across a large residential portfolio - the same job he does at Amherst.",Rent/pricing optimisation and renewal strategy across a large SFR portfolio,"Highest-priority target in the lane. Visa: Skills in Demand 482 Specialist Skills stream (AUD 146,717, no occupation-list requirement) is the cleaner route at this salary band. Pre-empt: no Australian market experience - lead with portfolio-scale revenue management transferability.",ANZ01,Not benchmarked (non-Mumbai market),,
ANZ01-002,Revenue Manager - Build to Rent,Greystar Australia,Real Estate PE,Australia,Melbourne,Melbourne CBD,Manager,~5-9 yrs (inferred),Revenue Management,Revenue management; pricing systems; occupancy forecasting; renewal pricing; market comps,AUD 150-190k + bonus,Market estimate (AUD),SEEK,https://www.seek.com.au/build-to-rent-jobs,Target employer - not verified,Unknown,2026-09-20,10,"Greystar runs US-style revenue management on its BTR stock and explicitly values operators who have used dynamic rent pricing at scale, which is his daily tool.",Dynamic rent pricing and yield management on a US institutional residential platform,"Greystar is a US parent - his US institutional residential background reads natively here. Visa: Skills in Demand 482 Specialist Skills stream (AUD 146,717, no occupation-list requirement) is the cleaner route at this salary band. Search pass found no live AU revenue-manager posting - approach via the Asia-Pacific platform rather than the property-management job feed.",ANZ01,Not benchmarked (non-Mumbai market),,
ANZ01-003,Area General Manager - Build to Rent,Assemble Communities,Real Estate Developer,Australia,Melbourne,Melbourne (unspecified),Senior Manager,~6-10 yrs (inferred),Portfolio Management,Residential portfolio performance; rent setting; occupancy; affordability modelling; reporting,AUD 140-175k,Market estimate (AUD),SEEK,https://au.seek.com/build-to-rent-jobs/in-Melbourne-VIC-3000,Search-surfaced,Unknown,2026-09-20,9,"Assemble Area GM roles own commercial and operational performance of a BTR community, which is his rent, occupancy and renewal remit at single-asset scale.",Occupancy and renewal strategy across a large residential book,"Smaller platform - emphasise hands-on analytics, not just oversight. Visa: Skills in Demand 482 Core Skills stream (AUD 79,499 floor) is plausible if the occupation maps to a Core Skills Occupation List code; salary here likely clears it easily.",ANZ01,Not benchmarked (non-Mumbai market),,
ANZ01-004,Asset Manager - Living Sectors,Local Residential,Real Estate PE,Australia,Melbourne,Melbourne (unspecified),Manager,~6-10 yrs (inferred),Asset Management,BTR asset management; business plans; rent strategy; NOI; lease-up performance,AUD 150-185k,Market estimate (AUD),LinkedIn,https://www.linkedin.com/jobs/search/?keywords=build%20to%20rent%20asset%20manager&location=Australia,Target employer - not verified,Unknown,2026-09-20,9,"Local is a dedicated BTR owner-operator where lease-up and stabilised rent strategy is the whole job, mapping to his revenue and occupancy remit.",Lease-up and stabilisation revenue planning,"Visa: Skills in Demand 482 Specialist Skills stream (AUD 146,717, no occupation-list requirement) is the cleaner route at this salary band. Boutique platform - referral through BTR sector networks (Property Council Living Sectors) is the realistic entry.",ANZ01,Not benchmarked (non-Mumbai market),,
ANZ01-005,Head of Revenue and Occupancy - BTR,Home (Home Apartments),Real Estate Developer,Australia,Melbourne,Albert Park,Director,~8-12 yrs (inferred),Revenue Management,Revenue strategy; pricing governance; occupancy targets; renewal conversion; BI reporting,AUD 190-240k,Market estimate (AUD),SEEK,https://au.seek.com/build-to-rent-jobs/in-Albert-Park-VIC-3206,Search-surfaced,Unknown,2026-09-20,9,A dedicated revenue-and-occupancy leadership seat in BTR is the single closest title match to his current mandate anywhere in this lane.,"Owning rent, occupancy and renewal strategy end to end","Visa: Skills in Demand 482 Specialist Skills stream (AUD 146,717, no occupation-list requirement) is the cleaner route at this salary band. At this band the Specialist Skills salary floor is comfortably cleared, which removes the occupation-list question entirely.",ANZ01,Not benchmarked (non-Mumbai market),,
ANZ01-006,Investment Manager - Build to Rent,Sentinel Real Estate Australia,Real Estate PE,Australia,Brisbane,Brisbane CBD,Manager,~6-10 yrs (inferred),RE Investments,Residential underwriting; rent growth assumptions; hold-sell analysis; JV reporting; Argus/Excel,AUD 170-210k,Market estimate (AUD),LinkedIn,https://www.linkedin.com/jobs/search/?keywords=build%20to%20rent%20investment%20manager&location=Australia,Target employer - not verified,Unknown,2026-09-20,9,"Sentinel is a US multifamily manager running Australian BTR, so his US residential underwriting and hold-sell work translates line for line.",Retail disposition strategy = asset-level hold-sell and exit analytics,"Visa: Skills in Demand 482 Specialist Skills stream (AUD 146,717, no occupation-list requirement) is the cleaner route at this salary band. US parent again - frame Amherst experience as directly comparable multifamily/SFR institutional practice.",ANZ01,Not benchmarked (non-Mumbai market),,
ANZ01-007,Asset Manager - Residential,Aware Real Estate,Asset Manager,Australia,Sydney,Sydney CBD,Manager,~6-10 yrs (inferred),Asset Management,Residential asset strategy; rental income modelling; capex planning; performance reporting,AUD 165-205k,Market estimate (AUD),Company Careers Page,https://awaresuper.com.au/about/careers,Target employer - not verified,Unknown,2026-09-20,9,"Aware Real Estate is building an institutional residential/BTR book for Aware Super, where portfolio-level rent and occupancy strategy is the scarce skill he already has.",Institutional residential portfolio performance management,"Visa: Skills in Demand 482 Specialist Skills stream (AUD 146,717, no occupation-list requirement) is the cleaner route at this salary band. Super-fund-backed owner - stable sponsor with capacity to sponsor a visa.",ANZ01,Not benchmarked (non-Mumbai market),,
ANZ01-008,Commercial Manager - Living Sectors,Lendlease,Real Estate Developer,Australia,Sydney,Barangaroo,Manager,~7-11 yrs (inferred),Strategy,Feasibility modelling; rent and absorption assumptions; commercial strategy; investment cases,AUD 175-215k,Market estimate (AUD),Company Careers Page,https://www.lendlease.com/au/careers/,Target employer - not verified,Unknown,2026-09-20,8,"Lendlease living-sector commercial roles run rent and absorption assumptions through development feasibilities, adjacent to his revenue forecasting work.",Revenue forecasting and scenario modelling for residential assets,"Visa: Skills in Demand 482 Specialist Skills stream (AUD 146,717, no occupation-list requirement) is the cleaner route at this salary band. Large employer with established sponsorship processes.",ANZ01,Not benchmarked (non-Mumbai market),,
ANZ01-009,Asset Manager - Land Lease Communities,Ingenia Communities,REIT / InvIT,Australia,Sydney,North Sydney,Manager,~5-9 yrs (inferred),Asset Management,Rental income strategy; occupancy; settlement and churn analytics; site performance; forecasting,AUD 150-185k,Market estimate (AUD),SEEK,https://www.seek.com.au/asset-manager-jobs/in-Sydney-NSW,Target employer - not verified,Unknown,2026-09-20,9,"Land lease communities are rent-plus-turnover residential portfolios, so his occupancy, renewal and churn analytics apply almost unchanged.","Occupancy, churn and renewal analytics across many small residential sites","Visa: Skills in Demand 482 Core Skills stream (AUD 79,499 floor) is plausible if the occupation maps to a Core Skills Occupation List code; salary here likely clears it easily. Listed REIT - can also route via Specialist Skills if the package clears AUD 146,717.",ANZ01,Not benchmarked (non-Mumbai market),,
ANZ01-010,Portfolio Analytics Manager - Communities,Lifestyle Communities,REIT / InvIT,Australia,Melbourne,Melbourne CBD,Manager,~5-9 yrs (inferred),Data & Analytics,Portfolio analytics; SQL; BI dashboards; rent and settlement forecasting; pricing,AUD 140-175k,Market estimate (AUD),SEEK,https://www.seek.com.au/portfolio-analyst-jobs/in-Melbourne-VIC,Target employer - not verified,Unknown,2026-09-20,8,A residential community operator needing rent and settlement forecasting is a direct use of his SQL/BI-driven revenue analytics.,SQL and BI-driven decision support on residential revenue,"Visa: Skills in Demand 482 Core Skills stream (AUD 79,499 floor) is plausible if the occupation maps to a Core Skills Occupation List code; salary here likely clears it easily. Mid-cap listed - sponsorship less routine, so lead with a scarce-skill argument.",ANZ01,Not benchmarked (non-Mumbai market),,
