Listing_ID,Role_Title,Company,Company_Type,Country,City,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
G03-001,"Investment Manager, Real Estate (Direct & Funds)",Qatar Investment Authority,Asset Manager,Qatar,Doha,West Bay,VP,~8-12 yrs (inferred),RE Investments,Direct real estate investment; fund/JV underwriting; asset-level business plans; distribution waterfalls; portfolio construction,"QAR 45-65k/month (~INR 120-175 LPA equiv, tax-free)",Market estimate (QAR),Company Careers Page,https://www.qia.qa/en/careers,Target employer - not verified,Unknown,2026-09-20,8,"QIA invests directly and through funds/JVs in global real estate, so JV underwriting and waterfall modelling is his daily Amherst work in a sovereign wrapper.",Fund and JV capital planning + distribution/waterfall modelling on a US residential platform,"QIA recruits mostly via retained search and rarely posts openly; Doha is a far smaller, quieter expat market than Dubai with a slimmer social/dating/international-school ecosystem, so treat this as a multi-year relocation decision, not a lateral hop. No personal income tax; QID sponsorship is employer-led and straightforward.",G03,Not benchmarked (non-Mumbai market),,
G03-002,"Portfolio Manager, Real Assets",Qatar Investment Authority,Asset Manager,Qatar,Doha,West Bay,Director,~10-14 yrs (inferred),Portfolio Management,Real assets portfolio construction; asset allocation; risk/return monitoring; JV governance; IC reporting,"QAR 50-70k/month (~INR 135-190 LPA equiv, tax-free)",Market estimate (QAR),LinkedIn,https://www.linkedin.com/company/qatar-investment-authority/jobs/,Target employer - not verified,Unknown,2026-09-20,8,"Portfolio-level construction and monitoring of real assets mirrors the portfolio performance management he owns today, just at sovereign scale.",Portfolio performance management applied to a global real assets book,"QIA director-level real assets seats typically want 10+ years and a G7 institutional pedigree - his band sits at the lower edge, so position as a Manager/Senior Manager entry point rather than Director. Qatar's tax-free income is real, but Doha's expat/nightlife scene is a genuine step down from Dubai - be candid about that trade-off.",G03,"In line (QAR 40,000-65,000/month) [Low confidence]",,
G03-003,Senior Asset Manager - Real Estate,Qatari Diar,Real Estate Developer,Qatar,Doha,Lusail,Senior Manager,~8-12 yrs (inferred),Asset Management,Asset business planning; leasing strategy; NOI optimisation; capex underwriting; JV asset management,"QAR 30-42k/month (~INR 82-114 LPA equiv, tax-free)",Market estimate (QAR),Company Careers Page,https://www.qataridiar.com/careers,Target employer - not verified,Unknown,2026-09-20,9,Qatari Diar is QIA's real estate development and investment arm running master-planned projects (Lusail) - asset business planning and NOI optimisation is exactly his mandate.,Rent/pricing optimisation and portfolio performance management across a master-planned residential book,"Qatari Diar is quasi-sovereign and process-heavy; expect a long hiring cycle. Lead with US institutional SFR scale to differentiate from regional candidates. Doha's real estate scene is far smaller than Dubai's - fewer comparable employers to jump to next, so weigh optionality risk.",G03,"In line (QAR 22,000-42,000/month) [Medium confidence]",,
G03-004,Investment & Portfolio Analyst - Real Estate,Qatari Diar,Real Estate Developer,Qatar,Doha,Lusail,Manager,~5-8 yrs (inferred),RE Investments,Financial modelling; feasibility studies; investment appraisal; JV structuring support; reporting,"QAR 20-30k/month (~INR 55-82 LPA equiv, tax-free)",Market estimate (QAR),Bayt,https://www.bayt.com/en/qatar/jobs/real-estate-investment-jobs/,Target employer - not verified,Unknown,2026-09-20,7,"Feasibility and investment appraisal work overlaps with his disposition and JV analytics, though this sits a level below his current seniority.",JV capital planning and disposition-style investment appraisal,Likely pitched as a Manager-level analyst seat - use it as a stepping stone into the Senior Asset Manager role above if that seat is unavailable; note the title-deflation risk versus his US title.,G03,Not benchmarked (non-Mumbai market),,
G03-005,Head of Leasing,Barwa Real Estate,Real Estate Developer,Qatar,Doha,Al Sadd / Barwa City,Director,~10-14 yrs (inferred),Asset Management,Leasing strategy; renewal & occupancy management; tenant mix strategy; rent-roll optimisation; portfolio reporting,"QAR 32-45k/month (~INR 87-122 LPA equiv, tax-free)",Market estimate (QAR),Company Careers Page,https://www.barwa.com.qa/en/careers,Target employer - not verified,Unknown,2026-09-20,9,"Barwa is one of Qatar's largest listed real estate owner-operators; leasing strategy, renewal and occupancy management is a near-exact match to his Amherst revenue-management mandate.",Occupancy and renewal strategy + rent-roll optimisation across a large owned portfolio,"Barwa's portfolio spans residential, retail and industrial across Qatar, giving broader asset-class exposure than a single-sector operator. Doha corporate process is slower and more hierarchical than a US platform - flag as a cultural adjustment, not a red flag.",G03,"Below market (QAR 40,000-65,000/month) [Low confidence]",,
G03-006,Asset Management Manager,Barwa Real Estate,Real Estate Developer,Qatar,Doha,Al Sadd / Barwa City,Manager,~6-10 yrs (inferred),Asset Management,Asset performance monitoring; budget/capex planning; tenant relations oversight; BI reporting; valuation coordination,"QAR 24-34k/month (~INR 65-92 LPA equiv, tax-free)",Market estimate (QAR),GulfTalent,https://www.gulftalent.com/qatar/jobs/real-estate,Target employer - not verified,Unknown,2026-09-20,8,Direct asset-performance and budget/capex ownership at scale is core to his current portfolio-management remit.,Portfolio performance management and revenue forecasting across an owned real estate book,"Mid-career fallback if the Head of Leasing seat above is filled. Barwa is majority government-owned, so expect conservative pay bands relative to Dubai developers of similar size.",G03,"In line (QAR 22,000-42,000/month) [Medium confidence]",,
G03-007,Revenue & Leasing Strategy Manager,United Development Company (The Pearl-Qatar),Real Estate Developer,Qatar,Doha,The Pearl-Qatar,Senior Manager,~7-11 yrs (inferred),Revenue Management,Residential/retail leasing strategy; dynamic pricing; occupancy forecasting; tenant retention; revenue reporting,"QAR 28-40k/month (~INR 76-109 LPA equiv, tax-free)",Market estimate (QAR),Company Careers Page,https://www.udcqatar.com/en/careers,Target employer - not verified,Unknown,2026-09-20,9,UDC owns and operates The Pearl-Qatar's residential and retail leasing book - dynamic pricing and occupancy forecasting is functionally identical to his revenue-management job today.,Rent/pricing optimisation and revenue forecasting on a large master-planned residential asset,"The Pearl is Qatar's closest analogue to a branded master-planned rental community. UDC is listed on the Qatar Exchange and reasonably transparent about strategy - a strong outreach target even without a live posting. Doha overall has far fewer comparable 'trophy' communities than Dubai, so career optionality after this role is narrower.",G03,"Above market (QAR 8,500-18,500/month) [Medium confidence]",,
G03-008,Portfolio Performance Manager,United Development Company (The Pearl-Qatar),Real Estate Developer,Qatar,Doha,The Pearl-Qatar,Manager,~6-9 yrs (inferred),Portfolio Management,Portfolio KPI tracking; occupancy & revenue analytics; forecasting; owner association coordination; BI dashboards,"QAR 22-32k/month (~INR 60-87 LPA equiv, tax-free)",Market estimate (QAR),LinkedIn,https://www.linkedin.com/company/united-development-company/jobs/,Target employer - not verified,Unknown,2026-09-20,8,Portfolio KPI tracking and occupancy/revenue analytics on a large mixed residential-retail asset base map directly onto his current portfolio-management scope.,Portfolio performance management and revenue forecasting,Backup seat to the Revenue & Leasing Strategy Manager role above at the same employer; apply to both in parallel since UDC hires across both functions.,G03,"In line (QAR 22,000-42,000/month) [Medium confidence]",,
G03-009,Revenue Management & Pricing Manager - Residential Portfolio,Ezdan Holding Group,REIT / InvIT,Qatar,Doha,Al Dafna / Ezdan Towers,Senior Manager,~7-11 yrs (inferred),Revenue Management,"Rent-roll pricing; occupancy optimisation across 50,000+ units; renewal strategy; demand forecasting; BI/analytics","QAR 26-38k/month (~INR 71-103 LPA equiv, tax-free)",Market estimate (QAR),Company Careers Page,https://careers.ezdanholding.qa/,Target employer - not verified,Unknown,2026-09-20,10,"Ezdan owns and rents out one of the largest residential portfolios in the Gulf (50,000+ units) - rent-roll pricing and renewal strategy across a huge owned residential book is exactly his Amherst SFR mandate at a comparable or larger scale.",Rent/pricing optimisation and renewal strategy across a very large owned residential portfolio,"Likely the strongest structural match found in Qatar - Ezdan's buy/build-and-hold residential-for-rent model is the closest Gulf analogue to a US institutional SFR operator in this file. Ezdan is listed on the Qatar Exchange, so investor-facing performance reporting experience is a plus. Doha's rental market is smaller and slower-moving than Dubai's, so pricing-algorithm sophistication may be less mature here - frame that as a chance to build the function, not a gap.",G03,"Above market (QAR 8,721-18,287/month) [High confidence]",,
G03-010,Asset Management Director - Residential Portfolio,Ezdan Holding Group,REIT / InvIT,Qatar,Doha,Al Dafna / Ezdan Towers,Director,~10-14 yrs (inferred),Asset Management,Portfolio strategy; capex allocation; NOI growth; occupancy & retention strategy; board/IC reporting,"QAR 38-52k/month (~INR 103-141 LPA equiv, tax-free)",Market estimate (QAR),GulfTalent,https://www.gulftalent.com/qatar/jobs/real-estate,Target employer - not verified,Unknown,2026-09-20,9,Portfolio-wide NOI growth and occupancy strategy over Ezdan's scale is a senior version of the same book-level strategy he runs at Amherst.,Portfolio performance management and NOI-driven asset strategy at scale,Director-level seat likely wants a longer regional track record than he currently has; position for the Senior Manager pricing seat first (G03-009) and use it as an internal growth path to this one.,G03,"In line (QAR 40,000-65,000/month) [Low confidence]",,
