Listing_ID,Role_Title,Company,Company_Type,Country,City,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
I03-001,Manager - Real Estate,Alter Domus,Global Capability Centre,India,Hyderabad,HITEC City,Manager,6-10 yrs,Fund Finance,Real estate fund administration; capital calls; distributions; investor reporting,18-32,Market estimate,Company Careers Page,https://careers.alterdomus.com/en/job/hyderabad/manager-real-estate/38735/24111572992,Verified live posting,Unknown,2026-09-21,9,"A live Manager grade role specifically on REAL ESTATE fund administration - the exact intersection of his asset class and his fund-mechanics experience, at the right seniority.","Fund and JV capital planning, distribution waterfalls, promote and carry across real estate vehicles.","The single best-matched live posting found anywhere in the Indian lanes. Alter Domus runs over 6,000 specialists across private credit, real assets and private equity. Apply directly through their portal.",I03,Not benchmarked (non-Mumbai market),,
I03-002,Senior Fund Accountant - Real Estate,Alter Domus,Global Capability Centre,India,Hyderabad,HITEC City,Senior Analyst,4-8 yrs,Fund Finance,Real estate fund accounting; NAV; capital activity; investor reporting,12-22,Market estimate,Company Careers Page,https://careers.alterdomus.com/en/search_jobs/hyderabad/1298/1,Verified live posting,Unknown,2026-09-21,7,"Real-estate-specific fund accounting at a grade below the Manager role - the domain is right, the seniority is a step down.",Real estate fund mechanics and capital activity.,Listed because the Manager req may close. A fallback into the same team rather than a primary target.,I03,Not benchmarked (non-Mumbai market),,
I03-003,Fund Services Assistant Manager,Alter Domus,Global Capability Centre,India,Hyderabad,HITEC City,Manager,5-9 yrs,Fund Finance,Fund administration; team supervision; capital calls; distributions,15-26,Market estimate,Company Careers Page,https://careers.alterdomus.com/en/search_jobs/hyderabad/1298/1,Verified live posting,Unknown,2026-09-21,7,Supervisory fund-services grade covering capital calls and distributions across alternatives.,Capital call and distribution processing at portfolio scale.,Generalist across asset classes rather than real-estate-specific. Below the Manager - Real Estate row in priority.,I03,Not benchmarked (non-Mumbai market),,
I03-004,Fund Accountant - Private Equity,Alter Domus,Global Capability Centre,India,Hyderabad,HITEC City,Senior Analyst,3-7 yrs,Fund Finance,PE fund accounting; capital activity; carried interest; NAV,10-20,Market estimate,Company Careers Page,https://careers.alterdomus.com/en/job/hyderabad/fund-accountant-private-equity/38735/40565162944,Verified live posting,Unknown,2026-09-21,6,Genuine PE fund mechanics work but at an analyst grade well below his band.,Carried interest and capital activity.,"Below his seniority - recorded so the full Alter Domus ladder is visible, not as an application.",I03,Not benchmarked (non-Mumbai market),,
I03-005,Team Manager - Private Equity Fund Accounting,Citco Fund Services,Global Capability Centre,India,Hyderabad,HITEC City,Manager,6-10 yrs,Fund Finance,PE fund accounting; capital calls; distributions; carry allocations,18-30,Market estimate,LinkedIn,https://in.linkedin.com/jobs/private-equity-fund-accounting-jobs-hyderabad,Search-surfaced,Unknown,2026-09-21,8,"Citco runs real-assets fund accounting from Hyderabad, and manager-grade roles there own capital calls, distributions and carried interest allocations against fund documentation.","Reading and operating fund documents: waterfalls, catch-up, carry.",Citco is hiring qualified accountants for real-assets fund accounting in Hyderabad. Around 285 PE fund accounting roles were visible in Hyderabad on LinkedIn overall.,I03,Not benchmarked (non-Mumbai market),,
I03-006,Assistant Manager - PE Fund Accounting & Operations,Apex Group,Global Capability Centre,India,Hyderabad,HITEC City,Manager,4-8 yrs,Fund Finance,Fund accounting; capital calls; investor reports; team supervision,15-26,Market estimate,LinkedIn,https://in.linkedin.com/jobs/private-equity-fund-accounting-jobs-hyderabad,Search-surfaced,Unknown,2026-09-21,7,"Apex is one of the largest global administrators (13,000+ staff, 112 offices) with real Hyderabad presence; the work covers capital calls and investor reporting.","Capital calls, distributions and investor reporting.","Apex posts Senior Associate hedge-fund roles across Bangalore, Pune, Mumbai, Hyderabad and Kolkata - the platform is real, the grade varies by city.",I03,Not benchmarked (non-Mumbai market),,
I03-007,Manager - Fund Accounting,CSC Global (Intertrust),Global Capability Centre,India,Hyderabad,HITEC City,Manager,5-9 yrs (inferred),Fund Finance,Fund administration; capital activity; financial reporting,16-28,Market estimate,LinkedIn,https://in.linkedin.com/jobs/private-equity-fund-accounting-jobs-hyderabad,Target employer - not verified,Unknown,2026-09-21,7,CSC appears among the named top employers for PE fund accounting in Hyderabad; alternatives administration with real fund mechanics.,Fund mechanics and capital activity.,"Named in search as a top Hyderabad employer for this function, though no specific req was seen. PAY REALITY: fund administration in Pune and Hyderabad pays materially less than equivalent Mumbai institutional roles. Glassdoor puts a Fund Accountant in Pune at about INR 7.55 LPA (25th-75th percentile 5.4-8.1) and a PE Fund Accountant in India at about 8.25 LPA. Manager grades clear that, but this tier is structurally below Mumbai front-office pay. The trade in this lane is depth of relevant work against compensation - worth naming explicitly.",I03,Not benchmarked (non-Mumbai market),,
I03-008,AVP - Fund Services,Deutsche Bank (Hyderabad),Bank,India,Hyderabad,HITEC City,AVP,6-10 yrs (inferred),Fund Finance,Fund services; investor reporting; capital activity; controls,22-38,Market estimate,Company Careers Page,https://careers.db.com/,Target employer - not verified,Unknown,2026-09-21,7,Deutsche Bank runs substantial fund services from India and pays above the pure-administrator tier.,Fund operations and investor reporting at an institutional bank.,Named among top employers for this function in Hyderabad. Bank-tier pay is a step above independent administrators.,I03,Not benchmarked (non-Mumbai market),,
I03-009,Manager - Fund Administration,EY Global Delivery Services,Consulting,India,Hyderabad,HITEC City,Manager,5-9 yrs (inferred),Fund Finance,Fund administration; financial reporting; client delivery,16-28,Market estimate,Company Careers Page,https://www.ey.com/en_in/careers,Target employer - not verified,Unknown,2026-09-21,6,EY GDS does real fund work but as an outsourced delivery function rather than principal operations.,Fund reporting and financial statement preparation.,"Client-delivery model. The title reads well; the scope is service delivery, and he should know that going in.",I03,Not benchmarked (non-Mumbai market),,
I03-010,Manager - Private Markets Operations,Franklin Templeton (Hyderabad),Asset Manager,India,Hyderabad,HITEC City,Manager,5-9 yrs (inferred),Fund Finance,Private markets operations; capital activity; investor servicing,18-32,Market estimate,Company Careers Page,https://www.franklintempletoncareers.com/,Target employer - not verified,Unknown,2026-09-21,7,A global asset manager's India centre doing private-markets operations - closer to the investment platform than an administrator is.,Private markets fund operations.,Asset-manager-side roles generally carry better progression than pure administration. No specific opening seen.,I03,Not benchmarked (non-Mumbai market),,
