Listing_ID,Role_Title,Company,Company_Type,Country,City,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
A04-001,Manager - FP&A,Voltas,Corporate,India,Mumbai,Worli,Manager,7-10 yrs,FP&A,Financial planning;budgeting;forecasting;variance analysis;SAP;Excel,22-32,Market estimate,Naukri,https://www.naukri.com/job-listings-manager-fp-a-voltas-mumbai-7-to-10-years-230725032708,Verified live posting,Unknown,2026-09-19,5,"Core FP&A craft transfers cleanly but Voltas is consumer-durables manufacturing with no real-estate or asset-pricing angle, making it a sideways generalist move.",Portfolio-level forecasting and scenario-modelling discipline built running SFR revenue models,Specific live Naukri posting (7-10 yrs). No RE domain overlap - lead with modelling rigor and cross-functional BI/analytics delivery rather than sector experience.,A04,Above benchmark (13-26),,
A04-002,Manager - FP&A (Grocery),Reliance Retail,Corporate,India,Mumbai,Navi Mumbai,Manager,~6-9 yrs (inferred),FP&A,Category P&L management;budgeting;retail analytics;forecasting;Excel;SAP,25-38,Market estimate,LinkedIn,https://in.linkedin.com/jobs/view/manager-fp-a-grocery-at-reliance-retail-3840128656,Verified live posting,Unknown,2026-09-19,5,"Category-level P&L ownership at national retail scale echoes his large-portfolio revenue management, but grocery retail sits a domain away from real estate.",Large-portfolio P&L ownership and pricing/margin analytics from SFR revenue management,"Direct LinkedIn job posting for Reliance Retail's grocery vertical; competitive, high-volume applicant pool - apply directly and emphasize quantitative pricing background.",A04,Above benchmark (13-26),,
A04-003,Manager - Finance & Accounts (Residential Project),Tata Realty and Infrastructure,Real Estate Developer,India,Mumbai,Fort,Manager,5-15 yrs,FP&A,Project finance;cash-flow forecasting;JV/SPV accounting;budgeting;MIS reporting,20-35,Market estimate,iimjobs,https://www.iimjobs.com/j/tata-realty-manager-finance-accounts-residential-project-5-15-yrs-708459,Verified live posting,Unknown,2026-09-19,7,Project-level finance for a residential real estate developer maps closely to his asset-level financial discipline from disposition strategy and JV capital planning.,Asset/project-level financial modelling plus JV structuring and capital-call experience,"Live iimjobs posting with a wide 5-15 yr band, suggesting flexibility on level - position for Manager/Sr Manager with an investment-analytics lens rather than pure project accounting.",A04,Above benchmark (13-26),,
A04-004,AVP - Financial Planning & Analysis,Citi,Bank,India,Mumbai,BKC,AVP,~6-9 yrs (inferred),FP&A,Management reporting;forecasting;variance analysis;Essbase/Hyperion;stakeholder partnering,30-45,Market estimate,Company Careers Page,https://jobs.citi.com/job/mumbai/avp-financial-planning-and-analysis/287/65197653392,Verified live posting,Unknown,2026-09-19,5,"Strong FP&A skill match but a bank finance-function role has no real-estate, pricing or portfolio-strategy overlap with his current scope.",Cross-functional forecasting rigor from running platform-wide revenue and capital models,"Direct Citi careers-site posting; large structured hiring process with no obvious referral path identified - apply direct and lead with breadth of modelling, not sector match.",A04,Above benchmark (13-26),,
A04-005,AVP - Finance,Barclays,Bank,India,Mumbai,Goregaon,AVP,~6-10 yrs (inferred),FP&A,Financial reporting;forecasting;regulatory/finance controls;stakeholder management;Excel,28-42,Market estimate,Company Careers Page,https://search.jobs.barclays/job/mumbai/avp-finance/13015/85955708624,Verified live posting,Unknown,2026-09-19,4,"Leans toward financial accounting/controls rather than strategic FP&A or pricing analytics, a step further from his forecasting- and strategy-led background than the title suggests.",Forecast-modelling rigor and portfolio performance reporting from revenue management scope,"GCC-style bank finance role at Barclays India; pre-empt the 'no banking experience' gap by leading with quantitative modelling transferability, not domain claims.",A04,Above benchmark (13-26),,
A04-006,Finance Manager,Indian Hotels Company (IHCL),Corporate,India,Mumbai,Mumbai (unspecified),Manager,~5-9 yrs (inferred),FP&A,Hotel P&L management;budgeting;revenue analytics;forecasting;cost control,20-32,Market estimate,Indeed,"https://in.indeed.com/q-finance-manager-with-fp&a-l-mumbai,-maharashtra-jobs.html",Search-surfaced,Unknown,2026-09-19,7,"Hospitality finance is asset- and yield-driven like SFR revenue management, making IHCL's finance function a genuine adjacency for his pricing/RM-honed skillset.",Rent/occupancy pricing optimisation experience maps directly to hotel RevPAR and rate-strategy analytics,"Search indicates an open Mumbai finance-manager mandate referencing IHCL, but the specific posting was not directly viewed; lead with the pricing/yield-management parallel to hospitality RM.",A04,In line (13-26),,
A04-007,AM/Manager - Financial Planning & Analysis (client undisclosed),GI Human Resources And Services Pvt Ltd,Recruiter / Search Firm,India,Mumbai,Mumbai (unspecified),Manager,4-9 yrs,FP&A,Budgeting;financial planning;financial analysis;financial reporting;Excel,5-13,Posted,Naukri,https://www.naukri.com/manager-fp-a-jobs-in-mumbai,Search-surfaced,Unknown,2026-09-19,4,Generic recruiter-fronted FP&A mandate at a comp level well below his likely band; only worth tracking to identify the underlying client.,Broad FP&A and forecasting toolkit transferable to most mandates,Recruiter-fronted listing (GI Human Resources And Services); end-client not disclosed in search results and posted comp band looks junior for his level - verify client and level before pursuing.,A04,Below benchmark (13-26),,
A04-008,Manager - FP&A,Macrotech Developers (Lodha),Real Estate Developer,India,Mumbai,Lower Parel,Manager,~6-10 yrs (inferred),FP&A,Project P&L;cash-flow forecasting;budgeting;launch pricing inputs;MIS,20-32,Market estimate,Naukri,https://www.naukri.com/lodha-group-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,8,"India's largest listed developer runs FP&A tightly coupled to project pricing and launch economics, directly adjacent to his pricing-and-forecasting scope at Amherst.",Rent/pricing optimisation and revenue forecasting translate to project-level pricing and launch-pace planning,No specific live posting seen; Lodha hires FP&A roles regularly given scale - target via careers page and Naukri; emphasize pricing-analytics transferability over India market experience.,A04,In line (13-26),No pricing/revenue-management opening surfaced at Macrotech. A 'Leader - Customer Strategy' role was visible on iimjobs and is the closest adjacent route in.,2026-09-20
A04-009,Business Finance Manager,Oberoi Realty,Real Estate Developer,India,Mumbai,Goregaon,Manager,~6-9 yrs (inferred),FP&A,Business partnering;budgeting;forecasting;project finance;Excel,20-30,Market estimate,Naukri,https://www.naukri.com/oberoi-realty-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,8,A premium Mumbai developer with a concentrated luxury portfolio needs the same asset-level pricing and forecasting discipline he runs at portfolio scale for Amherst.,Asset-level pricing and revenue-forecasting discipline from SFR portfolio management,No specific posting confirmed; Naukri lists 500+ Oberoi Realty Mumbai roles historically - approach via careers page/Naukri and lead with pricing-strategy background.,A04,In line (13-26),,
A04-010,FP&A Manager,Godrej Properties,Real Estate Developer,India,Mumbai,Mumbai (unspecified),Manager,~6-10 yrs (inferred),FP&A,Financial planning;budgeting;forecasting;project economics;Excel/BI,22-34,Market estimate,Naukri,https://www.naukri.com/godrej-properties-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,8,"Godrej Properties runs a large multi-city development pipeline needing project-economics and forecasting talent, closely aligned to his disposition and capital-planning experience.",Fund/JV capital planning experience maps to multi-project capital allocation and forecasting,"No specific opening confirmed; Godrej Properties lists sizeable Mumbai headcount on Naukri - target via careers site, note he has no India developer experience but strong analytics transferability.",A04,Above benchmark (13-26),,
