Listing_ID,Role_Title,Company,Company_Type,Country,City,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
A10-001,Portfolio Manager - Retail Assets (Home Loans),HDFC Bank,Bank,India,Mumbai,Lower Parel,Senior Manager,6-9 yrs (inferred),Portfolio Management,retail asset portfolio management; home loan book monitoring; delinquency/vintage analysis; MIS & BI; cross-functional coordination,24-38,Market estimate,Naukri,https://www.naukri.com/portfolio-manager-jobs-in-mumbai,Search-surfaced,Unknown,2026-09-19,6,"Retail housing-loan portfolio management is a direct structural analogue to his SFR portfolio performance work, though scale/asset class differ.",Portfolio performance management across a large residential book,"Relocating from a US institutional platform (Amherst Holdings); no India-specific credit-bureau/NBFC regulatory (RBI/NHB) experience yet — lead with portfolio-scale analytics, pricing/yield modelling and cross-functional strategy as the transferable core. HDFC's post-merger housing book is the single largest in India, so scale credentials transfer well.",A10,Not benchmarked,,
A10-002,Credit Strategy Manager,LIC Housing Finance,NBFC / HFC,India,Mumbai,BKC,Manager,5-8 yrs (inferred),Credit Risk,credit policy design; segment-level risk-adjusted pricing; portfolio quality analytics; scenario modelling; Excel/SQL,20-32,Market estimate,Naukri,https://www.naukri.com/credit-strategy-jobs-in-mumbai-maharashtra,Target employer - not verified,Unknown,2026-09-19,7,"Credit strategy at India's largest pure-play HFC maps to his pricing/yield and revenue-forecasting toolkit, with housing as the shared underlying asset.",Rent/pricing optimisation reframed as risk-adjusted loan pricing strategy,"Relocating from a US institutional platform (Amherst Holdings); no India-specific credit-bureau/NBFC regulatory (RBI/NHB) experience yet — lead with portfolio-scale analytics, pricing/yield modelling and cross-functional strategy as the transferable core. No NHB/RBI HFC regulatory background; compensate with US housing-market pricing analytics depth.",A10,Above benchmark (12-25),,
A10-003,Head of Portfolio Analytics,LIC Housing Finance,NBFC / HFC,India,Mumbai,BKC,AVP,8-12 yrs (inferred),Data & Analytics,loan book analytics; BI dashboards; forecasting models; portfolio segmentation; stakeholder reporting,35-50,Market estimate,LinkedIn,https://in.linkedin.com/jobs/housing-finance-jobs,Target employer - not verified,Unknown,2026-09-19,8,"Head of Portfolio Analytics is close to a direct title-match for his current revenue/portfolio-performance-management remit, just on the lending side of the same housing asset class.",Portfolio performance management + revenue forecasting on a large housing-linked book,"Relocating from a US institutional platform (Amherst Holdings); no India-specific credit-bureau/NBFC regulatory (RBI/NHB) experience yet — lead with portfolio-scale analytics, pricing/yield modelling and cross-functional strategy as the transferable core.",A10,In line (22-46),,
A10-004,Head of Portfolio Analytics,PNB Housing Finance,NBFC / HFC,India,Mumbai,Mumbai (unspecified),AVP,8-12 yrs (inferred),Data & Analytics,retail loan portfolio analytics; risk MIS; forecasting; segment profitability; SQL/BI tools,35-50,Market estimate,Naukri,https://www.naukri.com/pnb-housing-finance-jobs,Search-surfaced,Unknown,2026-09-19,8,Direct-hit portfolio analytics leadership role at a major HFC; naukri shows an active PNB Housing Finance jobs page though the specific req was not visible.,"Portfolio performance management + forecasting, applied to a housing loan book","Relocating from a US institutional platform (Amherst Holdings); no India-specific credit-bureau/NBFC regulatory (RBI/NHB) experience yet — lead with portfolio-scale analytics, pricing/yield modelling and cross-functional strategy as the transferable core. PNB HF is Delhi-HQ'd; confirm the specific opening is Mumbai zonal office before applying.",A10,In line (22-46),,
A10-005,Real Estate Credit / Developer Finance Manager,PNB Housing Finance,NBFC / HFC,India,Mumbai,Mumbai (unspecified),Manager,6-10 yrs (inferred),RE Investments,developer/project finance underwriting; construction-linked disbursement; real estate cash-flow modelling; legal/title review coordination,28-42,Market estimate,Naukri,https://www.naukri.com/pnb-housing-finance-jobs,Target employer - not verified,Unknown,2026-09-19,8,"Developer/project finance draws directly on his asset-level real estate investment analysis and disposition-strategy background, just from the lender's side of the stack.",Retail disposition strategy = asset-level real estate exit/underwriting analytics,"Relocating from a US institutional platform (Amherst Holdings); no India-specific credit-bureau/NBFC regulatory (RBI/NHB) experience yet — lead with portfolio-scale analytics, pricing/yield modelling and cross-functional strategy as the transferable core. No India developer-finance underwriting precedent; lead with US asset-level RE cash flow modelling depth.",A10,Above benchmark (12-25),,
A10-006,Product Manager - Home Loans / LAP,Bajaj Housing Finance,NBFC / HFC,India,Mumbai,Mumbai (unspecified),Manager,5-9 yrs (inferred),Product Management,home loan/LAP product design; pricing strategy; channel economics; competitive benchmarking; P&L ownership,22-35,Market estimate,Naukri,https://www.naukri.com/bajaj-housing-finance-jobs-careers-4868912,Search-surfaced,Unknown,2026-09-19,6,"Product/pricing ownership on a home-loan book is a reasonable adjacency to his rent and yield optimisation work, though the P&L lever is credit spread rather than rent.",Rent/pricing optimisation = product-level pricing and yield management,"Relocating from a US institutional platform (Amherst Holdings); no India-specific credit-bureau/NBFC regulatory (RBI/NHB) experience yet — lead with portfolio-scale analytics, pricing/yield modelling and cross-functional strategy as the transferable core. Bajaj Housing Finance is Pune-HQ'd; verify the role is Mumbai-based (BFSI hub roles often are) before applying.",A10,Not benchmarked,,
A10-007,Risk Analytics AVP,Bajaj Finance,NBFC / HFC,India,Mumbai,Mumbai (unspecified),AVP,7-11 yrs (inferred),Credit Risk,portfolio risk analytics; loss forecasting models; segment-level risk pricing; SQL/Python; senior stakeholder reporting,35-55,Market estimate,Naukri,https://www.naukri.com/bajaj-finance-jobs-in-mumbai,Search-surfaced,Unknown,2026-09-19,6,"Portfolio-level risk analytics is a generalist-transferable extension of his scenario/forecast modelling work, one step removed from real estate.",Scenario/forecast modelling applied to loan-loss and risk pricing,"Relocating from a US institutional platform (Amherst Holdings); no India-specific credit-bureau/NBFC regulatory (RBI/NHB) experience yet — lead with portfolio-scale analytics, pricing/yield modelling and cross-functional strategy as the transferable core. Bajaj Finance HQ is Pune; a Mumbai-based analytics/treasury seat would need confirming.",A10,Above benchmark (12-25),,
A10-008,Business Analytics Manager - Lending,Aadhar Housing Finance,NBFC / HFC,India,Mumbai,Lower Parel,Manager,5-8 yrs (inferred),Data & Analytics,lending analytics; branch/portfolio performance dashboards; underwriting funnel analysis; Excel/SQL/Power BI,20-32,Market estimate,Instahyre,https://www.instahyre.com/jobs-at-aadhar-housing-finance/,Search-surfaced,Unknown,2026-09-19,6,"Affordable-housing analytics is transferable portfolio-analytics work but on a much smaller-ticket, higher-volume book than his SFR experience.","Portfolio performance management, BI-driven decision support","Relocating from a US institutional platform (Amherst Holdings); no India-specific credit-bureau/NBFC regulatory (RBI/NHB) experience yet — lead with portfolio-scale analytics, pricing/yield modelling and cross-functional strategy as the transferable core.",A10,In line (22-46),,
A10-009,Head of Portfolio Analytics,Home First Finance,NBFC / HFC,India,Mumbai,Goregaon,AVP,8-12 yrs (inferred),Data & Analytics,affordable-housing loan book analytics; forecasting; risk segmentation; BI/dashboarding; cross-team reporting,35-50,Market estimate,Company Careers Page,https://homefirstindia.com/careers,Target employer - not verified,Unknown,2026-09-19,7,"Home First is a Mumbai-HQ'd, technology-forward affordable HFC where portfolio analytics leadership closely mirrors his current revenue/portfolio-performance scope.",Portfolio performance management + revenue forecasting,"Relocating from a US institutional platform (Amherst Holdings); no India-specific credit-bureau/NBFC regulatory (RBI/NHB) experience yet — lead with portfolio-scale analytics, pricing/yield modelling and cross-functional strategy as the transferable core.",A10,In line (22-46),,
A10-010,Product Manager - Home Loans,Home First Finance,NBFC / HFC,India,Mumbai,Goregaon,Manager,5-8 yrs (inferred),Product Management,home loan product design; pricing; digital underwriting journeys; channel partner economics,20-32,Market estimate,Company Careers Page,https://homefirstindia.com/careers,Target employer - not verified,Unknown,2026-09-19,6,Pricing/product ownership on an affordable-housing book is adjacent to his rent-optimisation work but at a very different ticket size and customer segment.,Rent/pricing optimisation = home-loan pricing and yield management,"Relocating from a US institutional platform (Amherst Holdings); no India-specific credit-bureau/NBFC regulatory (RBI/NHB) experience yet — lead with portfolio-scale analytics, pricing/yield modelling and cross-functional strategy as the transferable core.",A10,Not benchmarked,,
