Listing_ID,Role_Title,Company,Company_Type,Country,City,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
S02-001,Manager - Real Assets Fund Services,IQ-EQ Singapore,Global Capability Centre,Singapore,Singapore,Marina Bay,Manager,6-10 yrs (inferred),Fund Finance,Real estate fund administration; capital calls; distributions; investor reporting,SGD 100-150k,Market estimate (SGD),Company Careers Page,https://iqeq.com/careers/locations/singapore/,Search-surfaced,Unknown,2026-09-21,8,IQ-EQ explicitly offers real estate fund administration and real assets services from Singapore - the precise intersection of his asset class and his fund-mechanics experience.,"Fund and JV capital planning, distribution waterfalls, promote and carry.","Strongest fit in the lane. Large global institutions and the major fund administrators sponsor at scale, so this employer is among the more realistic sponsors in the lane.",S02,"In line (SGD 90,000-130,000/year) [Low confidence]",,
S02-002,Manager - Private Markets Fund Accounting,Apex Group Singapore,Global Capability Centre,Singapore,Singapore,Raffles Place,Manager,6-10 yrs (inferred),Fund Finance,Fund accounting; capital activity; NAV; investor reporting,SGD 95-140k,Market estimate (SGD),Company Careers Page,https://theapexgroup.wd3.myworkdayjobs.com/apexgroupcareers,Search-surfaced,Unknown,2026-09-21,7,"Apex runs fund services across 50+ countries with 12,000 staff; Singapore is a core Asian hub for private markets administration.","Capital calls, distributions and investor reporting.","Scale means genuine sponsorship capacity and internal mobility. Large global institutions and the major fund administrators sponsor at scale, so this employer is among the more realistic sponsors in the lane.",S02,"In line (SGD 90,000-130,000/year) [Low confidence]",,
S02-003,Manager - Fund Administration,Citco Singapore,Global Capability Centre,Singapore,Singapore,Raffles Place,Manager,6-10 yrs (inferred),Fund Finance,Fund administration; capital activity; carry allocations,SGD 95-140k,Market estimate (SGD),Company Careers Page,https://www.citco.com/careers,Target employer - not verified,Unknown,2026-09-21,7,Top-tier global administrator with heavy PE and real estate waterfall workload.,Waterfall and carry mechanics.,"One of the three largest independent administrators. Large global institutions and the major fund administrators sponsor at scale, so this employer is among the more realistic sponsors in the lane.",S02,"In line (SGD 90,000-130,000/year) [Low confidence]",,
S02-004,Manager - Fund Services,Intertrust / CSC Singapore,Global Capability Centre,Singapore,Singapore,Raffles Place,Manager,5-9 yrs (inferred),Fund Finance,Fund services; capital calls; entity administration,SGD 90-130k,Market estimate (SGD),Company Careers Page,https://www.cscglobal.com/service/careers/,Target employer - not verified,Unknown,2026-09-21,6,"Real fund-services work, weighted toward entity administration rather than capital strategy.",Fund operations and capital activity.,"Solid mid-tier administrator. Large global institutions and the major fund administrators sponsor at scale, so this employer is among the more realistic sponsors in the lane.",S02,"In line (SGD 90,000-130,000/year) [Low confidence]",,
S02-005,Manager - Real Estate Fund Services,Ocorian Singapore,Global Capability Centre,Singapore,Singapore,Raffles Place,Manager,5-9 yrs (inferred),Fund Finance,Real estate fund administration; investor reporting; distributions,SGD 90-135k,Market estimate (SGD),Company Careers Page,https://www.ocorian.com/careers,Target employer - not verified,Unknown,2026-09-21,7,"Ocorian runs real estate fund administration, which narrows the domain gap considerably.",Real estate fund mechanics.,"Mid-sized but real-asset focused. Large global institutions and the major fund administrators sponsor at scale, so this employer is among the more realistic sponsors in the lane.",S02,"In line (SGD 90,000-130,000/year) [Low confidence]",,
S02-006,Manager - Fund Administration,Vistra Singapore,Global Capability Centre,Singapore,Singapore,Raffles Place,Manager,5-9 yrs (inferred),Fund Finance,Fund administration; corporate services; reporting,SGD 85-125k,Market estimate (SGD),Company Careers Page,https://www.vistra.com/careers,Target employer - not verified,Unknown,2026-09-21,6,Broad corporate and fund services platform; fund work is genuine but less real-asset specialised.,Fund administration.,"Generalist platform. Large global institutions and the major fund administrators sponsor at scale, so this employer is among the more realistic sponsors in the lane.",S02,"In line (SGD 90,000-130,000/year) [Low confidence]",,
S02-007,Manager - Alternative Investment Services,TMF Group Singapore,Global Capability Centre,Singapore,Singapore,Raffles Place,Manager,5-9 yrs (inferred),Fund Finance,Alternatives administration; capital activity; compliance,SGD 85-125k,Market estimate (SGD),Company Careers Page,https://www.tmf-group.com/en/careers/,Target employer - not verified,Unknown,2026-09-21,6,Alternatives administration at a large global services group.,Capital activity and investor servicing.,"Administration-tier scope. Large global institutions and the major fund administrators sponsor at scale, so this employer is among the more realistic sponsors in the lane.",S02,"In line (SGD 90,000-130,000/year) [Low confidence]",,
S02-008,VP - Private Markets Operations,State Street Singapore,Global Capability Centre,Singapore,Singapore,Marina Bay,VP,8-12 yrs (inferred),Fund Finance,Private markets operations; fund accounting oversight; capital activity,SGD 130-190k,Market estimate (SGD),Company Careers Page,https://careers.statestreet.com/,Target employer - not verified,Unknown,2026-09-21,7,Bank-tier private markets operations pays meaningfully above independent administrators and clears the EP salary floor comfortably.,Private markets fund operations at institutional scale.,"Salary level here also eases the COMPASS salary component. Large global institutions and the major fund administrators sponsor at scale, so this employer is among the more realistic sponsors in the lane.",S02,"In line (SGD 140,000-200,000/year) [Low confidence]",,
S02-009,VP - Alternative Investment Services,BNY Singapore,Global Capability Centre,Singapore,Singapore,Marina Bay,VP,8-12 yrs (inferred),Fund Finance,Alternatives servicing; capital calls; distributions; investor reporting,SGD 130-190k,Market estimate (SGD),Company Careers Page,https://jobs.bny.com/,Target employer - not verified,Unknown,2026-09-21,7,BNY's alternatives servicing covers the exact capital mechanics he has run.,Capital calls and distributions.,"Bank tier, strong sponsor. Large global institutions and the major fund administrators sponsor at scale, so this employer is among the more realistic sponsors in the lane.",S02,"In line (SGD 140,000-200,000/year) [Low confidence]",,
S02-010,VP - Fund Services,Northern Trust Singapore,Global Capability Centre,Singapore,Singapore,Marina Bay,VP,8-12 yrs (inferred),Fund Finance,Fund services; capital activity; investor reporting,SGD 125-185k,Market estimate (SGD),Company Careers Page,https://ntrs.wd1.myworkdayjobs.com/northerntrust,Target employer - not verified,Unknown,2026-09-21,7,"Asset servicing with real private-markets depth; Northern Trust also has large Indian operations, which can make an internal move easier later.",Fund servicing and capital activity.,"Worth noting the India link - a Pune or Bengaluru role could later transfer to Singapore internally, which is often an easier visa path than a direct external hire. Large global institutions and the major fund administrators sponsor at scale, so this employer is among the more realistic sponsors in the lane.",S02,"In line (SGD 140,000-200,000/year) [Low confidence]",,
