Listing_ID,Role_Title,Company,Company_Type,Country,City,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
G02-001,Investment Manager - Real Estate (Direct & Funds),Abu Dhabi Investment Authority (ADIA),Asset Manager,UAE,Abu Dhabi,Al Bateen / Corniche,VP,~7-12 yrs (inferred),RE Investments,Direct real estate investment; fund and JV underwriting; asset-level business plans; distribution waterfalls; portfolio construction,AED 65-95k/month (tax free),Market estimate (AED),Company Careers Page,https://jobs.adia.ae/,Search-surfaced,Unknown,2026-09-19,9,"ADIA Real Estate invests both directly and through funds/JVs, so underwriting JV economics and promote/waterfall splits is the daily job he already does at Amherst.",Fund and JV capital planning plus distribution/waterfall modelling on a US residential platform,"Sovereign funds recruit slowly and mostly through retained search - treat the careers portal as a formality and work the search-firm route in parallel. UAE work permit is employer-sponsored via MOHRE and in 2026 runs ~7-10 working days for a complete file; zero personal income tax. ADIA hires heavily from US/EU institutional platforms, so the Amherst pedigree reads well; pre-empt the no-GCC-market gap by leading with residential-sector depth.",G02,Above Dubai market (AED 34-52k/mo),"Employer VERIFIED: ADIA posts openings at jobs.adia.ae and does employ real estate investment managers. Process note worth planning for - ADIA recruits via psychometric testing plus in-person interviews in Abu Dhabi, so this is a long, structured process rather than a quick application. COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G02-002,Portfolio Manager - Real Assets Strategy,Abu Dhabi Investment Authority (ADIA),Asset Manager,UAE,Abu Dhabi,Al Bateen / Corniche,VP,~8-12 yrs (inferred),Portfolio Management,Real assets portfolio construction; manager selection; performance attribution; pacing and commitment modelling; scenario analysis,AED 60-90k/month (tax free),Market estimate (AED),LinkedIn,https://jobs.adia.ae/,Search-surfaced,Unknown,2026-09-19,9,Commitment pacing and capital deployment planning across a real-assets book is a direct restatement of his fund and JV capital planning mandate.,"Capital deployment plans, commitments and capital calls across funds and JVs",Sovereign funds recruit slowly and mostly through retained search - treat the careers portal as a formality and work the search-firm route in parallel. UAE work permit is employer-sponsored via MOHRE and in 2026 runs ~7-10 working days for a complete file; zero personal income tax. Expect a quantitative case on pacing/denominator effects - rehearse a commitment-pacing model he has actually built.,G02,Above Dubai market (AED 15-30k/mo),"Employer VERIFIED: ADIA posts openings at jobs.adia.ae and does employ real estate investment managers. Process note worth planning for - ADIA recruits via psychometric testing plus in-person interviews in Abu Dhabi, so this is a long, structured process rather than a quick application. COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G02-003,Investment Manager - Real Estate & Infrastructure,Mubadala Investment Company,Asset Manager,UAE,Abu Dhabi,Al Maryah Island,VP,~7-11 yrs (inferred),RE Investments,Real asset underwriting; JV structuring; DCF and IRR modelling; IC papers; asset management plans,AED 55-85k/month (tax free),Market estimate (AED),Company Careers Page,https://www.mubadala.com/en/careers,Search-surfaced,Unknown,2026-09-19,9,Mubadala underwrites real assets through JVs and platform partnerships - the JV economics and capital-call mechanics he owns are exactly the scarce skill here.,JV waterfall and distribution modelling across a multi-fund platform,Sovereign funds recruit slowly and mostly through retained search - treat the careers portal as a formality and work the search-firm route in parallel. UAE work permit is employer-sponsored via MOHRE and in 2026 runs ~7-10 working days for a complete file; zero personal income tax. Mubadala runs structured multi-round interviews with a modelling case; ADGM-adjacent so fund-mechanics vocabulary matters.,G02,Above Dubai market (AED 34-52k/mo),"Employer VERIFIED with a live posting seen: 'VP, Valuations' in Abu Dhabi was listed on LinkedIn. Mubadala runs sovereign real estate including Al Maryah Island. Its senior investment roles are also the one Gulf pay point this research could source directly - AED 34,120-51,790/month - which is roughly triple developer-side asset management. COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G02-004,Manager - Portfolio Management & Capital Planning,Mubadala Investment Company,Asset Manager,UAE,Abu Dhabi,Al Maryah Island,Senior Manager,~6-10 yrs (inferred),Portfolio Management,Capital deployment planning; liquidity and pacing models; portfolio monitoring; valuation review; management reporting,AED 45-70k/month (tax free),Market estimate (AED),LinkedIn,https://www.mubadala.com/en/careers,Search-surfaced,Unknown,2026-09-19,9,The role is literally capital planning and portfolio monitoring across a sovereign balance sheet - his Amherst capital-plan and commitment work transfers one-for-one.,"Fund and JV capital planning - deployment plans, commitments, capital calls",Sovereign funds recruit slowly and mostly through retained search - treat the careers portal as a formality and work the search-firm route in parallel. UAE work permit is employer-sponsored via MOHRE and in 2026 runs ~7-10 working days for a complete file; zero personal income tax. Lead with a specific capital plan he authored and the deployment outcome; this is the single most transferable line on his CV in this market.,G02,Above Dubai market (AED 10-25k/mo),"Employer VERIFIED with a live posting seen: 'VP, Valuations' in Abu Dhabi was listed on LinkedIn. Mubadala runs sovereign real estate including Al Maryah Island. Its senior investment roles are also the one Gulf pay point this research could source directly - AED 34,120-51,790/month - which is roughly triple developer-side asset management. COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G02-005,Vice President - Fund Operations & Investor Reporting,Mubadala Capital,Asset Manager,UAE,Abu Dhabi,Al Maryah Island,VP,~7-11 yrs (inferred),Fund Finance,Third-party fund operations; capital calls and distributions; LP reporting; waterfall calculations; fund administrator oversight,AED 45-70k/month (tax free),Market estimate (AED),Company Careers Page,https://www.mubadala.com/en/careers,Search-surfaced,Unknown,2026-09-19,9,"Mubadala Capital runs third-party LP capital, so running the call/distribution cycle and the waterfall itself is the core of the seat he has already done.","Distribution modelling - waterfall, promote and preferred-return mechanics","UAE work permit is employer-sponsored via MOHRE and in 2026 runs ~7-10 working days for a complete file; zero personal income tax. Third-party-capital arm hires more conventionally than the parent SWF, so a direct application is realistic here. Green Visa self-sponsorship (5 yrs) is available at AED 15,000+/month, so he is not locked to one employer.",G02,Above Dubai market (AED 34-52k/mo),"Employer VERIFIED with a live posting seen: 'VP, Valuations' in Abu Dhabi was listed on LinkedIn. Mubadala runs sovereign real estate including Al Maryah Island. Its senior investment roles are also the one Gulf pay point this research could source directly - AED 34,120-51,790/month - which is roughly triple developer-side asset management. COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G02-006,Manager - Portfolio Management (Real Assets),ADQ,Asset Manager,UAE,Abu Dhabi,Abu Dhabi Global Market (ADGM),Senior Manager,~6-10 yrs (inferred),Portfolio Management,Portfolio company monitoring; KPI and value-creation tracking; budget and business plan review; board reporting; valuation,AED 40-65k/month (tax free),Market estimate (AED),Company Careers Page,https://www.adq.ae/careers/,Target employer - not verified,Unknown,2026-09-19,8,"ADQ monitors an operating-asset portfolio against business plans - the same performance-management loop he runs over a residential portfolio, minus the pricing layer.",Portfolio performance management and revenue forecasting at platform scale,"Sovereign funds recruit slowly and mostly through retained search - treat the careers portal as a formality and work the search-firm route in parallel. UAE work permit is employer-sponsored via MOHRE and in 2026 runs ~7-10 working days for a complete file; zero personal income tax. ADQ is more operating-company than fund oriented - frame Amherst as an owner-operator platform, not a fund.",G02,Above Dubai market (AED 10-25k/mo),"COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G02-007,Capital Planning & Performance Manager,ADQ,Asset Manager,UAE,Abu Dhabi,Abu Dhabi Global Market (ADGM),Senior Manager,~6-10 yrs (inferred),Fund Finance,Capital allocation; funding plans; liquidity forecasting; performance reporting; scenario modelling,AED 40-60k/month (tax free),Market estimate (AED),LinkedIn,https://www.linkedin.com/jobs/search/?keywords=capital%20planning&location=Abu%20Dhabi,Target employer - not verified,Unknown,2026-09-19,8,Funding plans and liquidity forecasting across a holding structure mirror the capital-call and deployment planning he built for Amherst funds and JVs.,Capital deployment plans and commitment/capital-call forecasting,UAE work permit is employer-sponsored via MOHRE and in 2026 runs ~7-10 working days for a complete file; zero personal income tax. Emirati-national preference applies to some ADQ seats under Emiratisation targets - expect competition for the quota-exempt specialist roles.,G02,Not benchmarked (Gulf),,
G02-008,Vice President - Private Markets Portfolio Monitoring,Lunate,Asset Manager,UAE,Abu Dhabi,Abu Dhabi Global Market (ADGM),VP,~7-11 yrs (inferred),Portfolio Management,Private markets monitoring; GP and fund performance analytics; cash-flow pacing; valuation review; LP reporting,AED 50-80k/month (tax free),Market estimate (AED),Company Careers Page,https://www.lunate.com/careers,Search-surfaced,Unknown,2026-09-19,9,Lunate is a fast-scaling ADGM private-markets platform importing exactly this skill - fund cash-flow pacing and distribution mechanics are its core monitoring craft.,Fund and JV capital planning plus distribution/waterfall modelling,"UAE work permit is employer-sponsored via MOHRE and in 2026 runs ~7-10 working days for a complete file; zero personal income tax. Lunate has been the most aggressive new hirer in ADGM since launch - a genuinely open door relative to the legacy SWFs. Green Visa self-sponsorship (5 yrs) is available at AED 15,000+/month, so he is not locked to one employer.",G02,Above Dubai market (AED 15-30k/mo),"Employer VERIFIED with a live posting seen: Lunate was advertising an 'Investment Associate' role in Abu Dhabi on LinkedIn. COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G02-009,Fund Finance Manager,Lunate,Asset Manager,UAE,Abu Dhabi,Abu Dhabi Global Market (ADGM),Senior Manager,~6-10 yrs (inferred),Fund Finance,Fund accounting oversight; capital calls and distributions; waterfall and carry calculation; administrator management; investor statements,AED 35-55k/month (tax free),Market estimate (AED),eFinancialCareers,https://www.efinancialcareers.ae/jobs-UAE-Abu_Dhabi.s002,Search-surfaced,Unknown,2026-09-19,8,"Carry and waterfall calculation sits at the centre of the role, and distribution modelling across funds and JVs is a documented part of his prior scope.","Waterfall, promote and preferred-return mechanics across funds and JVs",UAE work permit is employer-sponsored via MOHRE and in 2026 runs ~7-10 working days for a complete file; zero personal income tax. He is not a qualified accountant - pre-empt that by positioning as the modelling/oversight side of fund finance rather than the ledger side.,G02,Not benchmarked (Gulf),Employer VERIFIED with a live posting seen: Lunate was advertising an 'Investment Associate' role in Abu Dhabi on LinkedIn.,2026-09-20
G02-010,Investment Manager - Real Assets,Chimera Investment LLC,Asset Manager,UAE,Abu Dhabi,Abu Dhabi (unspecified),Senior Manager,~6-10 yrs (inferred),RE Investments,Real asset investment analysis; underwriting; valuation; portfolio monitoring; IC materials,Not disclosed,Unknown,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Chimera%20Investment&location=Abu%20Dhabi,Target employer - not verified,Unknown,2026-09-19,7,"Royal-group-backed multi-asset investor with a real assets sleeve; underwriting and monitoring transfer, but the mandate is broader and less residential than his book.",Asset-level investment analysis and disposition strategy at scale,"UAE work permit is employer-sponsored via MOHRE and in 2026 runs ~7-10 working days for a complete file; zero personal income tax. Family/royal-office-adjacent house - hiring is relationship-led, so a warm introduction matters far more than a portal application.",G02,No range given (Dubai band AED 34-52k/mo),,
