Listing_ID,Role_Title,Company,Company_Type,Country,City,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
A03-001,Revenue Management & Reservations - The Taj Mahal Palace,Indian Hotels Company Limited (IHCL),Corporate,India,Mumbai,Fort,Manager,~6-10 yrs (inferred),Revenue Management,Hotel revenue management; Dynamic pricing; Demand forecasting; Channel/OTA management; Inventory optimisation,18-30,Market estimate,foundit,https://www.foundit.in/job/revenue-management-reservations-the-taj-mahal-palace-mumbai-the-indian-hotels-company-limited-ihcl-mumbai-34299335,Verified live posting,Unknown,2026-09-19,8,Same discipline as his current role - rate/inventory optimisation and demand forecasting - applied to a flagship hotel asset rather than a rental portfolio.,Rent/pricing optimisation = yield management on a large residential portfolio,"Named live posting seen on foundit. Pre-empt the lack of PMS/RMS tool experience by leading with pricing-algorithm and forecasting ownership at portfolio scale; Tata-group process is CV-then-panel, so a Tata/IHCL referral helps.",A03,In line (18-50),,
A03-002,Director - Revenue Management (Corporate),Indian Hotels Company Limited (IHCL),Corporate,India,Mumbai,Nariman Point,Director,~10-14 yrs (inferred),Revenue Management,Portfolio revenue strategy; RevPAR optimisation; Forecasting; Pricing governance; Commercial analytics,40-65,Market estimate,Company Careers Page,https://www.ihcltata.com/careers/,Target employer - not verified,Unknown,2026-09-19,8,A corporate-level revenue function across 100+ owned and managed hotels is structurally the same job he does across a single-family-rental portfolio.,"Revenue strategy across a large multi-asset portfolio, not a single property",IHCL corporate revenue roles are rarely posted publicly - approach via IHCL commercial leadership on LinkedIn. Emphasise portfolio-level (not property-level) revenue ownership.,A03,Above benchmark (18-50),,
A03-003,Cluster Revenue Manager - Mumbai Market,Marriott International,Corporate,India,Mumbai,Andheri East,Manager,6-10 yrs,Revenue Management,Cluster revenue strategy; Dynamic pricing; Market/comp-set analysis; Inventory distribution; Revenue analytics,22-35,Market estimate,Indeed,"https://in.indeed.com/q-hotel-revenue-management-l-mumbai,-maharashtra-jobs.html",Search-surfaced,Unknown,2026-09-19,8,Cluster-level pricing across multiple Mumbai hotels mirrors his multi-asset rent optimisation and occupancy strategy work.,Pricing and occupancy strategy across many assets simultaneously,Marriott pioneered hotel revenue management and runs a structured RM career track; they hire analytically strong outsiders at cluster level. Pre-empt no-hotel-RMS gap with SQL/BI and elasticity modelling evidence.,A03,In line (18-50),,
A03-004,Cluster Director of Revenue Management - West,Hyatt Hotels Corporation,Corporate,India,Mumbai,Mumbai (unspecified),Director,~10-14 yrs (inferred),Revenue Management,Multi-property revenue strategy; RevPAR/ADR management; Forecasting; Segment mix optimisation; Commercial planning,35-55,Market estimate,News / Hiring Signal,https://www.bwhotelier.com/article/hyatt-group-selects-aman-gupta-to-lead-revenue-management--133405,Target employer - not verified,Unknown,2026-09-19,8,Hyatt runs its western-region revenue function out of Mumbai covering eight hotels - a genuine multi-asset yield seat.,Multi-asset yield management and occupancy strategy,"Trade press confirms the West-region cluster revenue function is Mumbai-anchored; the current incumbent was appointed recently, so target the team beneath him rather than the top seat.",A03,In line (18-50),,
A03-005,Cluster Revenue Manager - Mumbai Hotels,Accor,Corporate,India,Mumbai,Andheri East,Manager,6-10 yrs,Revenue Management,Cluster pricing; Distribution strategy; Forecasting; Channel mix; RevPAR analytics,20-32,Market estimate,Glassdoor,"https://www.glassdoor.com/Job/mumbai-hotel-revenue-manager-jobs-SRCH_IL.0,6_IC2851180_KO7,28.htm",Search-surfaced,Unknown,2026-09-19,8,"Accor recruits cluster revenue managers in India and the role is pure pricing-and-inventory optimisation, his core skill.",Rent/rate optimisation and demand forecasting,Accor posts cluster RM roles regionally and moves people across markets; confirm the Mumbai posting is not actually a Vizag/Pune cluster before applying.,A03,Above benchmark (7-20),,
A03-006,Director of Revenue,EIH Limited (Oberoi Hotels & Resorts),Corporate,India,Mumbai,Nariman Point,Director,~8-12 yrs (inferred),Revenue Management,Luxury revenue strategy; ADR/RevPAR optimisation; Forecasting; Segment mix; Pricing governance,30-50,Market estimate,Company Careers Page,https://www.eihltd.com/careers/,Target employer - not verified,Unknown,2026-09-19,8,Oberoi/Trident Nariman Point is a Mumbai-anchored luxury revenue seat with real pricing authority over a high-ADR asset base.,High-value asset pricing strategy and yield optimisation,"EIH hires conservatively from within hospitality - the honest gap is hotel-domain experience. Lead with the analytics stack (elasticity, forecast accuracy, scenario modelling) rather than trying to sound like a hotelier.",A03,In line (18-50),,
A03-007,Area Revenue Manager - West India,Radisson Hotel Group,Corporate,India,Mumbai,Andheri East,Manager,~6-10 yrs (inferred),Revenue Management,Area revenue strategy; Pricing; OTA/channel management; Forecasting; Performance reporting,18-28,Market estimate,LinkedIn,https://in.linkedin.com/jobs/revenue-manager-jobs-mumbai,Target employer - not verified,Unknown,2026-09-19,7,"Area-level revenue role over a franchised/managed cluster is adjacent to his portfolio revenue strategy, at a lower comp band.",Managing revenue across assets he does not directly operate,Radisson runs a large managed/franchised estate in west India - closest analogue to managing revenue for owners. Comp likely below his current band; treat as a fallback.,A03,In line (18-50),,
A03-008,Cluster Revenue Manager - Mumbai,Lemon Tree Hotels,Corporate,India,Mumbai,Andheri East,Manager,~5-9 yrs (inferred),Revenue Management,Revenue management; Dynamic pricing; Occupancy strategy; Channel mix; Demand forecasting,15-25,Market estimate,Naukri,https://www.naukri.com/revenue-manager-jobs-in-mumbai-thane-andheri,Target employer - not verified,Unknown,2026-09-19,7,"Mid-market hotel cluster revenue management is the same occupancy-vs-rate trade-off he runs on rentals, on a smaller comp base.",Occupancy vs rate trade-off management,Lemon Tree Premier Mumbai International Airport and Aurika Mumbai give a real Mumbai cluster. Lower comp band - only worth pursuing if the scope is regional rather than single-property.,A03,In line (18-50),,
A03-009,Revenue Strategy Manager - Mumbai Hotels,ITC Hotels,Corporate,India,Mumbai,Andheri East,Manager,~6-10 yrs (inferred),Revenue Management,Revenue strategy; Pricing; Forecasting; Segment analytics; Commercial planning,20-32,Market estimate,Company Careers Page,https://www.itchotels.com/in/en/careers,Target employer - not verified,Unknown,2026-09-19,7,"ITC Maratha and ITC Grand Central give a Mumbai revenue cluster; the discipline is identical, the asset class differs.",Yield management discipline transferred across asset classes,Recently demerged from ITC Ltd and building out a standalone commercial function - a genuine window for lateral hires. No live posting seen.,A03,Above benchmark (7-20),,
A03-010,Business Manager - RMS & Dynamic Pricing (Hospitality),Sciative Solutions,Fintech,India,Mumbai,Navi Mumbai,Manager,4-6 yrs,Revenue Management,Dynamic pricing; Revenue management systems; Client revenue strategy; Pricing analytics; SQL/Excel,15-25,Market estimate,iimjobs,https://www.iimjobs.com/j/sciative-solutions-business-manager-rms-dynamic-pricing-hospitality-domain-4-6-yrs-1691256,Verified live posting,Unknown,2026-09-19,8,Runs dynamic pricing for hospitality clients - he would be the practitioner on the vendor side of the exact system he uses as an operator.,Rent/pricing optimisation as a practitioner who can speak to clients as a peer,"Posted band is 4-6 yrs, below his 5-12 window - pitch in at the Senior Manager/Lead level instead (Sciative also runs Team Lead and Revenue Strategy roles). Navi Mumbai (Sanpada) office; confirm commute.",A03,In line (7-20),,
A03-011,Team Lead - Travel Revenue Management (AI SaaS),Sciative Solutions,Fintech,India,Mumbai,Navi Mumbai,Senior Manager,~6-10 yrs (inferred),Revenue Management,Revenue management strategy; Team leadership; Client KPI ownership; Pricing optimisation; Travel/transport yield,20-32,Market estimate,iimjobs,https://www.iimjobs.com/j/sciative-solutions-team-lead-travel-revenue-management-ai-saas-1612122,Verified live posting,Unknown,2026-09-19,8,"Leads a team of 8-12 running revenue strategy for 15-25 clients - people leadership plus pricing ownership, both of which he already has.",Owning revenue strategy and KPIs across a portfolio of assets/accounts,"Verified listing on iimjobs. Sciative is Navi Mumbai-headquartered, profitable and growing - a rare Mumbai-based pure pricing employer. Lead with quantified RevPAR/occupancy lift from his own pricing work.",A03,In line (18-50),,
A03-012,Revenue Strategy Analyst - AI SaaS,Sciative Solutions,Fintech,India,Mumbai,Navi Mumbai,Senior Analyst,~3-6 yrs (inferred),Revenue Management,Revenue optimisation; Pricing analytics; AI/ML pricing tools; Client analytics; Data storytelling,Not disclosed,Unknown,iimjobs,https://www.iimjobs.com/j/sciative-solutions-revenue-strategy-analyst-ai-saas-1688634,Verified live posting,Unknown,2026-09-19,7,"Exact functional match on pricing optimisation, but pitched at analyst level - below his current scope.",Hands-on pricing model building,Listed live but junior to his band. Use it as the door-opener conversation with Sciative and ask to be considered for Team Lead / Business Manager instead.,A03,No range given (benchmark 18-50),,
A03-013,AVP - Product & Revenue Strategy (Sports),Star India (JioStar),Corporate,India,Mumbai,Lower Parel,AVP,8-15 yrs,Revenue Management,Revenue planning; Budgeting; Forecasting; Sales strategy; Inventory yield,45-70,Market estimate,iimjobs,https://www.iimjobs.com/j/star-tv-avp-product-revenue-strategy-star-sports-8-15-yrs-362689.html,Search-surfaced,Unknown,2026-09-19,7,"Revenue planning, forecasting and yield on finite advertising inventory is structurally the same constrained-capacity pricing problem as rental inventory.",Revenue forecasting and yield on a fixed inventory base,"The iimjobs listing seen has an old posting ID, so treat the specific req as possibly stale - JioStar recurrently hires into revenue strategy. Mumbai-based, 8-15 yrs band fits him cleanly.",A03,Above benchmark (18-50),,
A03-014,Head - Monetisation Strategy (Digital),JioStar (JioHotstar),Corporate,India,Mumbai,BKC,Director,~10-14 yrs (inferred),Revenue Management,Monetisation strategy; Ad yield; Subscription pricing; Revenue forecasting; Commercial analytics,60-100,Market estimate,News / Hiring Signal,https://bestmediainfo.com/mediainfo/television/jiostars-year-one-inside-the-engine-that-powers-indias-screens-and-streams-10681669,Target employer - not verified,Unknown,2026-09-19,7,JioStar is explicitly running a sports-led monetisation and ad-yield strategy out of Mumbai - the pricing problem is demand-driven yield on scarce inventory.,Yield optimisation under demand volatility,Trade coverage confirms an aggressive Mumbai monetisation build-out; no posting seen. Senior band - likely a stretch unless routed via a search firm. Pre-empt the no-media-background gap.,A03,Above benchmark (18-50),,
A03-015,Manager - Revenue Planning & Yield (Digital),Viacom18 Media,Corporate,India,Mumbai,Andheri East,Manager,~6-10 yrs (inferred),Revenue Management,Revenue planning; Inventory yield; Pricing; Forecasting; Commercial analytics,30-50,Market estimate,LinkedIn,https://in.linkedin.com/company/viacom-18-media-private-limited/jobs,Search-surfaced,Unknown,2026-09-19,7,Ad-inventory yield management is capacity-constrained pricing - directly analogous to managing rate against occupancy.,Pricing against a hard capacity constraint,Viacom18 careers page on LinkedIn shows active Mumbai hiring; the specific revenue-yield req was not seen. Strong Mumbai anchor. Lead with forecasting accuracy and elasticity work.,A03,In line (18-50),,
A03-016,Manager - Ad Revenue & Yield Management,Sony Pictures Networks India (SonyLIV),Corporate,India,Mumbai,Malad,Manager,~6-10 yrs (inferred),Revenue Management,Ad yield; Inventory management; Pricing strategy; Revenue forecasting; Analytics,28-45,Market estimate,News / Hiring Signal,https://www.exchange4media.com/people-movement-news/jiohotstars-kapilesh-prakash-appointed-head-ad-sales-lcs-digital-at-sony-liv-157162.html,Target employer - not verified,Unknown,2026-09-19,7,"SonyLIV is visibly rebuilding its digital revenue leadership out of Mumbai, which usually pulls a layer of yield/pricing hires behind it.",Revenue strategy under a new leadership mandate,"Hiring signal only - a senior digital ad-sales leader joined recently, which typically precedes team build-out. Time the approach to the next two quarters.",A03,In line (18-50),,
A03-017,Manager - Inventory & Yield Management,Zee Entertainment Enterprises,Corporate,India,Mumbai,Lower Parel,Manager,~6-10 yrs (inferred),Revenue Management,Inventory yield; Rate card strategy; Forecasting; Revenue analytics; Pricing,25-40,Market estimate,Naukri,https://www.naukri.com/revenue-manager-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,6,"Same yield-on-fixed-inventory logic, but Zee is in cost-control mode so the mandate may be reporting rather than strategy.",Yield management on constrained inventory,"Mumbai HQ at Marathon Futurex, Lower Parel. Check the mandate carefully - a revenue-reporting seat would be a step down from his current strategy ownership.",A03,In line (18-50),,
