Listing_ID,Role_Title,Company,Company_Type,Country,City,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
G01-001,Senior Asset Manager - Residential Leasing,Dubai Asset Management (Dubai Holding),Real Estate Developer,UAE,Dubai,Business Bay,Senior Manager,~8-12 yrs (inferred),Asset Management,Residential leasing strategy; rent optimisation; occupancy & renewal strategy; portfolio performance; NOI growth,"AED 40-55k/month (~INR 115-160 LPA equiv, tax-free)",Market estimate (AED),Company Careers Page,https://www.dubaiholding.com/en/careers/,Search-surfaced,Unknown,2026-09-19,10,"Dubai Asset Management runs the emirate largest institutional residential rental book (~20k+ units) - rent optimisation, occupancy and renewal strategy is literally his Amherst mandate in a different currency.",Rent/pricing optimisation and renewal strategy across a large institutional residential portfolio,"Closest structural analogue to Amherst anywhere in the Gulf. UAE work permit is employer-sponsored via MOHRE, ~7-10 working days in 2026, no points test and no income tax - relocation friction is low and should be stated as a non-issue. Pre-empt the no-UAE-market gap by citing RERA/Ejari rent-index mechanics and Dubai rent-cap calculator as learnable, and lead with the scale of the US SFR book.",G01,Above Dubai market (AED 11-25k/mo),"Employer VERIFIED and it is the strongest structural match found anywhere in this workbook: Dubai Asset Management is Dubai Holding's residential rental platform - 10 communities, housing over 100,000 people, held for rent rather than sale. That is the Amherst model in a different market. Careers run through GulfTalent and Dubai Holding's portal (dhcareers.avature.net). No specific opening was seen. COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G01-002,Revenue & Occupancy Manager - Residential Communities,Dubai Asset Management (Dubai Holding),Real Estate Developer,UAE,Dubai,Business Bay,Manager,~6-9 yrs (inferred),Revenue Management,Dynamic rent pricing; occupancy forecasting; renewal conversion; revenue forecasting; BI/Power BI reporting,"AED 30-42k/month (~INR 86-120 LPA equiv, tax-free)",Market estimate (AED),LinkedIn,https://www.linkedin.com/jobs/search/?keywords=revenue%20manager%20residential&location=Dubai%2C%20United%20Arab%20Emirates,Search-surfaced,Unknown,2026-09-19,10,A named revenue-and-occupancy seat over residential communities is a one-to-one title match with what he owns today at Amherst.,Revenue management + occupancy/renewal strategy on a large residential rental portfolio,"UAE visa is employer-sponsored and fast (~7-10 working days); also qualifies for the self-sponsored 5-year Green Visa at AED 15k+/month, which is worth mentioning as it de-risks the hire. Emphasise pricing-algorithm ownership rather than property-management operations.",G01,Above Dubai market (AED 7-18k/mo),"Employer VERIFIED and it is the strongest structural match found anywhere in this workbook: Dubai Asset Management is Dubai Holding's residential rental platform - 10 communities, housing over 100,000 people, held for rent rather than sale. That is the Amherst model in a different market. Careers run through GulfTalent and Dubai Holding's portal (dhcareers.avature.net). No specific opening was seen. COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G01-003,Head of Leasing Strategy - Communities,Nakheel Communities (Dubai Holding),Real Estate Developer,UAE,Dubai,Dubai (unspecified),Director,~10-14 yrs (inferred),Leasing Strategy,Leasing strategy; rent benchmarking; tenant mix; portfolio NOI; commercial planning,"AED 55-75k/month (~INR 160-215 LPA equiv, tax-free)",Market estimate (AED),Company Careers Page,https://www.nakheel.com/en/careers,Target employer - not verified,Unknown,2026-09-19,9,"Leasing strategy across Nakheel master communities (Palm Jumeirah, Jumeirah Islands, Discovery Gardens) is portfolio-level rent and occupancy strategy at exactly his scale.",Leasing strategy and renewal economics across a multi-asset residential portfolio,Nakheel merged into Dubai Holding Real Estate in 2024 - check whether the role now sits under the Dubai Holding banner before applying twice. Director band may be a stretch at the top of his 5-12 yr range; target Senior Manager equivalent if the req is set at 12+ yrs.,G01,Above Dubai market (AED 11-25k/mo),"COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G01-004,Asset Manager - Retail & Community Assets,Nakheel Communities (Dubai Holding),Real Estate Developer,UAE,Dubai,Dubai (unspecified),Manager,~6-10 yrs (inferred),Asset Management,Asset business plans; NOI optimisation; tenant mix; capex prioritisation; valuation support,"AED 32-45k/month (~INR 92-130 LPA equiv, tax-free)",Market estimate (AED),GulfTalent,https://www.gulftalent.com/uae/jobs/real-estate-property-and-construction-9,Target employer - not verified,Unknown,2026-09-19,8,"Asset-level business planning and NOI optimisation transfers directly, but retail/community assets are a step away from the residential rental economics he knows best.",Asset-level business plans and hold/sell analytics from retail disposition strategy,Retail tenant-mix work is the one genuinely new muscle - pre-empt it by framing his SFR disposition work as the same hold-vs-exit NPV discipline applied to a different asset class.,G01,Above Dubai market (AED 10-25k/mo),"COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G01-005,Asset Manager - Leasing (Commercial),Emaar Properties,Real Estate Developer,UAE,Dubai,Downtown Dubai,Manager,~6-10 yrs (inferred),Asset Management,Commercial leasing; rent roll management; NOI forecasting; lease negotiation; portfolio reporting,"AED 32-45k/month (~INR 92-130 LPA equiv, tax-free)",Market estimate (AED),Company Careers Page,https://www.emaar.com/en/careers/,Target employer - not verified,Unknown,2026-09-19,8,"Emaar holds one of the region largest recurring-income portfolios; rent-roll and NOI forecasting is the same machinery he runs, applied to commercial rather than residential.",Portfolio performance management and revenue forecasting across a large income-producing book,"Emaar hires heavily through its own careers portal and via Michael Page/Hays. Brand-name employer with a strong sponsorship track record - visa is a non-issue. Lead with quantitative revenue strategy, not brokerage.",G01,Above Dubai market (AED 11-25k/mo),"Employer careers portal confirmed (properties.emaar.com/en/careers; roughly 14-16 open roles when checked), BUT visible hiring skews to hospitality, sales, engineering and malls - no leasing or revenue-strategy opening was found. The senior revenue-strategy seat this row assumes is inferred, not observed. Treat as outreach, not an application. COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G01-006,Manager - Business Planning & Performance (Real Estate),Emaar Properties,Real Estate Developer,UAE,Dubai,Downtown Dubai,Manager,~6-10 yrs (inferred),Strategy,Business planning; revenue forecasting; scenario modelling; KPI/performance analytics; board reporting,"AED 33-45k/month (~INR 95-130 LPA equiv, tax-free)",Market estimate (AED),LinkedIn,https://www.linkedin.com/jobs/search/?keywords=business%20planning%20manager%20real%20estate&location=Dubai%2C%20United%20Arab%20Emirates,Target employer - not verified,Unknown,2026-09-19,8,Business planning over a listed developer income book is the corporate-side twin of his revenue forecasting and portfolio performance work.,Revenue forecasting and scenario modelling at portfolio scale,"Emaar is DFM-listed, so the seat carries investor-reporting exposure - useful if he wants a public-markets-adjacent credential. No income tax in the UAE means a headline AED number is not comparable to an Indian LPA figure; model net-of-tax.",G01,Not benchmarked (Gulf),"Employer careers portal confirmed (properties.emaar.com/en/careers; roughly 14-16 open roles when checked), BUT visible hiring skews to hospitality, sales, engineering and malls - no leasing or revenue-strategy opening was found. The senior revenue-strategy seat this row assumes is inferred, not observed. Treat as outreach, not an application.",2026-09-20
G01-007,Senior Manager - Pricing & Sales Strategy,Emaar Development,Real Estate Developer,UAE,Dubai,Downtown Dubai,Senior Manager,~7-11 yrs (inferred),Pricing Strategy,Unit-level pricing; launch pricing strategy; absorption/velocity modelling; inventory release planning; demand analytics,"AED 38-52k/month (~INR 110-150 LPA equiv, tax-free)",Market estimate (AED),Company Careers Page,https://www.emaar.com/en/careers/,Target employer - not verified,Unknown,2026-09-19,9,Off-plan launch pricing and inventory release planning is the same price-vs-velocity optimisation he runs on SFR rents and retail dispositions.,"Retail disposition strategy = which asset, which channel, what price, when - applied to unit release","Strongest conceptual match at Emaar. Frame his disposition work explicitly as inventory-release optimisation; UAE off-plan launches are escrow-regulated by RERA, which is a learnable overlay rather than a blocker.",G01,Above Dubai market (AED 7-18k/mo),"Employer careers portal confirmed (properties.emaar.com/en/careers; roughly 14-16 open roles when checked), BUT visible hiring skews to hospitality, sales, engineering and malls - no leasing or revenue-strategy opening was found. The senior revenue-strategy seat this row assumes is inferred, not observed. Treat as outreach, not an application. COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G01-008,Manager - Investment & Feasibility,DAMAC Properties,Real Estate Developer,UAE,Dubai,Business Bay,Manager,~6-10 yrs (inferred),RE Investments,Development feasibility; DCF/IRR modelling; land acquisition analysis; sensitivity analysis; investment committee papers,"AED 30-42k/month (~INR 86-120 LPA equiv, tax-free)",Market estimate (AED),Company Careers Page,https://www.damacproperties.com/en/careers,Target employer - not verified,Unknown,2026-09-19,7,"Feasibility and IRR modelling uses his modelling toolkit, but development underwriting is upstream of the operating-portfolio work he actually owns.",Asset-level investment analysis and scenario/IRR modelling,DAMAC is founder-led and fast-moving with a reputation for demanding hours - worth diligence on culture. Pre-empt the lack of ground-up development experience by leading with acquisition/exit underwriting rather than construction.,G01,Not benchmarked (Gulf),,
G01-009,Asset Manager - Hospitality & Serviced Residences,DAMAC Properties,Real Estate Developer,UAE,Dubai,Business Bay,Manager,~6-10 yrs (inferred),Asset Management,Hotel/serviced-apartment asset management; RevPAR & ADR analytics; operator performance management; budget review; NOI optimisation,"AED 30-42k/month (~INR 86-120 LPA equiv, tax-free)",Market estimate (AED),GulfTalent,https://www.gulftalent.com/uae/jobs/real-estate-property-and-construction-9,Target employer - not verified,Unknown,2026-09-19,8,RevPAR/ADR optimisation across serviced residences is yield management on residential stock - the same discipline with a shorter lease term.,"Rent/pricing optimisation = yield management, extended to short-stay inventory",Serviced-residence and holiday-home yield management is a fast-growing Dubai niche (DET holiday-home licensing). Emphasise dynamic pricing and demand forecasting; no hotel PMS experience is the gap to pre-empt.,G01,Above Dubai market (AED 10-25k/mo),"COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor.",2026-09-20
G01-010,Senior Manager - Portfolio & Asset Management,wasl Asset Management Group,Real Estate Developer,UAE,Dubai,Dubai (unspecified),Senior Manager,Not stated,Portfolio Management,Portfolio strategy; asset business plans; rent roll & renewal analytics; NOI optimisation; hold/sell analysis,"AED 38-52k/month (~INR 110-150 LPA equiv, tax-free)",Market estimate (AED),Company Careers Page,https://workopia.io/jobs/a2c5e68eaf94f87a57f7ef8cc7ac782c,Verified live posting,Unknown,2026-09-19,9,wasl is a pure asset-management landlord with tens of thousands of residential and commercial leases - portfolio strategy plus renewal analytics is exactly his combination.,Portfolio performance management across a large leased residential book,"Government-linked (Dubai Real Estate Corporation) so process is slower and structured, but sponsorship is routine and job security high. Lead with scale metrics from Amherst (units under management, renewal conversion lift).",G01,Above Dubai market (AED 10-25k/mo),"Employer VERIFIED with live roles: wasl's own portal (careers.wasl.ae) showed an 'Asset Manager' role - though scoped to the HOTEL investment portfolio, not residential - and a 'Portfolio Executive' supporting the Portfolio Manager on leasing and management of residential and retail property. wasl was established by Dubai Real Estate Corporation and runs residential, commercial, industrial, hotel and leisure assets. COMPENSATION REALITY CHECK: this row's estimate sits materially above sourced Dubai market data (Asset Manager Dubai averages AED 10,379/month on a AED 4,336-24,844 range; Revenue Manager averages AED 8,711/month). Those averages do skew low - they include junior and non-institutional employers - and genuinely senior sovereign or institutional seats do reach AED 34-52k/month. But for a developer or operator asset-management role, treat the figure in this row as optimistic by roughly a factor of two. Practical consequence: the self-sponsored Green Visa needs AED 15,000/month, which a market-rate offer here may not clear - employer-sponsored permits have no salary floor. UPGRADED to verified live posting on a later verification pass. Posting seen: Asset Manager (hospitality/hotel investment portfolio) at wasl Asset Management Group, Dubai. Evidence: Aggregator listing titled 'Asset Manager at Wasl' with substantive JD in the result: optimise performance and value of the hotel investment portfolio, analyse hotel P&L, trend analysis, Microsoft BI dashboards, budgets/forecasts, feasibility studies - adjacent to but not core residential revenue management.",2026-09-21
