Listing_ID,Role_Title,Company,Company_Type,Country,City,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
AF01-001,Fund Accounting Manager,Apex Group (Mauritius),Asset Manager,Mauritius,Ebene,Ebene Cybercity,Senior Manager,7-11 yrs (inferred),Fund Finance,Fund accounting; NAV oversight; PE/RE waterfall & distribution calcs; India-focused fund clients; investor reporting,"MUR 85,000-120,000/mo",Market estimate (MUR),Company Careers Page,https://www.apexgroup.com/careers/,Search-surfaced,Unknown,2026-09-20,8,"Apex administers a large book of India-focused PE and real estate funds out of Mauritius, so waterfall/distribution modelling plus Indian market fluency is a direct double match.",Fund waterfall/distribution modelling for India-focused funds,"Occupation Permit (Professional category): minimum basic salary MUR 50,000/month, harmonised across all sectors by the 2026-27 budget merger of ProPass and Expert Pass into a single Professional category — this role's pay comfortably clears that floor. Flat 15% income tax. Apex is the largest fund administrator on the island post Sanne/Maitland consolidation, so volume of India-linked mandates is high — lead with waterfall mechanics, not generic fund accounting.",AF01,"Above market (MUR 60,000-100,000/month) [Low confidence]",,
AF01-002,"Senior Fund Accountant, Real Estate Funds",IQ-EQ Mauritius,Asset Manager,Mauritius,Ebene,Ebene Cybercity,Manager,5-9 yrs (inferred),Fund Finance,Real estate fund accounting; capital call/distribution processing; India desk client servicing; IFRS reporting; Excel modelling,"MUR 65,000-90,000/mo",Market estimate (MUR),Company Careers Page,https://iqeq.com/careers/vacancies/,Search-surfaced,Unknown,2026-09-20,8,"IQ-EQ's Mauritius real estate fund book is heavily India-linked, matching his fund-waterfall background and Indian real estate exposure at once.",India-linked RE fund administration + distribution mechanics,"Occupation Permit (Professional category): minimum basic salary MUR 50,000/month, harmonised across all sectors by the 2026-27 budget merger of ProPass and Expert Pass into a single Professional category — this role's pay comfortably clears that floor. Flat 15% income tax.",AF01,"In line (MUR 60,000-100,000/month) [Low confidence]",,
AF01-003,Manager - Fund Accounting,Ocorian Mauritius,Asset Manager,Mauritius,Moka,Moka,Manager,7+ yrs (posted),Fund Finance,Fund accounting; global funds/corporate/alternative investment services; regulatory framework (Mauritius global business); client service delivery; team management,"MUR 100,000-150,000/mo",Market estimate (MUR),Company Careers Page,https://jobs.smartrecruiters.com/Ocorian/744000116597482-manager-fund-accounting,Verified live posting,Unknown,2026-09-20,8,"A confirmed, currently open Manager-level fund accounting role at a top-tier global administrator with a real Mauritius fund book, directly matching his seniority and fund-mechanics background.",JV/fund distribution modelling as client-facing fund servicing expertise,"Occupation Permit (Professional category): minimum basic salary MUR 50,000/month, harmonised across all sectors by the 2026-27 budget merger of ProPass and Expert Pass into a single Professional category — this role's pay comfortably clears that floor. Flat 15% income tax. Client-facing roles here often prefer someone who can speak to fund economics with investors, which plays to his strategy background over a pure accountant's.",AF01,"Above market (MUR 60,000-100,000/month) [Low confidence]",,
AF01-004,Fund Administration Manager,Intercontinental Trust Ltd,Asset Manager,Mauritius,Port Louis,Port Louis,Manager,6-10 yrs (inferred),Fund Finance,Fund administration; global business licensing; NAV production; investor reporting; team supervision,"MUR 70,000-100,000/mo",Market estimate (MUR),MyJob.mu,https://www.myjob.mu/JobSearch/Results?Keywords=fund+administration+manager,Target employer - not verified,Unknown,2026-09-20,7,A domestic Mauritian trust/fund administrator with a mixed international client book; solid but not confirmed as India-weighted.,Fund administration management with distribution/waterfall depth,"Occupation Permit (Professional category): minimum basic salary MUR 50,000/month, harmonised across all sectors by the 2026-27 budget merger of ProPass and Expert Pass into a single Professional category — this role's pay comfortably clears that floor. Flat 15% income tax.",AF01,"In line (MUR 60,000-100,000/month) [Low confidence]",,
AF01-005,Fund Accounting Manager - India & Africa Funds,Vistra Mauritius (formerly SGG),Asset Manager,Mauritius,Ebene,Ebene Cybercity,Senior Manager,7-11 yrs (inferred),Fund Finance,Fund accounting; India & Africa-focused PE/RE funds; waterfall calculations; investor reporting; team leadership,"MUR 90,000-125,000/mo",Market estimate (MUR),Company Careers Page,https://careers.vistra.com/job/Mauritius-Accountant/1070905901/,Target employer - not verified,Unknown,2026-09-20,8,"Vistra's Mauritius book explicitly spans India-focused vehicles, matching his waterfall modelling and Indian market background together.",Fund waterfall modelling for India-focused fund structures,"Occupation Permit (Professional category): minimum basic salary MUR 50,000/month, harmonised across all sectors by the 2026-27 budget merger of ProPass and Expert Pass into a single Professional category — this role's pay comfortably clears that floor. Flat 15% income tax.",AF01,"Above market (MUR 60,000-100,000/month) [Low confidence]",,
AF01-006,Fund Services Manager,Rogers Capital,Asset Manager,Mauritius,Ebene,Ebene Cybercity,Manager,6-9 yrs (inferred),Fund Finance,Fund services; corporate/trust administration; NAV review; regulatory reporting; client management,"MUR 75,000-105,000/mo",Market estimate (MUR),MyJob.mu,https://www.myjob.mu/JobSearch/Results?Keywords=fund+services+manager,Target employer - not verified,Unknown,2026-09-20,6,"Diversified Mauritian corporate-services group; fund services arm is real but its India weighting is unconfirmed, so scored as generic fund administration.",Fund services management with capital markets background,"Occupation Permit (Professional category): minimum basic salary MUR 50,000/month, harmonised across all sectors by the 2026-27 budget merger of ProPass and Expert Pass into a single Professional category — this role's pay comfortably clears that floor. Flat 15% income tax.",AF01,"In line (MUR 60,000-100,000/month) [Low confidence]",,
AF01-007,Senior Fund Accountant,AXIS Fiduciary,Asset Manager,Mauritius,Port Louis,Port Louis,Manager,5-8 yrs (inferred),Fund Finance,Fund accounting; global business company administration; NAV calculation; compliance reporting,"MUR 60,000-85,000/mo",Market estimate (MUR),MyJob.mu,https://www.myjob.mu/JobSearch/Results?Keywords=senior+fund+accountant,Target employer - not verified,Unknown,2026-09-20,6,"Solid fund-accounting scope but a smaller, more generalist fiduciary shop without a clearly India-tilted book.",Fund accounting depth transferable from waterfall modelling,"Occupation Permit (Professional category): minimum basic salary MUR 50,000/month, harmonised across all sectors by the 2026-27 budget merger of ProPass and Expert Pass into a single Professional category — this role's pay comfortably clears that floor. Flat 15% income tax.",AF01,"In line (MUR 60,000-100,000/month) [Low confidence]",,
AF01-008,"Investment Analyst, Fund Structuring",Perigeum Capital,Investment Bank,Mauritius,Ebene,Ebene Cybercity,Associate,5-9 yrs (inferred),RE Investments,Fund/JV structuring; cross-border capital markets advisory; financial modelling; India-Africa corridor deals,"MUR 80,000-115,000/mo",Market estimate (MUR),MyJob.mu,https://www.myjob.mu/JobSearch/Results?Keywords=investment+analyst+fund+structuring,Target employer - not verified,Unknown,2026-09-20,7,A boutique investment bank doing India-Africa corridor fund/JV structuring lines up well with his capital planning and JV distribution modelling background.,JV capital planning and distribution structuring,"Occupation Permit (Professional category): minimum basic salary MUR 50,000/month, harmonised across all sectors by the 2026-27 budget merger of ProPass and Expert Pass into a single Professional category — this role's pay comfortably clears that floor. Flat 15% income tax. Small shop — headcount and hiring cadence are thin, treat as opportunistic rather than a reliable pipeline.",AF01,Not benchmarked (non-Mumbai market),,
AF01-009,Fund Administration Manager,Trident Trust Mauritius,Asset Manager,Mauritius,Port Louis,Port Louis,Manager,6-10 yrs (inferred),Fund Finance,Fund administration; trust and corporate services; NAV production; investor reporting,"MUR 70,000-95,000/mo",Market estimate (MUR),MyJob.mu,https://www.myjob.mu/JobSearch/Results?Keywords=fund+administration+manager+trident,Target employer - not verified,Unknown,2026-09-20,6,Global fiduciary group present in Mauritius; fund book is mixed-jurisdiction rather than clearly India-weighted.,Fund administration management with distribution mechanics,"Occupation Permit (Professional category): minimum basic salary MUR 50,000/month, harmonised across all sectors by the 2026-27 budget merger of ProPass and Expert Pass into a single Professional category — this role's pay comfortably clears that floor. Flat 15% income tax.",AF01,"In line (MUR 60,000-100,000/month) [Low confidence]",,
AF01-010,"Client Services Manager, Funds",Bolder Group Mauritius,Asset Manager,Mauritius,Ebene,Ebene Cybercity,Manager,6-9 yrs (inferred),Fund Finance,Client servicing; fund administration; corporate services; investor relations,"MUR 70,000-95,000/mo",Market estimate (MUR),MyJob.mu,https://www.myjob.mu/JobSearch/Results?Keywords=client+services+manager+funds,Target employer - not verified,Unknown,2026-09-20,6,Generalist fund/corporate services role at a mid-sized administrator; transferable but not India-specific.,Client-facing fund servicing built on strategy background,"Occupation Permit (Professional category): minimum basic salary MUR 50,000/month, harmonised across all sectors by the 2026-27 budget merger of ProPass and Expert Pass into a single Professional category — this role's pay comfortably clears that floor. Flat 15% income tax.",AF01,"In line (MUR 60,000-100,000/month) [Low confidence]",,
