Listing_ID,Role_Title,Company,Company_Type,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
A07-001,"Structured Finance Analyst, AVP",Deutsche Bank,Bank,Goregaon,AVP,6-10 yrs (inferred),Structured Finance,Structured financing solutions; credit analysis; financial modelling; debt transactions; trade finance,35-55,Market estimate,Company Careers Page,https://db.wd3.myworkdayjobs.com/en-US/DBWebsite/job/Mumbai-Nirlon-Know-Pk-B4-B5/Structured-Finance-Analyst--AVP_R0365038,Verified live posting,Unknown,2026-09-19,7,Structuring and modelling debt against asset cashflows is the same cashflow-waterfall discipline he uses for fund and JV distribution modelling.,JV waterfall and distribution modelling = structured cashflow tranching,"Req R0365038 at Nirlon Knowledge Park, Goregaon East. Sits in the global Trade Finance structuring team, so pitch transferable structuring not India credit knowledge; pre-empt the no-India-market gap by leading with platform-level analytics.",A07,Not benchmarked,,
A07-002,Structured Finance Manager,Northern Arc Capital,NBFC / HFC,Mumbai (unspecified),Manager,5-9 yrs,Structured Finance,Securitisation; structured finance; credit management; financial markets; investment management,30-50,Market estimate,Instahyre,https://www.instahyre.com/job-377879-structured-finance-manager-at-northern-arc-capital-mumbai/,Verified live posting,Unknown,2026-09-19,7,"Posting's 5-9 yr band matches him exactly, and securitisation tranching is waterfall mechanics applied to receivables rather than fund distributions.",Fund and JV capital planning plus waterfall mechanics,Direct applications also accepted at recruitment.capital@northernarc.com per their careers page. Emphasise pool-level cashflow modelling; expect to be probed on Indian securitisation (PTC/DA) conventions he will need to learn.,A07,Not benchmarked,,
A07-003,"Vice President, Real Assets",Macquarie Asset Management,Asset Manager,Mumbai (unspecified),VP,10+ yrs,Real Assets Investment,Infrastructure investment; asset management; financial modelling; portfolio value creation; deal execution,80-140,Market estimate,Company Careers Page,https://recruitment.macquarie.com/en_US/careers/JobDetail/Vice-President-Real-Assets/22536,Verified live posting,Unknown,2026-09-19,9,Owning value creation and capital plans across Macquarie Asia Infrastructure Fund portfolio assets is his Amherst portfolio/revenue mandate in a real-assets wrapper.,Portfolio-level revenue strategy and asset-level exit strategy at scale,"Req 22536. Asks 10+ yrs India investment-management experience, which is his main gap - counter with owner-operator depth on a large residential portfolio and fund/JV capital planning. Strongest single role in this lane; worth a warm intro via Macquarie Capital Mumbai.",A07,Not benchmarked,,
A07-004,"Investment Manager, Infrastructure Real Assets",Macquarie Asset Management,Asset Manager,Mumbai (unspecified),Manager,6-10 yrs (inferred),Real Assets Investment,Financial modelling; acquisitions; due diligence; portfolio company management; infrastructure research,45-75,Market estimate,Company Careers Page,https://recruitment.macquarie.com/en_US/careers/JobDetail/Investment-Manager-Infrastructure-Real-Assets/15680,Verified live posting,Unknown,2026-09-19,9,Combines acquisition modelling with ongoing management of held assets - the same buy/hold/exit decision loop he runs on single-family homes.,Retail disposition strategy = asset-level exit analytics,Req 15680. Lower band than the VP role so likely the more winnable entry point into Macquarie's Mumbai real-assets team; apply to both and let them slot him.,A07,Not benchmarked,,
A07-005,"Associate, Real Assets Infrastructure Investment",Macquarie Asset Management,Asset Manager,Mumbai (unspecified),Associate,4-7 yrs (inferred),Real Assets Investment,Financial modelling; due diligence; acquisition analysis; sector research; portfolio monitoring,35-55,Market estimate,Company Careers Page,https://recruitment.macquarie.com/en_US/careers/JobDetail/Real-Assets-Infrastructure-Investment/22997,Verified live posting,Unknown,2026-09-19,8,"Modelling-heavy real-assets seat that maps cleanly onto his scenario and forecast modelling, though the level sits slightly below his band.",Scenario and forecast modelling across a large asset portfolio,"Req 22997. Flag the seniority mismatch early - use it as a fallback if the VP/Investment Manager reqs close, and ask to be considered at the senior end of the Associate band.",A07,Not benchmarked,,
A07-006,"Associate, Infrastructure and Energy Capital Group",Macquarie Capital,Investment Bank,Mumbai (unspecified),Associate,4-8 yrs (inferred),Infra Investment Banking,Project finance modelling; capital raising; M&A advisory; infrastructure sector coverage; valuation,45-75,Market estimate,Company Careers Page,https://careers.macquarie.com/en/job/963543/associate-infrastructure-and-energy-capital-group-macquarie-capital-mumbai,Verified live posting,Unknown,2026-09-19,7,Infra principal-investing and advisory desk where his fund/JV capital planning translates directly into sponsor-side capital structuring work.,"Fund and JV capital planning - commitments, calls, deployment schedules",Mumbai-based req 963543. Banking hours and a deal-execution culture; if he wants buy-side hours prefer the MAM real-assets reqs instead.,A07,Above benchmark (25-50),,
A07-007,"Assistant Vice President, Project Advisory & Structured Finance Group",SBI Capital Markets,Investment Bank,Nariman Point,AVP,5-10 yrs (inferred),Project Finance,Project finance advisory; debt syndication; financial modelling; infrastructure sectors; credit structuring,30-50,Market estimate,Company Careers Page,https://jobs.weekday.works/sbi-capital-markets-limited-assistant-vice-president-%E2%80%93-project-advisory-&-structured-finance-group,Verified live posting,Unknown,2026-09-19,7,"India's largest project-advisory franchise; his modelling and capital-planning skills transfer, and the seat builds the India infra credibility he currently lacks.",Capital deployment planning and scenario modelling,"Posting lists Mumbai and New Delhi - confirm the Mumbai seat. CVs also go to hrd@sbicaps.com. PSU-linked pay scale, so comp will be below global-fund benchmarks; treat as a market-entry play.",A07,Not benchmarked,,
A07-008,"Manager, Investment Management & Fund Raising",IndiGrid (Sterlite Investment Managers),REIT / InvIT,Kalina (Santacruz East),Manager,5-9 yrs (inferred),Fund Management,InvIT structures; fund raising; distribution planning; financial modelling; investor relations,35-60,Market estimate,iimjobs,https://www.iimjobs.com/company/indigrid-careers,Search-surfaced,Unknown,2026-09-19,9,"IndiGrid's investment-management function runs fund raising, treasury and distributions - a listed-vehicle version of the fund and JV capital planning he already owns.",Fund and JV capital planning plus distribution/waterfall modelling,"India's first power-sector InvIT, Mumbai-headquartered; search confirmed the finance function covers M&A, fund raising, treasury and IR but no individual posting was seen. DPU planning is structurally identical to promote/preferred-return mechanics - make that the first line of the cover note.",A07,Not benchmarked,"Location confirmed: IndiGrid Investment Managers is at Unit 101, Windsor, off CST Road, Kalina, Santacruz East 400098.",2026-09-20
A07-009,"Asset Management Lead, Transmission & Renewables",IndiGrid (Sterlite Investment Managers),REIT / InvIT,Kalina (Santacruz East),Senior Manager,7-12 yrs (inferred),Asset Management,Portfolio performance management; asset-level analytics; revenue and availability tracking; capex planning; reporting,40-65,Market estimate,LinkedIn,https://in.linkedin.com/company/indigrid,Search-surfaced,Unknown,2026-09-19,8,"Owning portfolio performance across a large operating asset base is precisely his current remit, with availability-linked revenue replacing rent.",Portfolio performance management across a large operating asset base,"Search showed active asset-management hiring including BESS-linked roles. The function is engineering-heavy - position him as the commercial/analytics half of asset management, not as a technical operator.",A07,Above benchmark (22-45),"Location confirmed: IndiGrid Investment Managers is at Unit 101, Windsor, off CST Road, Kalina, Santacruz East 400098.",2026-09-20
A07-010,"Fund FinOps Manager, Real Assets Funds",Brookfield Asset Management,Asset Manager,Powai,Manager,6-10 yrs (inferred),Fund Finance,Fund financial reporting; investor reporting; capital calls and distributions; cash management; fund accounting oversight,30-50,Market estimate,Glassdoor,"https://www.glassdoor.com/Job/mumbai-brookfield-asset-management-jobs-SRCH_IL.0,6_IC2851180_KO7,34.htm",Search-surfaced,Unknown,2026-09-19,6,"Capital calls, distributions and investor reporting overlap with his fund/JV capital planning, but the seat leans operational rather than strategic.","Capital commitments, calls and distribution mechanics","Surfaced through a Glassdoor Mumbai listing, individual posting not seen. Glassdoor's salary estimate looked unreliable and is not used here. Risk: this is a fund-ops seat, so clarify scope before investing time - he should not step down into pure fund accounting.",A07,In line (22-50),,
