Listing_ID,Role_Title,Company,Company_Type,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
A08-001,"Business Manager - VP (C13), Banking",Citi,Global Capability Centre,BKC,VP,8-12 yrs,Business Management,Business management; franchise strategy support; MIS/reporting; stakeholder governance; budgeting,45-65,Market estimate,Company Careers Page,https://jobs.citi.com/job/mumbai/banking-business-manager-vp-c13-mumbai/287/79598080032,Verified live posting,Unknown,2026-09-19,7,Business-manager seat supporting IB/Corporate Bank franchise heads on growth and client strategy maps directly onto his cross-functional strategy support experience at Amherst.,Cross-functional revenue/portfolio strategy support translated into franchise-level business management,"Direct Citi careers listing; apply via portal; lead with quantitative strategy support, not India-market banking knowledge.",A08,In line (30-55),,
A08-002,"VP, Business Execution",Citi,Global Capability Centre,BKC,VP,8-12 yrs,Strategy,Data & reporting strategy; AI/ML-enabled productivity; workflow re-engineering; stakeholder management,50-70,Market estimate,Company Careers Page,https://jobs.citi.com/job/mumbai/vp-business-execution/287/93676926800,Verified live posting,Unknown,2026-09-19,7,Defining a data/reporting strategy and re-engineering workflows echoes his revenue-forecasting and BI-driven decision support work.,Revenue forecasting and BI-driven decision support = data/reporting strategy execution,"Real, specific Citi posting; emphasize forecasting-model build experience over banking-specific tooling.",A08,Above benchmark (30-55),,
A08-003,"Business Manager - Vice President, Banking",Citi,Global Capability Centre,BKC,VP,8-12 yrs,Business Management,Business governance; expense management; strategic reporting; senior stakeholder management,45-65,Market estimate,Company Careers Page,https://jobs.citi.com/job/mumbai/banking-business-manager-vice-president/287/96783205280,Verified live posting,Unknown,2026-09-19,7,Another live Citi Business Manager VP seat; same governance/strategy skill set he already exercises across Amherst's fund and portfolio strategy work.,Portfolio performance management = business governance and reporting cadence ownership,Duplicate-adjacent to other Citi Business Manager postings on the same portal search page; confirm exact team before applying to avoid overlap.,A08,In line (30-55),,
A08-004,"Business Management, AVP",Deutsche Bank,Global Capability Centre,BKC,AVP,5-6 yrs (stated),Business Management,Cost & resource planning; forecasting; MIS; business governance; stakeholder reporting,30-42,Market estimate,Naukri,"https://getmereferred.com/job-listing/business-management,-avp-deutsche-bank-mumbai-5-to-6-years-experience-447041bb-374e-41bf-bc4e-03519daa0dd9",Verified live posting,Unknown,2026-09-19,6,Central planning/forecasting/reporting for a COO Business Management unit is a generalist adjacency to his revenue and portfolio forecasting toolkit.,Revenue forecasting models transfer to cost & resource forecasting for a business unit,"Aggregator listing (getmereferred) mirroring a live DB requisition; stated band (5-6 yrs) is below his experience - position for a step-up scope, not lateral AVP.",A08,In line (30-55),,
A08-005,"Strategy & Business Management Specialist, AVP",Deutsche Bank,Global Capability Centre,BKC,AVP,~6-9 yrs (inferred),Strategy,Business governance; strategic reporting; senior management forums; EM COO partnership,32-45,Market estimate,Naukri,https://workopia.io/jobs/c5784538e8d2fc340aeed10e846f1e2a,Verified live posting,Unknown,2026-09-19,6,EM Business Management seat supporting COO/Coverage/Strategy stakeholders is a direct match for his cross-platform strategic support experience.,"Cross-functional strategy support across Amherst's fund, JV and portfolio teams","Aggregator mirror of a live DB posting (Private Bank, Emerging Markets); confirm current status directly on DB careers site before applying.",A08,In line (30-55),,
A08-006,Business Management (COO/Business Management team),Nomura,Global Capability Centre,Powai,AVP,~5-9 yrs (inferred),Business Management,Business governance; performance management; project execution; stakeholder reporting,28-40,Market estimate,Company Careers Page,https://careers.nomura.com/Nomura/job/Mumbai-Business-Management-400076/1329651400/,Verified live posting,Unknown,2026-09-19,6,Generalist business management/performance-management seat; transferable but not real-estate or investment specific.,Portfolio performance management discipline maps to business performance tracking,Live Nomura careers-site listing at Powai campus; confirm specific desk (cash mgmt/asset servicing vs markets) before applying.,A08,In line (30-55),,
A08-007,AEJ Global Markets COO / Business Management,Nomura,Global Capability Centre,Powai,VP,~7-11 yrs (inferred),Business Management,COO partnership; client franchise growth; competitor benchmarking; sales desk liaison; MIS,45-65,Market estimate,Company Careers Page,https://careers.nomura.com/Nomura/job/Mumbai-OPS-BM-Business-Management/1281402900/,Verified live posting,Unknown,2026-09-19,6,"Business-management partnership with regional product/sales COOs is a strong process match to his cross-functional strategy role, though markets-desk domain is new.","Cross-functional strategic partnership with business heads, applied to a trading/markets context",Confirmed live Nomura Powai listing; will need to pre-empt lack of capital-markets/equities domain knowledge.,A08,In line (30-55),,
A08-008,"Marketing Strategy Analysis and Measurement, Senior Associate",State Street,Global Capability Centre,Mumbai (unspecified),Senior Manager,~6-9 yrs (inferred),Strategy,Strategy analytics; measurement frameworks; cross-functional reporting; project management,28-40,Market estimate,Company Careers Page,https://careers.statestreet.com/global/en/job/STSTGLOBALR792402EXTERNALENGLOBAL/Marketing-Strategy-Analysis-and-Measurement-Senior-Associate,Verified live posting,Unknown,2026-09-19,5,"Strategy-analytics seat, but scoped to marketing measurement rather than portfolio, revenue or fund strategy - a generalist sideways move.","Analytics-driven strategy measurement transfers, though marketing subject matter is new","Domain is marketing strategy, not investment/portfolio strategy; only worth pursuing as a bridge role if RE-specific search stalls.",A08,Not benchmarked,,
A08-009,CTO Chief of Staff (L7),Citi,Global Capability Centre,BKC,Director,~10-14 yrs (inferred),Strategy,Chief-of-staff operating rhythm; executive communications; strategic planning; governance,Not disclosed,Unknown,Company Careers Page,https://jobs.citi.com/employment/mumbai-business-strategy-management-and-administration-jobs/287/70307/1269750-1264418-1275339/4,Search-surfaced,Unknown,2026-09-19,6,"Chief-of-staff scope is process-relevant but attached to Technology rather than a business/investment line, and likely above his current band.",Cross-functional program ownership and strategic reporting cadence,"Search results referenced an active L7 CTO Chief of Staff opening within Citi's Mumbai Strategy/Business Management job family, exact req not individually confirmed.",A08,No range given (benchmark 30-55),,
A08-010,"VP, Business Management - CIB Finance",JPMorgan Chase,Global Capability Centre,BKC,VP,8-12 yrs,Business Finance,Business management; MIS; budgeting; forecasting; stakeholder governance,50-75,Market estimate,LinkedIn,https://in.linkedin.com/jobs/jpmorgan-chase-vice-president-jobs,Search-surfaced,Unknown,2026-09-19,7,JPMorgan runs large Business Management/Finance teams in Mumbai supporting CIB lines; his forecasting and portfolio-strategy background is a solid adjacency.,Revenue forecasting and portfolio performance management = CIB business finance support,"LinkedIn shows ~300 active JPM Mumbai roles including multiple VP business-management-adjacent seats; no single req confirmed - treat as a target, not a specific posting.",A08,Above benchmark (13-26),,
A08-011,"Chief of Staff, Markets COO",JPMorgan Chase,Global Capability Centre,BKC,Director,10-15 yrs,Strategy,Executive communications; strategic planning; governance forums; cross-line coordination,Not disclosed,Unknown,LinkedIn,https://in.linkedin.com/jobs/jp-morgan-jobs-mumbai,Target employer - not verified,Unknown,2026-09-19,6,"A Markets COO chief-of-staff seat would use his cross-platform strategic project experience, though it sits above his likely target band and outside real estate.","Ad-hoc strategic project leadership across Amherst's fund, JV and disposition workstreams",No specific req seen; JPM Mumbai has a large Markets/CIB COO function historically hiring at this level - worth a LinkedIn alert.,A08,No range given (benchmark 30-55),,
