Listing_ID,Role_Title,Company,Company_Type,Country,City,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
S01-001,"Senior Manager, Asset Management (Commercial)",CapitaLand Investment,REIT / InvIT,Singapore,Singapore,Raffles Place,Senior Manager,8-12 yrs (inferred),Asset Management,Asset business planning; leasing strategy; NPI optimisation; valuation; capex underwriting,"SGD 11,000-15,000/mo",Market estimate (SGD),Company Careers Page,https://www.capitaland.com/international/en/careers.html,Target employer - not verified,Unknown,2026-09-20,8,"Asset-level business planning, leasing strategy and NPI optimisation is the same stack he runs on Amherst SFR, moved from residential to commercial.",Rent/pricing optimisation and leasing strategy as asset-level NPI management,"CLI is a large listed institution with a long record of sponsoring regional hires, so sponsorship is realistic but must still clear COMPASS. Singapore EP: FS min SGD 6,200/mo (SGD 11,800 at 45+) plus 40 COMPASS points; floor rises to SGD 6,600 on 1 Jan 2027. Pre-empt the no-Singapore-market gap by leading with portfolio-scale analytics.",S01,"Above market (SGD 105,000-150,000/year) [Low confidence]",,
S01-002,"Manager, Portfolio Strategy & Analytics",CapitaLand Investment,REIT / InvIT,Singapore,Singapore,Raffles Place,Manager,6-10 yrs (inferred),Portfolio Management,Portfolio analytics; scenario modelling; SQL/BI; performance reporting; capital allocation,"SGD 9,000-12,500/mo",Market estimate (SGD),LinkedIn,https://www.linkedin.com/company/capitaland/jobs/,Target employer - not verified,Unknown,2026-09-20,8,Portfolio performance management and scenario forecasting at platform scale is precisely his current Amherst remit.,Revenue forecasting and portfolio performance management across a large residential book,"Sponsorship: CLI sponsors EPs but COMPASS scores better for a large firm with healthy local share. Singapore EP: FS min SGD 6,200/mo (SGD 11,800 at 45+) plus 40 COMPASS points; floor rises to SGD 6,600 on 1 Jan 2027. Ask the recruiter up front whether the req is open to overseas candidates.",S01,"In line (SGD 105,000-150,000/year) [Low confidence]",,
S01-003,"Manager, Fund Management (Private Funds)",CapitaLand Investment,Real Estate PE,Singapore,Singapore,Raffles Place,Manager,6-10 yrs (inferred),Fund Finance,Fund waterfall mechanics; capital calls; investor reporting; fund modelling; distributions,"SGD 9,500-13,000/mo",Market estimate (SGD),LinkedIn,https://www.linkedin.com/company/capitaland/jobs/,Target employer - not verified,Unknown,2026-09-20,8,His fund and JV capital planning plus waterfall/promote modelling maps directly onto CLI private fund vehicles.,"JV waterfall, promote and preferred-return modelling; capital calls and commitments","Sponsorship plausible at CLI scale but not automatic. Singapore EP: FS min SGD 6,200/mo (SGD 11,800 at 45+) plus 40 COMPASS points; floor rises to SGD 6,600 on 1 Jan 2027. Emphasise that waterfall mechanics are jurisdiction-neutral.",S01,"Above market (SGD 90,000-130,000/year) [Low confidence]",,
S01-004,"Manager, Capital Management",CapitaLand Integrated Commercial Trust,REIT / InvIT,Singapore,Singapore,Raffles Place,Manager,6-9 yrs (inferred),Capital Management,REIT capital structure; DPU modelling; debt headroom; distribution policy; treasury,"SGD 9,000-12,000/mo",Market estimate (SGD),Company Careers Page,https://www.cict.com.sg/,Target employer - not verified,Unknown,2026-09-20,7,REIT capital management is distribution modelling in a listed wrapper - adjacent to his fund distribution and capital planning work but with new DPU and gearing mechanics.,Distribution modelling and capital deployment planning,"Sponsorship: REIT manager entities are smaller headcount than the sponsor, which weakens COMPASS diversity/local-share scoring. Singapore EP: FS min SGD 6,200/mo (SGD 11,800 at 45+) plus 40 COMPASS points; floor rises to SGD 6,600 on 1 Jan 2027. Route via CapitaLand group recruiting rather than the trust directly.",S01,"Below market (SGD 170,000-290,000/year) [Low confidence]",,
S01-005,"Asset Manager, Business Space & Industrial",CapitaLand Ascendas REIT,REIT / InvIT,Singapore,Singapore,Raffles Place,Manager,5-9 yrs (inferred),Asset Management,Lease renewal strategy; occupancy management; rent reversion; tenant retention; asset plans,"SGD 8,500-11,500/mo",Market estimate (SGD),LinkedIn,https://www.linkedin.com/company/capitaland-ascendas-reit/jobs/,Target employer - not verified,Unknown,2026-09-20,8,"Renewal strategy, occupancy and rent reversion are literally the levers he pulls today on a residential portfolio.",Renewal and occupancy strategy; rent optimisation at portfolio scale,"Sponsorship question is the live one - industrial asset management reqs are frequently filled locally. Singapore EP: FS min SGD 6,200/mo (SGD 11,800 at 45+) plus 40 COMPASS points; floor rises to SGD 6,600 on 1 Jan 2027. Worth asking whether the role is EP-eligible before investing effort.",S01,"In line (SGD 105,000-150,000/year) [Low confidence]",,
S01-006,"Manager, Revenue Management",The Ascott Limited,Corporate,Singapore,Singapore,Raffles Place,Manager,5-9 yrs (inferred),Revenue Management,Revenue management systems; pricing optimisation; RevPAU/RevPAR; demand forecasting; yield strategy,"SGD 7,500-10,500/mo",Market estimate (SGD),LinkedIn,https://www.linkedin.com/company/the-ascott-limited/jobs/,Target employer - not verified,Unknown,2026-09-20,8,"Serviced-residence revenue management is the closest title-for-title match to his current Amherst revenue-management role, in a residential-adjacent asset class.",Rent/pricing optimisation = yield management on a large residential book,"Ascott is a CapitaLand company with regional hiring and a real sponsorship record, which helps COMPASS. Singapore EP: FS min SGD 6,200/mo (SGD 11,800 at 45+) plus 40 COMPASS points; floor rises to SGD 6,600 on 1 Jan 2027. Note his residential (not hotel) background and translate RM vocabulary explicitly.",S01,"In line (SGD 80,000-120,000/year) [Low confidence]",,
S01-007,"Manager, Investor Relations (Listed Funds)",CapitaLand Investment,REIT / InvIT,Singapore,Singapore,Raffles Place,Manager,6-10 yrs (inferred),Investor Relations,DPU and distribution narrative; analyst Q&A; portfolio performance reporting; results decks,"SGD 8,500-11,500/mo",Market estimate (SGD),LinkedIn,https://www.linkedin.com/company/capitaland/jobs/,Target employer - not verified,Unknown,2026-09-20,6,He has the portfolio and distribution numbers cold but no listed-market IR or sell-side-facing experience.,Distribution modelling translated into an investor-facing performance story,"Sponsorship harder for IR, which is a locally-competed function. Singapore EP: FS min SGD 6,200/mo (SGD 11,800 at 45+) plus 40 COMPASS points; floor rises to SGD 6,600 on 1 Jan 2027. Only pursue if an internal referral exists.",S01,Not benchmarked (non-Mumbai market),,
S01-008,"Senior Manager, Asset Management (Logistics)",Mapletree Investments,REIT / InvIT,Singapore,Singapore,Harbourfront,Senior Manager,8-12 yrs (inferred),Asset Management,Asset business plans; leasing strategy; NOI growth; capex prioritisation; portfolio reporting,"SGD 11,000-14,500/mo",Market estimate (SGD),Company Careers Page,https://www.mapletree.com.sg/Careers.aspx,Target employer - not verified,Unknown,2026-09-20,8,"Mapletree runs asset business planning and NOI growth the same way Amherst runs revenue strategy, at comparable portfolio scale.",Portfolio-level revenue strategy and asset business planning,"Mapletree is Temasek-linked and a known sponsor of regional talent, which lifts the realistic sponsorship odds. Singapore EP: FS min SGD 6,200/mo (SGD 11,800 at 45+) plus 40 COMPASS points; floor rises to SGD 6,600 on 1 Jan 2027. Expect a strong preference for APAC logistics market knowledge - pre-empt it.",S01,"Above market (SGD 105,000-150,000/year) [Low confidence]",,
S01-009,"Manager, Capital Management",Mapletree Investments,REIT / InvIT,Singapore,Singapore,Harbourfront,Manager,6-10 yrs (inferred),Capital Management,Capital planning; fund gearing; distribution modelling; treasury liaison; capital calls,"SGD 9,500-13,000/mo",Market estimate (SGD),LinkedIn,https://www.linkedin.com/company/mapletree-investments/jobs/,Target employer - not verified,Unknown,2026-09-20,8,"Fund and JV capital planning, commitments and capital calls is exactly the work he did on the Amherst fund side.",Fund and JV capital planning; commitments and capital calls,"Sponsorship realistic at Mapletree group level. Singapore EP: FS min SGD 6,200/mo (SGD 11,800 at 45+) plus 40 COMPASS points; floor rises to SGD 6,600 on 1 Jan 2027. Apply through the group careers page rather than the individual REIT manager, which has thinner headcount for COMPASS purposes.",S01,"Below market (SGD 170,000-290,000/year) [Low confidence]",,
S01-010,"Manager, Portfolio Management",Mapletree Logistics Trust,REIT / InvIT,Singapore,Singapore,Harbourfront,Manager,5-9 yrs (inferred),Portfolio Management,Portfolio performance; acquisition/divestment analysis; rent reversion; forecast modelling,"SGD 8,500-11,500/mo",Market estimate (SGD),LinkedIn,https://www.linkedin.com/company/mapletree-logistics-trust/jobs/,Target employer - not verified,Unknown,2026-09-20,7,"Divestment analysis and portfolio performance mirror his retail disposition strategy work, though the asset class changes.",Retail disposition strategy = asset-level exit analytics at scale,"Sponsorship: REIT manager entity is small; sponsorship is possible but COMPASS is tighter than at the sponsor. Singapore EP: FS min SGD 6,200/mo (SGD 11,800 at 45+) plus 40 COMPASS points; floor rises to SGD 6,600 on 1 Jan 2027.",S01,"In line (SGD 105,000-150,000/year) [Low confidence]",,
